member,organization,program,ein,amount,purpose
,"Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Gibson 1332 Fulton Avenue Day Care Center, Inc.",,132690309,20000,".00 Funds will go to G.R.A.N.N.Y program, which provides senior citizens that are or have been raising children with counseling, referrals, social services and social events within the district. Cornegy 57 Old Timers"
,".00 Funds will go to G.R.A.N.N.Y program, which provides senior citizens that are or have been raising children with counseling, referrals, social services and social events within the district. Cornegy 57 Old Timers",,900802710,6000,".00 Funding to support the 57 Old Timers Reunion Block Party providing a day of fun and unity for the Bedford Stuyvesant community. Eugene Agudath Israel of America Community Services, Inc. - Brookdale Senior Citizens Center"
,".00 Funding to support the 57 Old Timers Reunion Block Party providing a day of fun and unity for the Bedford Stuyvesant community. Eugene Agudath Israel of America Community Services, Inc.",Brookdale Senior Citizens Center,133975090,16625,".00 Funding to support operating expenses associated with educational & recreational programming, social services and legal needs. Greenfield Agudath Israel of America Community Services, Inc. - Brookdale Senior Citizens Center"
,".00 Funding to support operating expenses associated with educational & recreational programming, social services and legal needs. Greenfield Agudath Israel of America Community Services, Inc.",Brookdale Senior Citizens Center,133975090,17500,".00 Funds will be used for printing of newsletters, exercise programs, trips, new chairs and tables for seniors. Rodriguez Agudath Israel of America Community Services, Inc. - Moriah Senior Center"
,".00 Funds will be used for printing of newsletters, exercise programs, trips, new chairs and tables for seniors. Rodriguez Agudath Israel of America Community Services, Inc.",Moriah Senior Center,133975090,10000,".00 Funding to offset costs of fresh/raw food supplies at Moriah Senior Center. Miller Allen Community Senior Citizens Center, Inc."
,".00 Funding to offset costs of fresh/raw food supplies at Moriah Senior Center. Miller Allen Community Senior Citizens Center, Inc.",,112326244,10000,".00 Funding to support the purchasing of equipment and software to update/expand computer room, and to support Healthy Eating program Vacca Allerton Avenue Homeowners and Tenants Association - Senior Center Program"
,".00 Funding to support the purchasing of equipment and software to update/expand computer room, and to support Healthy Eating program Vacca Allerton Avenue Homeowners and Tenants Association",Senior Center Program,133101238,5000,".00 To fund the senior center and its educational, recreational and information services. Miller Alpha Phi Alpha Senior Citizens Center, Inc."
,".00 To fund the senior center and its educational, recreational and information services. Miller Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,25000,".00 Funding will support the purchase of equipment and supplies to upgrade the arts and crafts room, reception area, computer room, dining area and kitchen. Garodnick Alzheimers Disease and Related Disorders Association - New York City, Inc. 133277408 * $5,000.00 Funding will support education, outreach and free enrollment in the Safe Return program, which provides support for persons with Alzheimer's disease . Chin Alzheimers Disease and Related Disorders Association - New York City, Inc. 133277408 * $5,000.00 To fund Medic Alert Alzheimer’s Association Safe Return to operate in District 1 Chin Alzheimers Disease and Related Disorders Association - New York City, Inc. 133277408 * $5,000.00 To support outreach staff to engage immigrant communities in Lower Manhattan, which includes doing presentations and producing in- language materials. Cumbo Alzheimers Disease and Related Disorders Association - New York City, Inc. 133277408 * $5,000.00 Funding to support CaringKind programs with an emphasis on the Chinese community. Lander American-Italian Coalition of Organizations, Inc. 112488439 * $7,500.00 To support operational expenses of Education and Wellness Programs for Seniors Greenfield American-Italian Coalition of Organizations, Inc. 112488439 * $7,500.00 Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes Rodriguez ARC XVI Fort Washington, Inc. 132745426 * $3,500.00 Funding to support operating expenses of transportation services. Rodriguez ARC XVI Fort Washington, Inc. 132745426 * $20,500.00 Funding to support costs associated with providing additional personal care workers to enhance senior programming. Chin Asian Americans For Equality, Inc."
,".00 Funding will support the purchase of equipment and supplies to upgrade the arts and crafts room, reception area, computer room, dining area and kitchen. Garodnick Alzheimers Disease and Related Disorders Association","New York City, Inc. 133277408 * $5,000.00 Funding will support education, outreach and free enrollment in the Safe Return program, which provides support for persons with Alzheimer's disease . Chin Alzheimers Disease and Related Disorders Association - New York City, Inc. 133277408 * $5,000.00 To fund Medic Alert Alzheimer’s Association Safe Return to operate in District 1 Chin Alzheimers Disease and Related Disorders Association - New York City, Inc. 133277408 * $5,000.00 To support outreach staff to engage immigrant communities in Lower Manhattan, which includes doing presentations and producing in- language materials. Cumbo Alzheimers Disease and Related Disorders Association - New York City, Inc. 133277408 * $5,000.00 Funding to support CaringKind programs with an emphasis on the Chinese community. Lander American-Italian Coalition of Organizations, Inc. 112488439 * $7,500.00 To support operational expenses of Education and Wellness Programs for Seniors Greenfield American-Italian Coalition of Organizations, Inc. 112488439 * $7,500.00 Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes Rodriguez ARC XVI Fort Washington, Inc. 132745426 * $3,500.00 Funding to support operating expenses of transportation services. Rodriguez ARC XVI Fort Washington, Inc. 132745426 * $20,500.00 Funding to support costs associated with providing additional personal care workers to enhance senior programming. Chin Asian Americans For Equality, Inc.",133187792,5000,".00 Funds will support AAFE's senior care center in District 1. Menchaca Asian Community United Society Inc. 264164117 * $10,000.00 To cover costs of case assistance services for older adults, ages 60 and up, in securing government entitlements (ex: public assistance, Section 8, SCRIE, etc.). Constantinides Astoria Performing Arts Center, Inc."
,".00 Funds will support AAFE's senior care center in District 1. Menchaca Asian Community United Society Inc. 264164117 * $10,000.00 To cover costs of case assistance services for older adults, ages 60 and up, in securing government entitlements (ex: public assistance, Section 8, SCRIE, etc.). Constantinides Astoria Performing Arts Center, Inc.",,651209580,8000,".00 Funds will be used to support the ""Senior Stars"" Theater Program Page 1 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Cohen Bedford Park Multi-Service Center for Senior Citizens, Inc. 132745303 * $30,000.00 Funding will support recreational, educational, social programming, advocacy and counseling for seniors, as well as support the general operating expenses including rent, utilities, communications, equipment rental, printing supplies and other expenses to Williams Bergen Basin Community Development Corporation d/b/a Millennium Development"
,".00 Funds will be used to support the ""Senior Stars"" Theater Program Page 1 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Cohen Bedford Park Multi-Service Center for Senior Citizens, Inc. 132745303 * $30,000.00 Funding will support recreational, educational, social programming, advocacy and counseling for seniors, as well as support the general operating expenses including rent, utilities, communications, equipment rental, printing supplies and other expenses to Williams Bergen Basin Community Development Corporation d/b/a Millennium Development",,113199040,19000,".00 Funds will be used to support Activity Specialists in orchestrating health wellness classes such as yoga, exercise, tai chi, stretch band exercise, dance and computer learning at senior centers with healthy snacks and activity supplies. Maisel Bergen Basin Community Development Corporation d/b/a Millennium Development"
,".00 Funds will be used to support Activity Specialists in orchestrating health wellness classes such as yoga, exercise, tai chi, stretch band exercise, dance and computer learning at senior centers with healthy snacks and activity supplies. Maisel Bergen Basin Community Development Corporation d/b/a Millennium Development",,113199040,100500,".00 Funding to provide services and support satellite sites throughout southern Brookyn including Active Adult programs, health wellness classes and other activitis for the senior population. Barron Bergen Basin Community Development Corporation d/b/a Millennium Development - Abe Stark Senior Center"
,".00 Funding to provide services and support satellite sites throughout southern Brookyn including Active Adult programs, health wellness classes and other activitis for the senior population. Barron Bergen Basin Community Development Corporation d/b/a Millennium Development",Abe Stark Senior Center,113199040,11500,".00 To support senior programming at Abe Stark Senior Center including various health & wellness classes, monthly cultural events and healthy snacks. Levin Bergen Basin Community Development Corporation d/b/a Millennium Development - Independence Senior Center"
,".00 To support senior programming at Abe Stark Senior Center including various health & wellness classes, monthly cultural events and healthy snacks. Levin Bergen Basin Community Development Corporation d/b/a Millennium Development",Independence Senior Center,113199040,5000,".00 To provide health wellness classes, computer classes, and meals for senior citizens at Independence Senior Center. Barron Bergen Basin Community Development Corporation d/b/a Millennium Development - Penn Wortman Seniors"
,".00 To provide health wellness classes, computer classes, and meals for senior citizens at Independence Senior Center. Barron Bergen Basin Community Development Corporation d/b/a Millennium Development",Penn Wortman Seniors,113199040,15000,".00 To provide services to the seniors of Penn Wortman including health & wellness classes, computer learning, healthy snacks, breakfast and lunch. Barron Bergen Basin Community Development Corporation d/b/a Millennium Development - Vandalia Senior Center"
,".00 To provide services to the seniors of Penn Wortman including health & wellness classes, computer learning, healthy snacks, breakfast and lunch. Barron Bergen Basin Community Development Corporation d/b/a Millennium Development",Vandalia Senior Center,113199040,12000,".00 To be used to support senior programming at Vandalia Senior Center including staff / consultants for various health & wellness classes, monthly cultural events and healthy snacks."
Palma,Beth Abraham Health Services,PEP for Seniors NORC Program,131739920,10000,.00 Funds will be used to support the PEP NORC program for Seniors. Ulrich Blessed Trinity Roman Catholic Church - Golden Age Club
,.00 Funds will be used to support the PEP NORC program for Seniors. Ulrich Blessed Trinity Roman Catholic Church,Golden Age Club,262885471,5000,".00 Funds will support the Golden Age club including senior peer counseling, community updates and information on senior services. Rosenthal Bloomingdale Aging in Place, Inc. 264742989 * $5,000.00 Funding to support operating expenses of Wellness programming for seniors."
Levine,"Bloomingdale Aging in Place, Inc.","Neighborhood Senior Wellness 264742989 * $7,500.00 Funding to support operating expenses of Wellness programming for seniors. Deutsch Blue Card, Inc., The",131623910,2500,".00 Funds will be used for assisting holocaust survivors with basic needs - food, medicine, socialization. Menchaca Boro Park Jewish Community Council"
,.00 Funds will be used for assisting holocaust survivors with basic needs,"food, medicine, socialization. Menchaca Boro Park Jewish Community Council",113475993,10000,.00 To support costs associated with advocacy; counseling clients on benefits & entitlements; advising and/or processing apps for government entitlements; ACA navigational services; crisis intervention; immigration services; and Holocaust survivor services. Lander Boro Park Jewish Community Council
,.00 To support costs associated with advocacy; counseling clients on benefits & entitlements; advising and/or processing apps for government entitlements; ACA navigational services; crisis intervention; immigration services; and Holocaust survivor services. Lander Boro Park Jewish Community Council,,113475993,13500,".00 Funding to support operating costs of providing social services to the community. Vacca Bronx House, Inc. - Weinberg Senior Center"
,".00 Funding to support operating costs of providing social services to the community. Vacca Bronx House, Inc.",Weinberg Senior Center,131739935,15000,".00 To support more specialized senior center activities that promote physical and mental wellness; for IT expenses that will support the resources in the computer room; and other program enhancements Page 2 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Vacca Bronx Jewish Community Council, Inc."
,".00 To support more specialized senior center activities that promote physical and mental wellness; for IT expenses that will support the resources in the computer room; and other program enhancements Page 2 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Vacca Bronx Jewish Community Council, Inc.",,132744533,10000,".00 Funds to provide case assistance, information and transportation services, on-site staffing and transportation program expenses. Gibson BronxWorks, Inc."
,".00 Funds to provide case assistance, information and transportation services, on-site staffing and transportation program expenses. Gibson BronxWorks, Inc.",,133254484,10000,".00 Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at River Park Towers. Cabrera BronxWorks, Inc."
,".00 Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at River Park Towers. Cabrera BronxWorks, Inc.",,133254484,13750,".00 Funds to enhance center activities including recreational & cultural trips; ESL and Spanish as a Second Language; creative design, creative writing, theater class, art classes and computer classes for seniors in the centers computer lab. Torres BronxWorks, Inc. - East Concourse Senior Center"
,".00 Funds to enhance center activities including recreational & cultural trips; ESL and Spanish as a Second Language; creative design, creative writing, theater class, art classes and computer classes for seniors in the centers computer lab. Torres BronxWorks, Inc.",East Concourse Senior Center,133254484,10000,".00 Funds will be used for senior programming and services at the East Concourse Senior Center. Cabrera BronxWorks, Inc. - Morris Innovative Senior Center"
,".00 Funds will be used for senior programming and services at the East Concourse Senior Center. Cabrera BronxWorks, Inc.",Morris Innovative Senior Center,133254484,13750,".00 Funds are for the Service Enhancement Program of BronxWorks Morris Innovative Senior Center. This includes art classes, theater arts classes,recreational trips to theaters and other cultural institutions. Mark-Viverito BronxWorks, Inc. - Senior Homelessness Prevention Project"
,".00 Funds are for the Service Enhancement Program of BronxWorks Morris Innovative Senior Center. This includes art classes, theater arts classes,recreational trips to theaters and other cultural institutions. Mark-Viverito BronxWorks, Inc.",Senior Homelessness Prevention Project,133254484,5000,".00 To provide funding for the Senior's Homelessness Prevention Project. Mark-Viverito BronxWorks, Inc. - SHEW Program @ E. Roberts Moore Senior Center"
,".00 To provide funding for the Senior's Homelessness Prevention Project. Mark-Viverito BronxWorks, Inc.",SHEW Program @ E. Roberts Moore Senior Center,133254484,5000,".00 To provide funding for the Senior Healthy Eating and Wellness program at E. Roberts Moore Senior Center. Williams Brooklyn Arts Council, Inc. 237072915 * $10,500.00 Funds will be used to support Brooklyn Arts Council in providing programs and services for senior residents throughout District 45 and the Borough of Brooklyn. Lander Brooklyn Arts Council, Inc. 237072915 * $9,500.00 Provide arts programming at senior centers located in District 39. Levin Brooklyn Bureau of Community Services"
,".00 To provide funding for the Senior Healthy Eating and Wellness program at E. Roberts Moore Senior Center. Williams Brooklyn Arts Council, Inc. 237072915 * $10,500.00 Funds will be used to support Brooklyn Arts Council in providing programs and services for senior residents throughout District 45 and the Borough of Brooklyn. Lander Brooklyn Arts Council, Inc. 237072915 * $9,500.00 Provide arts programming at senior centers located in District 39. Levin Brooklyn Bureau of Community Services",,111630780,5000,.00 To support senior center programming for adults with developmental disabilities and to help seniors plan proactively for an active and healthy retirement. Levin Brooklyn Bureau of Community Services
,.00 To support senior center programming for adults with developmental disabilities and to help seniors plan proactively for an active and healthy retirement. Levin Brooklyn Bureau of Community Services,,111630780,3000,".00 To support the BC PROS (Personalized Recovery Oriented Services) program. Greenfield Brooklyn Chinese-American Association, Inc. - Bensonhurst Senior Center."
,".00 To support the BC PROS (Personalized Recovery Oriented Services) program. Greenfield Brooklyn Chinese-American Association, Inc.",Bensonhurst Senior Center.,113065859,6000,".00 Funds will be used for educational and recreational activities, as well as to defray cost of facility rental at the Bensonhurst Senior Center. Menchaca Brooklyn Chinese-American Association, Inc. - Sixth Avenue Senior Center"
,".00 Funds will be used for educational and recreational activities, as well as to defray cost of facility rental at the Bensonhurst Senior Center. Menchaca Brooklyn Chinese-American Association, Inc.",Sixth Avenue Senior Center,113065859,10000,".00 Funding to support recreational and educational programming and activities, as well as general operating expenses at Sixth Avenue Senior Center. Menchaca Brooklyn Chinese-American Association, Inc. - Sunset Park Senior Center"
,".00 Funding to support recreational and educational programming and activities, as well as general operating expenses at Sixth Avenue Senior Center. Menchaca Brooklyn Chinese-American Association, Inc.",Sunset Park Senior Center,113065859,10000,".00 Funding to support recreational and educational programming and activities, as well as general operating expenses at Sunset Park Senior Center. Lander Brooklyn Chinese-American Association, Inc. - Sunset Park Senior Citizens Center"
,".00 Funding to support recreational and educational programming and activities, as well as general operating expenses at Sunset Park Senior Center. Lander Brooklyn Chinese-American Association, Inc.",Sunset Park Senior Citizens Center,113065859,5000,".00 Funding to support recreational and educational activities, milestone events as well as facility rental and insurance costs at the Sunset Park Senior Citizens Center. Levin Brooklyn Community Pride Center, Inc."
