category,agencies,initiative,amount
Introduction,,Multiple Anti-Poverty Initiative,2800000
Anti-Poverty,,Multiple Boroughwide Needs Initiative,2000000
Boroughwide Needs,ACS,Discretionary Child Care,9855190
Boroughwide Needs,DYCD,City’s First Readers,4242000
Children’s Services,DYCD,Adult Literacy Initiative,6000000
Children’s Services,DYCD,Communities of Color Nonprofit Stabilization Fund,3700000
Children’s Services,DYCD,Digital Inclusion and Literacy Initiative,3060000
Children’s Services,"DYCD, NYCHA","Diversity, Inclusion and Equity in Tech Initiative",700000
Children’s Services,DCAS,Social Justice Postgraduate Fellowship,900000
Community Development,MOCJ,Alternatives to Incarceration (ATI’s),6407000
Community Development,MOCJ,Bail Fund,1400000
Community Development,MOCJ,Center for Court Innovation,1710000
Community Development,MOCJ,Initiative to Combat Sexual Assault,1348000
Community Development,MOCJ,Support for Victims of Human Trafficking,1000000
Community Development,"BPL, NYPL, QBPL",Video Visitation,600000
Criminal Justice Services,"ACS, HRA, MOCJ",Supportive Alternatives to Violent Encounters (SAVE),1950000
Criminal Justice Services,MOCJ,Domestic Violence and Empowerment (DoVE) Initiative,7805000
Cultural Organizations,DOE,Child Mind Institute,500000
Cultural Organizations,DOE,Community Schools,2250000
Cultural Organizations,DOE,Dropout Prevention and Intervention Initiative,1585000
Cultural Organizations,DOE,Educational Programs for Students,3890000
Cultural Organizations,DYCD,Jill Chaifetz Helpline,245000
Cultural Organizations,DOE,LGBTQ Inclusive Curriculum,200000
Cultural Organizations,DOE/DYCD,Physical Education and Fitness,1925000
Cultural Organizations,DOE,Restorative Justice Program,1300000
Cultural Organizations,DOE,Support for Educators,20804500
Cultural Organizations,DOE,Urban Advantage,3500000
Domestic Violence Services,DYCD,A Greener NYC,3060000
Domestic Violence Services,DYCD,NYC Cleanup,10200000
Education,DYCD,Access to Healthy Food and Nutritional Education,930000
Education,HRA,Food Access and Benefits,725000
Education,DYCD,Food Pantries,4000000
Environmental Initiatives,,Clerk City Clerk PS Enhancement,150000
Environmental Initiatives,,BP- Brooklyn Brooklyn Borough President PS Enhancement,100000
Food Initiatives,DOHMH,Access Health,1187000
Food Initiatives,DOHMH,Beating Hearts,350000
Food Initiatives,DOHMH,Cancer Services,790500
Food Initiatives,DOHMH,Child Health and Wellness,646000
Food Initiatives,DOHMH,Ending the Epidemic,6295000
Food Initiatives,DOHMH,HIV/AIDS Faith Based,1360000
Food Initiatives,DOHMH,Maternal Health Services,1192818
Food Initiatives,DOHMH,Nurse Family Partnership,2000000
Food Initiatives,DOHMH,Reproductive & Sexual Health Services,344788
Food Initiatives,DOHMH,Viral Hepatitis Prevention,1423658
Government Officials,"CUNY, DOE",City Council Merit-Based Scholarships,14924669
Government Officials,CUNY,Creative Arts Team,400000
Government Officials,CUNY,CUNY Research Institutes,2140000
Government Officials,CUNY,Murphy Institute for Worker Education,940000
Government Officials,CUNY,Remediation Programs,2000000
Health Services,DHS,Children and Families in NYC Homeless System,1000000
Health Services,DHS,Citywide Homeless Prevention Fund,820000
Higher Education Initiatives,,1 HPD Community Housing Preservation Strategies,3651000
Higher Education Initiatives,,"2 HPD, DCA Financial Empowerment for NYC Renters",450000
Higher Education Initiatives,,3 HPD Foreclosure Buyback Initiative,1000000
Higher Education Initiatives,,4 HPD Housing Information Project (SHIP),300000
Higher Education Initiatives,,5 HPD HPD Alternative Enforcement Program (AEP),750000
Higher Education Initiatives,,"6 HPD,HRA Home Loan Program",1500000
Higher Education Initiatives,,7 HPD Mortgage Foreclosure Prevention Program,1000000
Higher Education Initiatives,,8 HPD Stabilizing NYC,2500000
Homeless Services,CUNY,CUNY Citizenship NOW! Program,2000000
Homeless Services,DOHMH,Immigrant Health Initiative,1500000
Homeless Services,HRA,Immigrant Opportunities Initiative,2600000
Homeless Services,DYCD,Key to the City,700000
Homeless Services,DYCD,Immigrant Resource Center,500000
Homeless Services,HRA,New York Immigrant Family Unity Project,10000000
Homeless Services,HRA,Unaccompanied Minors and Families,2000000
Housing,"HRA, MOCJ",Legal Services for Low-Income New Yorkers,5000000
Housing,MOCJ,Legal Information for Families (LIFT),485000
Housing,HRA,Legal Services for the Working Poor,3055000
Housing,MOCJ,Prisoners’ Rights Project,750000
Immigrant Services,DOHMH,Autism Awareness,3236846
Immigrant Services,DOHMH,Children Under Five,1002000
Immigrant Services,DOHMH,Court-Involved Youth Mental Health,2050000
Immigrant Services,DOHMH,"Developmental, Psychological & Behavioral Health Services",2179390
Immigrant Services,DOHMH,Geriatric Mental Health,1905540
Immigrant Services,DOHMH,LGBTQ Youth All-Borough Mental Health,1200000
Immigrant Services,DOHMH,Medicaid Redesign Transition,500000
Immigrant Services,DOHMH,Mental Health Services for Vulnerable Populations,1218000
Legal Services,DPR,Parks Equity Initiative,4503500
Legal Services,DPR,Parks Maintenance,9553205
Mental Health Services,DCLA,Art a Catalyst for Change,720000
Mental Health Services,,Various Crisis Management System,11327800
Parks and Recreation Services,DFTA,Access to Critical Services for Seniors,1180000
Parks and Recreation Services,DFTA,Borough Presidents’ Discretionary Funding Restoration,1129774
Parks and Recreation Services,DFTA,Elder Abuse Enhancement,335000
Parks and Recreation Services,DFTA,Elie Wiesel Holocaust Survivors Initiative,3000000
Parks and Recreation Services,DFTA,Healthy Aging Initiative,1810000
Parks and Recreation Services,DFTA,Information and Referral Services,407811
Parks and Recreation Services,DFTA,LGBT Senior Services in Every Borough,1500000
Parks and Recreation Services,DFTA,Naturally Occurring Retirement Communities (NORCs),3850000
Parks and Recreation Services,DFTA,Support Our Seniors,3060000
Parks and Recreation Services,DFTA,Senior Centers for Immigrant Populations,1500000
Parks and Recreation Services,DFTA,"Senior Centers, Programs, and Services Enhancement",3000000
Parks and Recreation Services,DFTA,Social Adult Day Care Enhancement,1055556
Public Safety,SBS,Chamber on the Go and Small Business Assistance,1888855
Public Safety,CUNY,Create New Technology Incubators,1400000
Public Safety,SBS,Day Laborer Workforce Initiative,1470000
Public Safety,DYCD,Green Jobs Corps Program,120000
Public Safety,SBS,hackNY,100000
Public Safety,SBS/DYCD,Job Training and Placement Initiative,7906000
Public Safety,SBS,Made in NYC,750000
Public Safety,SBS,MWBE Leadership Associations,600000
Public Safety,SBS,Neighborhood Development Grant Initiative,1275000
Public Safety,SBS/CUNY,Worker Cooperative Business Development Initiative,3048000
Senior Services,,Multiple Speaker’s Initiative to Address Citywide Needs,6928000
Small Business Services and Workforce Development,SBS,Job Placement for Veterans,150000
Small Business Services and Workforce Development,HRA,Legal Services for Veterans,300000
Small Business Services and Workforce Development,DOHMH,Mental Health Services for Veterans,225000
Small Business Services and Workforce Development,DYCD/DCLA/CUNY,Veterans Community Development,515000
Small Business Services and Workforce Development,HRA,Homeless Prevention Services for Veterans,150000
Speaker’s Initiative to Address Citywide Needs,DYCD,Afterschool Enrichment Initiative,5725000
