category,agencies,initiative,amount
Health Services,DHMH,MCCAP Initiative,2014114
Health Services,DHMH,Reproductive and Sexual Health Services,654423
Health Services,DHMH,"Spay/Neuter and Veterinary Care for Cats and Dogs (Formerly Trap, Neuter, and Release for Stray Animals)",500000
Health Services,DHMH,Viral Hepatitis Prevention,2247454
Higher Education,CUNY,Care Workers For Our Future,400000
Higher Education,CUNY,Confronting Religious and Ethnic Discrimination at CUNY,500000
Higher Education,CUNY,Creative Arts Team,400000
Higher Education,CUNY,CUNY Childcare Expansion,600000
Higher Education,CUNY,CUNY Public Service Training Corps,2400000
Higher Education,CUNY,CUNY Research Institutes,5650000
Higher Education,CUNY,CUNY School of Labor and Urban Studies (SLU),1200000
Higher Education,CUNY,CUNY Social Worker Fellows,2000000
Higher Education,"CUNY, DOE",Peter F. Vallone Academic Scholarship,16411869
Homeless Services,DHS,Children and Families in NYC Homeless System,1350000
Homeless Services,DSS/HRA,Citywide Homeless Prevention Fund,820000
Housing,HPD,Community Housing Preservation Strategies,3651000
Housing,HPD,Community Land Trust,1500000
Housing,"DCWP, HPD",Financial Empowerment for NYC's Renters,450000
Housing,HPD,Home Loan Program,1800000
Housing,HPD,Homeowner Stabilization Services (Formerly Estate Planning and Resolution Initiative and Foreclosure Prevention Programs),5150000
Housing,DSS/HRA,Housing Court Answers,650000
Housing,HPD,Housing Information Project,300000
Housing,HPD,Stabilizing NYC,3700000
Housing,HPD,Tax Lien Sale Outreach and Assistance,2000000
Immigrant Services,"CUNY, DSS/HRA",Asylum Seeker Legal Assistance Network (ASLAN) / Pro Se Plus,4593978
Immigrant Services,"CUNY, DYCD",CUNY Citizenship NOW! Program,5250000
Immigrant Services,DSS/HRA,Haitian Response Initiative,600000
Immigrant Services,"DHMH, HHC",Immigrant Health Initiative,2430341
Immigrant Services,DSS/HRA,Immigrant Legal Providers Support Network,2250000
Immigrant Services,"CUNY, DSS/HRA",Immigrant Opportunities Initiative,6489132
Immigrant Services,DSS/HRA,Immigrant Rights Workshops,850000
Immigrant Services,DSS/HRA,Immigration Legal Services for Survivors of Violence and Gender Based Harm,850000
Immigrant Services,SBS,Know Your Rights for Immigrant Street Vendors,500000
Immigrant Services,DYCD,Language Access and Legal Services for Black Immigrants,750000
Immigrant Services,DSS/HRA,Legal Services for AAPI Communities,2025000
Immigrant Services,SBS,Legal Services for Day Laborers and Domestic Workers,1300000
Immigrant Services,"DOE, DSS/HRA",Legal Services for Low-Income Immigrants,6824901
Immigrant Services,DSS/HRA,New York Immigrant Family Unity Project,24900000
Immigrant Services,DSS/HRA,Rapid Response Legal Collaborative,3000000
Immigrant Services,DSS/HRA,School-Based Immigrant Rapid Response Legal Access,2250000
Immigrant Services,DSS/HRA,Special Immigration Juvenile Status (SIJS),2371989
Immigrant Services,DSS/HRA,Unaccompanied Minors and Families,16981800
Immigrant Services,DYCD,Welcome NYC,2200000
Legal Services,"DYCD, MOCJ",Legal Services for Family Advocacy and Guardianship,3485000
Legal Services,DSS/HRA,Legal Services for Low-Income and Working-Class New Yorkers,9255000
Legal Services,DSS/HRA,Low Wage Worker Support,2173000
Legal Services,DYCD,Prisoners' Rights Project,1000000
Mental Health Services,"DCLA, DHMH",Autism Awareness,3261846
Mental Health Services,DHMH,Children Under Five,1556231
Mental Health Services,DHMH,Court-Involved Youth Mental Health Initiative,3425000
Mental Health Services,DHMH,"Developmental, Psychological and Behavioral Health Services",2255493
Mental Health Services,DHMH,Emergency Medical Services Mental Health and Wellness,1000000
Mental Health Services,DHMH,LGBTQIA+ Youth Mental Health,1200000
Mental Health Services,DHMH,Mental Health Clubhouses,3000000
Mental Health Services,DHMH,Mental Health Services for Vulnerable Populations,3669020
Mental Health Services,CUNY,Mental Health Workforce Retention and Development Initiative,300000
Mental Health Services,DHMH,NYC 988 Crisis Intervention and Suicide Prevention Hotline,5000000
Mental Health Services,"DCLA, DFTA, DHMH",Older Adults Mental Health,3474520
Mental Health Services,DHMH,Opioid Prevention and Treatment,3075000
Mental Health Services,DHMH,Peer Specialists Support,4500000
Mental Health Services,DHMH,Trauma Recovery Centers,4800000
Mental Health Services,DHMH,Youth Peer Support Pilot,250000
Older Adult Services,DFTA,Elder Abuse Prevention Programs,335000
Older Adult Services,DFTA,Elie Wiesel Holocaust Survivors,4200000
Older Adult Services,DFTA,LGBTQIA+ Older Adult Services in Every Borough,1755000
Older Adult Services,DFTA,Naturally Occurring Retirement Communities (NORCs),5181768
Older Adult Services,DFTA,Older Adult Center Improvements,5000000
Older Adult Services,DFTA,"Older Adult Centers, Programs, and Services",3733226
Older Adult Services,DFTA,Older Adult Clubs for Immigrant Populations,1500000
Older Adult Services,DFTA,Older Adults Across the Boroughs,1129774
Older Adult Services,DFTA,Social Adult Day Care,1505556
Older Adult Services,"CUNY, DCLA, DFTA, DHMH, DPR",Support Our Older Adults,7649999
Parks and Recreation Services,"CUNY, DCLA, DOT, DPR, DYCD, SBS",Parks Equity Initiative,5368500
Parks and Recreation Services,DPR,Swim Safety,750000
Public Safety,"CUNY, DABK, DYCD",Hate Crimes Prevention,1225000
Public Safety,"DCLA, DOE, DOP, DYCD, HHC",Violence Prevention and Intervention for Youth and Young Adults,4560600
Small Business Services and Workforce Development,DSNY,BID Containerization,1987721
Small Business Services and Workforce Development,SBS,Chamber on the Go and Small Business Assistance,2140972
Small Business Services and Workforce Development,SBS,Community Development Financial Institutions,1000000
Small Business Services and Workforce Development,SBS,Construction Site Safety Training,1375000
Small Business Services and Workforce Development,CUNY,Create New Technology Incubators,1400000
Small Business Services and Workforce Development,SBS,Day Laborer Workforce Initiative,4070000
Small Business Services and Workforce Development,SBS,Domestic Worker and Employer Empowerment Initiative,300000
Small Business Services and Workforce Development,SBS,Five Borough Chamber Alliance,500000
Small Business Services and Workforce Development,DYCD,Green Jobs Corps Program,120000
Small Business Services and Workforce Development,"DYCD, SBS",Job Training and Placement Initiative,8450000
Small Business Services and Workforce Development,SBS,Made in NYC,850000
Small Business Services and Workforce Development,SBS,MWBE Accelerator,1000000
Small Business Services and Workforce Development,SBS,MWBE Leadership Associations,700000
Small Business Services and Workforce Development,"BXBP, DCLA, DSNY, DYCD, SBS",Neighborhood Development Grant Initiative,2550000
Small Business Services and Workforce Development,DCWP,Nontraditional Worker Organizing and Education,2100000
Small Business Services and Workforce Development,SBS,Pride At Work,501000
Small Business Services and Workforce Development,SBS,Support for Immigrant and Women Workers,600000
Small Business Services and Workforce Development,"CUNY, SBS",Worker Cooperative Business Development Initiative,3608209
Speaker’s Initiative to Address Citywide Needs,,Multiple Speaker’s Initiative to Address Citywide Needs,86522049
Veteran Services,DSS/HRA,Homeless Prevention Services for Veterans,340000
Veteran Services,SBS,Job Placement for Veterans,200000
Veteran Services,DSS/HRA,Legal Services for Veterans,600000
Veteran Services,DHMH,Mental Health Services for Veterans,420000
Veteran Services,DVS,Paul A. Vallone Veteran Resource Centers,540000
Veteran Services,"CUNY, DCLA, DYCD",Veterans Community Development,1270000
Young Women's Initiative,DYCD,Culturally Specific Gender Based Violence Initiative,3000000
Young Women's Initiative,DHMH,Dedicated Contraceptive Fund,973126
Young Women's Initiative,"DHMH, HHC",Gender-Affirming Care for TGNCNBI Youth,3500000
Young Women's Initiative,DSS/HRA,HRA Teen RAPP,250000
Young Women's Initiative,DYCD,Prevent Sexual Assault (PSA) Initiative for Young Adults,350000
Young Women's Initiative,DYCD,Step In and Stop It Initiative to Address Bystander Intervention,174000
Young Women's Initiative,DOE,Work-Based Learning Internships,714500
Young Women's Initiative,ACS,Wrap-Around Support for Transitional-Aged Foster Youth,1096788
Young Women's Initiative,DYCD,Young Women's Leadership Development,1740500
Youth Services,"DCLA, DYCD",Afterschool Enrichment Initiative,9805048
Youth Services,DYCD,Big Brothers and Big Sisters of New York City,1200000
Youth Services,"DYCD, SBS",Citywide Young Adult Entrepreneurship Program Initiative,1200000
Youth Services,DYCD,Civic Education in New York City Schools,500000
Youth Services,DYCD,Empowering Black Communities,1000000
Youth Services,DYCD,LGBTQIA+ Youth Support and Services,5000000
Youth Services,DYCD,Sports Training and Rolemodels for Success (STARS) Initiative,1472000
Youth Services,DYCD,YouthBuild Project Initiative,1490000
