member,organization,program,ein,amount,agency,purpose
Menin,"Asphalt Green, Inc.",,136533158,10000,DPR,"To support the Big Swim, Sprinkler Day, Older Adult Day, and Snowman Showdown events."
Speaker,"Bronx, Riley Association of Community Employment Programs for the Homeless, Inc.",,133846431,150000,DYCD,Funds will support supplemental sanitation services in Council District 12.
Menin,"Association of Community Employment Programs for the Homeless, Inc.",Cleanup Initiatives - Council District 5,133846431,5000,DYCD,To support local cleanup initiatives within Council District 5.
Nurse,"Association of Community Employment Programs for the Homeless, Inc.",Community Sanitation Services - Council District 37,133846431,50000,DYCD,"Funding to support supplemental sanitation services, including but not limited to street sweeping, litter pickup, and graffiti removal along Liberty, Knickerbocker, Myrtle, Wyckoff Avenues and Green Spaces."
Speaker,"Marte Association of Community Employment Programs for the Homeless, Inc.",Council District 1,133846431,80000,DYCD,To provide Neighborhood cleaning and additional services in Council District 1.
Speaker,"Zhuang Association of Community Employment Programs for the Homeless, Inc.",Council District 43,133846431,50000,DYCD,Funds will support supplemental sanitation services in Council District 43.
Maloney,"Association of Community Employment Programs for the Homeless, Inc.",Rat Fumigation,133846431,20000,DYCD,"To fund rat fumigation and pest control services that improve public health, safety, and quality of life for residents and businesses within New York City Council District 4."
Thomas-Henry,"Association of Community Employment Programs for the Homeless, Inc.",Supplemental Sanitation Services - Council District 21,133846431,85000,DYCD,Funds will be used to support supplemental sanitation in Council District 21.
Krishnan,"Association of Community Employment Programs for the Homeless, Inc.",Workforce Development - Council District 25,133846431,5000,DYCD,Funding for workforce development and employment retention programs.
Abreu,"Association of Dominican Classical Artists, Inc.",,133843597,10000,DCLA,Funding will be used to support musical instruction.
De La Rosa,"Association of Dominican Classical Artists, Inc.",Council District 10,133843597,15000,DCLA,To support music programming and concert series in Council District 10.
Zhuang,Association of East-European Jewry,Annual Holocaust Remembrance Day - Brooklyn,461135533,5000,DYCD,Funds will organize and conduct Annual Holocaust Remembrance Day in Brooklyn.
J. Sanchez,Astor Services for Children & Families,Comprehensive Behavioral Health - Council District 17,141397918,5000,DHMH,Funds will be used to connect residents with family/peer support specialists to help them navigate public benefits programs in Council District 17.
Farias,Astor Services for Children & Families,Council District 18,141397918,5000,DHMH,Funding to support the school supply drive and emergency wraparound fund in Council District 18.
Caban,"Astoria/Queens Share-ing and Care-ing, Inc.",Cancer Prevention Initiative,113220371,15000,DHMH,Funds will be used for a districtwide cancer prevention initiative. Page 34 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Krishnan,"Astoria/Queens Share-ing and Care-ing, Inc.",Community Outreach & Education - Council District 25,113220371,5000,DHMH,"To support community outreach and education in Council District 25 as well as various education and supportive services for those diagnosed with cancer, including breast, colon and ovarian cancers."
Restler,Atlantic Avenue Association Local Development Corporation,Annual Atlantic Antic Festival - Council District 33,112786225,7000,DYCD,"To support operations and events, including the Atlantic Antic Festival."
Dinowitz,"Auschwitz Jewish Center Foundation, Inc.",Council District 11,133857441,5000,DYCD,Funding to support Holocaust education and anti-hate programming in Council District 11.
Paladino,"Auschwitz Jewish Center Foundation, Inc.",Council District 19,133857441,5000,DYCD,Funding will support education and outreach services in Council District 19.
Hankerson,"Autizm Out Loud, Incorporated",Caregiver Support Groups & Community Giveaway Program,394862877,5000,DHMH,Funds will support a year-round coordinated service model built around monthly in- person caregiver support groups and community giveaways.
Williams,"Azar Help Center, Inc.",,934679641,5000,DYCD,Funding to support events in Council District 27.
Gennaro,BAFA,"Bangladesh Academy of Fine Arts, Inc.",454788710,6500,DYCD,Funding to support dance programming in Council District 24.
Encarnacion,"Bailey House, Inc.",Family Support Program - Schafer Hall,133165181,5000,DHMH,To support on and off-site services and recreational activities for the Family Support Program at Schafer Hall.
Wilson,"Bailey House, Inc.",Holt House,133165181,5000,DHMH,Funds will support 24/7 services provided at Bailey-Holt House (BHH).
Brewer,"Ballet and Beyond NYC, Inc.",Summer Performing Arts Conservatory - Council District 6,811705519,5000,DCLA,Funds will support a summer intensive dance and musical theater training program for children.
Wilson,"Ballet Hispanico of New York, Inc.",Council District 3,132685755,5000,DCLA,"Funds will support Company, School of Dance, and Community Arts Partnerships programs in Council District 3."
Speaker,"Brewer Ballet Hispanico of New York, Inc.",Family Day,132685755,65000,DCLA,Funds will support the annual Celebración Latina Family Day to kick off Hispanic Heritage Month.
Abreu,"Ballroom Basix USA, Inc.",Council District 7,273218865,10000,DCLA,Funding to support Ballroom Basix’s programming in Council District 7.
Louis,"Ballroom Basix USA, Inc.",Cultural Exploration Programs - Council District 45,273218865,5000,DCLA,Funds will support cultural exploration programs at public schools in Council District 45.
Hudson,"Ballroom Basix USA, Inc.",Multi-Cultural In-School & Older Adult Dance Programming - Council District 35,273218865,15000,DCLA,"Funding for in-school dance programs, including multi-cultural dances like Latin/African dance, at Council District 35 schools and older adult centers."
Williams,"Ballroom Basix USA, Inc.",Public School / Intermediate School 116Q William C. Hughley (29Q116),273218865,3885,DCLA,Funding will support instruction at Public School / Intermediate School 116Q William C. Hughley (29Q116).
Williams,"Ballroom Basix USA, Inc.",Public School 009Q (75Q009) @ Public School / Intermediate School 268Q (29Q268),273218865,2230,DCLA,Funding will support instruction at Public School 009Q (75Q009) @ Public School / Intermediate School 268Q (29Q268)
Hanks,"Ballroom Basix USA, Inc.",Public School 020R Port Richmond (31R020),273218865,10000,DCLA,Funding to support programming in Public School 020R Port Richmond (31R020).
Williams,"Ballroom Basix USA, Inc.",Public School 050Q Talfourd Lawn Elementary School (28Q050),273218865,3885,DCLA,Funding will support instruction at Public School 050Q Talfourd Lawn Elementary School (28Q050).
Speaker,Nurse Bangladeshi American Community Development and Youth Service Corporation,,452389573,25000,DYCD,"To support food and housing insecurity, benefits entitlement, ESL and civic classes, immigration and naturalization applications assistance, after-school enrichment, merchant organizing, and events for residents of East New York and South Ozone Park."
Nurse,Bangladeshi American Community Development and Youth Service Corporation,Community Services - Council District 37,452389573,40000,DYCD,Funds will provide general support for community services in Council District 37.
Hanif,Bard College,Bard Prison Initiative (BPI),141713034,5000,DYCD,To support operations and programming of the Bard Prison Initiative (BPI). Page 35 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Brooks-Powers,Bard College,Council District 31,141713034,5000,DYCD,The funding will support reentry programming at Bard Prison Initiative for residents from Council District 31.
Hankerson,"Bartlett Foundation, The",,900952784,15000,DFTA,"Funds will support the Live Interactive Music Jubilee programs, NORC & Senior Center Four Seasonal Galas, and Comprehensive Developmental Music Programming."
Williams,"Bartlett Foundation, The",Music Outreach - Council District 27,900952784,10000,DFTA,Funding will provide music outreach to seniors and senior centers in Council District 27.
Marte,Battery Dance Corporation,Battery Dance Festival,237418859,7000,DCLA,To support the programming costs of the Battery Dance Festival.
Paladino,"Bay Community Volunteer Ambulance Corps, Inc.",Volunteer Ambulance - Council District 19,116106688,7500,FDNY,Funding will support the services and operating costs in Council District 19.
Santosuosso,Bay Ridge Cares,Local Support & Aid Programming - Council District 47,461784806,42000,DYCD,Funds to be used for programs and projects that support Council District 47 residents in need.
Speaker,"Santosuosso Bay Ridge Center, Inc.",,800559714,35000,DFTA,"To provide funding support for case management, referral, and educational services regarding benefits, housing, technological literacy, and more for older adults."
Speaker,"Santosuosso Bay Ridge Community Development Center, Inc.",,832708042,50000,DYCD,"To provide funding support for young people and senior citizens with anti poverty, and recreation programing in Council District 47."
Santosuosso,"Bay Ridge Community Development Center, Inc.",Community Case Management - Council District 47,832708042,15000,DYCD,"To support case management program, including benefits application assistance and other social services for Council District 47 residents in need."
Santosuosso,"Bay Ridge Saint Patrick's Parade, Inc.",Cultural Events Programming - Council District 47,113256152,10000,DYCD,To support with operating costs of planning and holding annual Bay Ridge St. Patrick's Day Parade in Council District 47.
Paladino,Bayside Business Association,Support Business - Council District 19,113372987,7500,DYCD,Funding to be used to develop and promote economic development in Council District 19.
Speaker,Paladino Bayside Historical Society,,116049457,75000,DCLA,"Funding will support BHS programs and services to the public including community fireworks show, history and art exhibits, education programs public programs, tours of two historic landmarks and expenses related to events in Council District 19."
Paladino,Bayside Historical Society,Community Events & Engagement - Council District 19,116049457,76000,DCLA,"Funding will support a fireworks show, public programs, exhibitions, educational and school programs, as well as community events and engagement in Council District 19."
Lee,Bayside Historical Society,Council District 23,116049457,5000,DCLA,"Funds to support the operating expenses of the exhibitions, education, school programs, and community engagement in Council District 23."
Paladino,Bayside Village Business Improvement District,Business Attraction & Community Events - Council District 19,262931126,22000,SBS,"Funds will be used for community events throughout the year, general marketing, and business attraction in Council District 19."
Dinowitz,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",Older Adult Programs - Council District 11,132745303,10000,DFTA,Funding to support health and wellness programming for older adults in Council District 11.
Osse,Bedford Stuyvesant Restoration Corporation,National Night Out - 79th Precinct & 81st Precinct,116083182,5000,DYCD,Funding for National Night Out for 79th Precinct and 81st Precinct.
Osse,Bedford Stuyvesant Volunteer Ambulance Corps,,112957898,15000,FDNY,Funding for emergency medical services and training programs.
Hanks,"Bee U, Inc.",Community Workshops - Council District 49,881156617,10000,DYCD,Funding will support community workshops and visits in Council District 49.
Speaker,"Banks Be'er Hagolah Institutes, Inc.",,112501388,50000,DYCD,"Funds will be used toward hiring caring, bilingual instructional staff, developing inclusive classroom materials, and fostering family-school partnerships that empower students to build the confidence and pride needed to thrive in their new community. Page 36 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
