member,organization,program,ein,amount,purpose
Brooks-Powers,"100 Suits for 100 Men, Inc.",Council District 31,462971279,7000,"Funding is to support services to seniors, including meal delivery, hair cuts, visits and social and community events in Council District 31."
Osse,"Age Friendly Central Brooklyn, Inc.",Council District 36,853870243,60000,"Funding will support older adult events and programming in Council District 36, including the annual Senior Pampering Day, Mother’s Day and Father’s Day celebrations, and trips to cultural institutions."
Gennaro,"Agudath Israel of America Community Services, Inc.",,133975090,16000,Funds will be used for social and cultural programming for older adults.
Felder,"Agudath Israel of America Community Services, Inc.",Boro Park Senior Center,133975090,20000,"Funds will be used for printing of newsletters, exercise programs, recreational excursions and support for Boro Park Senior Center."
Louis,"Agudath Israel of America Community Services, Inc.",Brookdale Neighborhood Center - Council District 45,133975090,5000,"Funds will support operations, facilities, and older adult programming at Brookdale Neighborhood Center, serving residents of Council District 45."
Felder,"Agudath Israel of America Community Services, Inc.",Brookdale Senior Center,133975090,25000,"Funds will be used for printing of newsletters, exercise programs, recreational excursions and support for Brookdale Senior Center."
De La Rosa,"Agudath Israel of America Community Services, Inc.",Moriah Older Adult Luncheon Club,133975090,10000,To support programming at the Moriah Older Adult Luncheon Club.
Joseph,"Agudath Israel of America Community Services, Inc.",Older Adult Literacy - Council District 40,133975090,10000,Funds to be used for older adult literacy-related activities in Council District 40.
Williams,"Allen Community Senior Citizens Center, Inc.",,112326244,25000,Funds to provide programming at Allen International Towers and AME Theodora Jackson Center.
Brooks-Powers,"Allen Community Senior Citizens Center, Inc.",Council District 31,112326244,6000,"Funding will support senior socialization programs including, virtual programs and materials and resources for arts programming in Council District 31."
Aldebol,Allerton Avenue Homeowners and Tenants Association,Older Adults Programming - Council District 13,133101238,20000,"Funds will be used to support educational, recreational, and informational services for older adults at the center."
Williams,"Alpha Phi Alpha Senior Citizens Center, Inc.",Council District 27,237436147,20000,Funding to support older adult programming in Council District 27.
Brooks-Powers,"Alpha Phi Alpha Senior Citizens Center, Inc.",Council District 31,237436147,7000,Funding will support programmatic resources and senior services for seniors in Council District 31.
Marte,Alzheimers Disease and Related Disorders Association,"New York City, Inc. - CaringKind NYC: MAWSP Community Outreach and Family Support Program",133277408,5000,"Funds will support community outreach, education, and awareness of the MAWSP program, as well as CaringKind’s free programs that provide care and support to families caring for a person with Alzheimer’s disease or a related dementia."
Aviles,Alzheimers Disease and Related Disorders Association,"New York City, Inc. - Wandering Safety Program - Council District 38",133277408,5000,"Funds to support individuals living with dementia and their caregivers through outreach, safety planning, and medical ID bracelets, referrals and constituent services in Council District 38."
Wilson,Alzheimer's Foundation of America,Barbara Rabinowitz Education & Resource Center,911792864,5000,Funds will support the Barbara Rabinowitz Education & Resource Center.
Felder,"American-Italian Coalition of Organizations, Inc.",59th Street Older Adult Center,112488439,7500,"Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes."
Zhuang,"American-Italian Coalition of Organizations, Inc.",AMICO 59th Street Older Adult Center,112488439,7500,Funds will be used to enhance programming and special events for older adults at the 59th Street Older Adult Center. Page 1 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Hanif,"American-Italian Coalition of Organizations, Inc.",Eileen C Dugan Amico Senior Center,112488439,9000,"To support older adult services at the Eileen C Dugan Amico Senior Center in Carroll Gardens including connectivity costs, office and activity supplies and household supplies."
Santosuosso,"Arab American Association of New York, Inc.",Case Management & Older Adult Services - Council District 47,113604756,5000,To support case management and other programming for older adult residents of Council District 47.
Salaam,"ARC XVI Fort Washington, Inc.",A. Philip Randolph Senior Center,132745426,10000,"Funds will support transportation services for older adults in Harlem through the A. Philip Randolph Senior Center, expanding access to medical care, mental health services, and essential community activities."
Abreu,"ARC XVI Fort Washington, Inc.",Council District 7,132745426,10000,Funding to support transportation services for older adults.
De La Rosa,"ARC XVI Fort Washington, Inc.",WHIST Transportation - Council District 10,132745426,15000,To support transportation services for seniors in Council District 10.
Vernikov,"Art for Charity Association, Inc.",,822103220,10000,"Funding will support programs for Holocaust survivors and WWII veterans, including food distribution, holiday celebrations, events, and home visits to provide social and emotional support."
Gennaro,"Asian Americans For Equality, Inc.",,133187792,10000,Funding to support older adults programming including intervention and immigrant services.
Zhuang,"Asian Community Center, Inc.",Senior Tax Services,882701146,2500,Funds will support tax assistance services for older adults in Council District 43.
Vernikov,"Association of Holocaust Survivors from the Former Soviet Union, Inc.",,113395358,5000,"Funding to support cultural and educational lectures, movies, food distribution and excursions for Holocaust survivors."
Brooks-Powers,"Bartlett Foundation, The",Council District 31,900952784,5000,Funds to be used to assist in senior and veteran community engagement and recognition efforts in Council District 31.
Santosuosso,"Bay Ridge Center, Inc.",Older Adults Services & Programming - Council District 47,800559714,8500,"To support operating expenses associated with older adults services programming, including events, case management and meal program in Council District 47."
Zhuang,"Be Proud, Inc.",Support Our Older Adults,582674169,10000,"Funding for the Support Our Older Adults program, providing district-based services for older adults."
Williams,"Because We Care, Inc.",Council District 27,352825932,5000,Funding to support older adult programming in Council District 27.
Dinowitz,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",Access to Critical Services for Older Adults - Council District 11,132745303,10000,"Funding for basic direct health services, provide education, counseling around prevention and management of chronic diseases in Council District 11."
Narcisse,Bergen Basin Community Development Corporation d/b/a Millennium Development,Mill Basin Senior Program,113199040,40000,Funding to provide senior educational and recreational activities and services at the Mill Basin Senior Program.
Louis,Bergen Basin Community Development Corporation d/b/a Millennium Development,Philip Howard NORC - Council District 45,113199040,20000,"Program supports older adults with social activities, health and wellness classes, seminars, and meals. Funds also support a nurse providing health check-ins at Philip Howard NORC in Council District 45."
Banks,Bergen Basin Community Development Corporation d/b/a Millennium Development,Senior Programming & Cultural Trip Activities - Council District 42,113199040,25000,Funds will be used for senior educational programming and a district-wide Senior trip in Council District 42.
Williams,"BHALO, Inc.",Council District 27,863048818,5000,Funding will support older adults programming in Council District 27. Page 2 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Restler,"BJHI, Inc.",Exploring Brooklyn Jewish Heritage - Council District 33,462245413,5000,To support the gathering and preservation of Jewish oral and video histories focused on neighborhoods in Council District 33.
Abreu,"Blue Card, Inc., The",Council District 7,131623910,15000,Funding to support Blue Card’s programs and services.
Hanif,Boro Park Jewish Community Council,Council District 39 & Neighborhoods,113475993,11000,To support services for seniors and holocaust survivors in Council District 39 and the surrounding areas.
Brooks-Powers,"Braata Productions, Inc.",Singing for Seniors - Council District 31,273402327,10000,Funding to support Braata singing programming in senior centers in Council District 31.
Aldebol,"Bronx House, Inc.",Community Center - Older Adult Services,131739935,15000,"Funds will support programming for older adults in the Bronx, including meal services, health and wellness programs, arts programming, technology literacy, community connection initiatives, and transportation services for pick-up and drop-off."
Encarnacion,"BronxWorks, Inc.",Community Food Tour - Moore Senior Center,133254484,10000,"To support Community Food Tour series and educate residents about farmers markets, grocery stores, and other food resources at Moore Senior Center."
Feliz,"BronxWorks, Inc.",East Concourse Senior Center,133254484,10000,Funds will support the operations and programming at BronxWorks East Concourse Senior Center.
P. Sanchez,"BronxWorks, Inc.",Morris Innovative Older Adult Center,133254484,30000,"To support art classes, transportation for recreational trips to theaters and other cultural institutions, and the purchase of new electronic equipment to enhance recreational time at the center."
Stevens,"BronxWorks, Inc.",NORC - River Park Towers - Council District 16,133254484,10000,Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at River Park Towers.
Banks,"Brookdale Hospital Medical Center, The",OBH At Your Door: Senior Health & Wellness Workshops - Council District 42,111631746,25000,Funds will provide seniors with healthy activities and wellness workshops throughout the 42nd Council District.
Hudson,Brooklyn Academy of Music,Older Adults & Education Programming - Council District 35,112201344,10000,"Funding to support programming for older adults, including BAM Next Wave and Senior Cinema."
Santosuosso,Brooklyn Academy of Music,Older Adults Cultural & Arts Programming - Council District 47,112201344,5000,"To support cultural and arts talks, Q&As, workshops, and other programming for older adults in Council District 47."
Louis,Brooklyn Academy of Music,Older Adults Education Program - Council District 45,112201344,6000,"Funding will support older adult cinema, social activities, educational programming, community programs, and operations in Council District 45."
Restler,Brooklyn Academy of Music,Senior Movie Program,112201344,5000,Funding to support Senior Movie program at BAM for District 33 older adults.
Restler,Brooklyn Bureau of Community Services,Lifelong Enrichment Program - Council District 33,111630780,5000,To provide support services and programs for older adults with developmental disabilities aged 50 and above in Council District 33.
Narcisse,"Brooklyn Chinese-American Association, Inc.",Avenue U Senior Center,113065859,10000,Funding to support recreational and educational activities for older adults at Avenue U Senior Center.
Hudson,"Brooklyn Community Pride Center, Inc.",LGBTQIA+ Social Isolations Programs (Elders) & Health and Wellness Programs (Elders),262214534,10000,"Funding to support ElderPride, LGBTQ+ Social Isolations Programs (Elders) & Health and Wellness Programs (Elders), including programming and recreational services."
Hudson,Brooklyn Defender Services,Older Adult Legal Assistance - Council District 35,113305406,5000,Funding to support operational expenses of the Civil Justice Program for older adults in Council District 35. Page 3 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Louis,"Brooklyn Lifelong Learning, Inc.",Older Adults Programming - Council District 45,463634121,5000,"Funds will support classes, seminars, and cultural activities for older adults, fostering peer learning and social interaction among retirees in Council District 45."
Nurse,"Bushwick Starr, Inc.",Palmetto Gardens Senior Club,264546315,10000,"Funds will support senior programming, services, and operational support for the Palmetto Gardens Senior Club."
