resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,rescind,,,"Levin CAVE Organization, Inc.",,043763314,-4000,DYCD,260,005,,**
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,designate,,,"Levin CAVE Organization, Inc.",,043763314,4000,DCLA,126,003,,**
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,rescind,,,Lander Annual Gowanus Artists Studio Tour,,753192120,-5000,DYCD,260,005,,
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,designate,,,"Lander Annual Gowanus Artists Studio Tour, Inc.",,753192120,5000,DYCD,260,005,,
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,rescind,,Speaker,BAFA,"Bangladesh Academy of Fine Arts, Inc.",454788710,-25000,DCLA,126,003,,**
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,designate,,Speaker,BAFA,"Bangladesh Academy of Fine Arts, Inc.",454788710,25000,DYCD,260,005,,**
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,rescind,,Speaker,Gjonaj City Island Theater Group,,134048438,-5000,DCLA,126,003,,**
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,designate,,Speaker,Gjonaj City Island Theater Group,,134048438,5000,DYCD,260,005,,**
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,rescind,,Speaker,"Gennaro Children's Orchestra Society, Inc., The",,237106585,-5000,DCLA,126,003,,**
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,designate,,Speaker,"Gennaro Children's Orchestra Society, Inc., The",,237106585,5000,DYCD,260,005,,**
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,rescind,,Speaker,"Cornegy Dwana Smallwood Performing Arts Center, Inc.",,900958731,-5000,DCLA,126,003,,
7,2021-11-23,Local Initiatives - Fiscal 2022,2022,designate,,Speaker,Cornegy Department of Cultural Affairs,,136400434,5000,DCLA,126,003,,
7,2021-11-23,Boroughwide Needs Initiative - Fiscal 2022,2022,rescind,,,"Brooklyn Delegation Art of Brooklyn Festival, Inc., The",Brooklyn Film Festival,453980747,-5000,DCLA,126,003,,**
7,2021-11-23,Boroughwide Needs Initiative - Fiscal 2022,2022,designate,,,"Brooklyn Delegation Art of Brooklyn Festival, Inc., The",Brooklyn Film Festival,453980747,5000,DYCD,260,005,,**
7,2021-11-23,Boroughwide Needs Initiative - Fiscal 2022,2022,rescind,,,"Brooklyn Delegation Dwana Smallwood Performing Arts Center, Inc.",,900958731,-10000,DCLA,126,003,,
7,2021-11-23,Boroughwide Needs Initiative - Fiscal 2022,2022,designate,,,Brooklyn Delegation Department of Cultural Affairs,,136400434,10000,DCLA,126,003,,
7,2021-11-23,Speaker's Initiative - Fiscal 2022,2022,rescind,,Speaker,"West Indian American Day Carnival Association, Inc.",,237176396,-500000,DCLA,126,003,,**
7,2021-11-23,Speaker's Initiative - Fiscal 2022,2022,designate,,Speaker,"West Indian American Day Carnival Association, Inc.",,237176396,500000,DYCD,260,005,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,rescind,,,Department of Cultural Affairs,,136400434,-25000,DCLA,126,003,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,Eugene Brooklyn Botanic Garden Corporation,Council District 40,112417338,15000,DCLA,126,010,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,Snug Harbor Cultural Center & Botanical Garden,Environmental Education & Workforce Borelli Development,800193388,10000,DCLA,126,020,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,rescind,,,Department of Cultural Affairs,,136400434,-8500,DCLA,126,003,,
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,"Diaz Rocking the Boat, Inc.",Free Bronx River Camp and Sailing Camp,134177814,8500,DCLA,126,003,,
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,rescind,,,Department of Youth and Community Development,,136400434,-15084,DYCD,260,005,,
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,"Eugene Council on the Environment, Inc.",Council District 40,132765465,10000,DYCD,260,005,,
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,"Fund for the City of New York, Inc.",Cafeteria Culture's (CafCu) Police Officers & Youth for Eugene Zero Waste (POY 4 ZW/CA),132612524,5084,DYCD,260,005,,
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,rescind,,,Department of Cultural Affairs,,136400434,-66416,DCLA,126,003,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,Vallone Coastal Preservation Network,,510544114,20000,DYCD,260,005,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,"Fund for the City of New York, Inc.",Cafeteria Culture's (CafCu) Police Officers & Youth for Eugene Zero Waste,132612524,4916,DYCD,260,005,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,"Eugene Prospect Park Alliance, Inc.",Council District 40,112843763,15000,DPR,846,006,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,"Diaz HOPE Program, Inc., The",,133268539,8500,DYCD,260,005,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,"Diaz Waterfront Alliance, Inc.",Estaury Explorers,134355067,8000,DYCD,260,005,,**
7,2021-11-23,A Greener NYC - Fiscal 2022,2022,designate,,,"Feliz Horticultural Society of New York, The",Fordham Plaza Maintenance,130854930,10000,DYCD,260,005,,**
7,2021-11-23,SU-CASA - Fiscal 2022,2022,rescind,,,Department of Cultural Affairs,,136400434,-420500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"D. Diaz Bushwick Starr, Inc.",Cypress Hills Fulton Street Senior Citizens Center,264546315,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"D. Diaz Brighton Ballet Theater Company, Inc.",Cypress Hills Fulton Street Senior Citizens Center,113195590,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Brannan Young Dancers in Repertory, Inc.",Homecrest Bensonhurst Neighborhood Senior Center,112799128,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Brannan New York Chinese Cultural Center, Inc.",Bay Ridge Neighorhood Senior Center,132928554,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Riley Jazzmobile, Inc.",JASA Co Op City NORC - Jewish Association for Services for the Aged,132614483,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Lehman College Art Gallery,JASA Einstein Senior Center - Jewish Association for Services Riley for the Aged,133391212,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Snug Harbor Cultural Center & Botanical Garden,Eger Health Care And Rehabilitation Borelli Center,800193388,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Borelli Sundog Theatre, Inc.",JCC South Shore Neighborhood Senior Center,450476945,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Perkins Jazzmobile, Inc.",Canaan Neighborhoood Senior Center,132614483,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Perkins Harlem Needle Arts, Inc.",Food Bank Neighborhood Senior Center,203505872,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Johnson Greenwich House, Inc.",Judith C White Neighborhood Senior Ctr,135562204,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Johnson Alvin Ailey Dance Foundation, Inc.",Penn South NORC - Penn South Social Services Inc,132584273,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Snug Harbor Cultural Center & Botanical Garden,Catholic Charities of Staten Island - Matteo Anderson Avenue Neighborhood Senior Center,800193388,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Sundog Theatre, Inc.",Todt Hill Neighborhood Senior Center - Staten Island Community Matteo Services Friendship Clubs Inc,450476945,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Cumbo Jack Arts, Inc.",Farragut Senior Center - The Spanish Speaking Elderly Council-Raices Inc.,455346846,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Cumbe: Center for African and Diaspora Dance, Inc.","Sage Brooklyn - Services And Cumbo Advocacy For Gay,Lesbian,Bisexual And Transgend",475039336,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Rosenthal Dances for a Variable Population,"Goddard-Riverside Community Center, 250 W. 65th Street",264572204,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Dances for a Variable Population,"Goddard-Riverside Community Center, 593 Columbus Rosenthal Avenue",264572204,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Kallos Young Men's & Young Women's Hebrew Association,Stanley M Isaacs Neighborhood Center,131624229,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Kallos Young Men's & Young Women's Hebrew Association,Roosevelt Island Senior Center,131624229,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Rivera La Mama Experimental Theatre Club, Inc.",Good Companions Neighborhood Senior Center,132620861,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Bronx Opera Company, Inc.",Young Men & Young Women's Hebrew Association of the Bronx Dinowitz dba Riverdale YM/YWHA,237170675,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Dinowitz Bronx Opera Company, Inc.",JASA Van Cortlandt Senior Center,237170675,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Snug Harbor Cultural Center & Botanical Garden,Stapleton Neighborhood Senior Center - Rose Jewish Community Center Of Staten Island,800193388,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,IlluminArt Productions,West Brighton Neighborhood Senior Center - Catholic Charities Rose Community Services Archdiocese of NY,421727647,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Alvin Ailey Dance Foundation, Inc.","Tolentine Zeiser Community Life Center - Regional Aid for Cabrera Interim Needs, Inc.",132584273,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,Cabrera 20/20 Vision for Schools,"Bailey Senior Center - Regional Aid for Interim Needs, Inc.",453023036,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Yeger Town Hall Foundation, Inc.",Boro Park Y Neighborhood Senior Center,237296167,14500,DCLA,126,003,,
7,2021-11-23,SU-CASA - Fiscal 2022,2022,designate,,,"Yeger Town Hall Foundation, Inc.",Council Center For Senior Citizens NSC,237296167,14500,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,rescind,,,"Levin Brooklyn Ballet, Inc.",Public School 8K (13K008),020569320,-20000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,designate,,,"Levin Brooklyn Ballet, Inc.",Intermediate School 915K (13K915),020569320,20000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,rescind,,,Department of Cultural Affairs,,136400434,-660000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,designate,,,Eugene Research Foundation of the City University of New York,CUNY Creative Arts Team,131988190,20000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,designate,,,"Eugene Midtown Management Group, Inc.",,133192793,20000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,designate,,,"Eugene Salvadori Center, Ltd.",,112883503,20000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,designate,,,"Yeger Brooklyn Arts Council, Inc.",Ahi Ezer Yeshiva,237072915,20000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,designate,,,"Yeger Brooklyn Arts Council, Inc.",Intermediate School 096K Seth Low (21K096),237072915,20000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,designate,,,"Yeger Brooklyn Arts Council, Inc.",Public School 164K Caesar Rodney (20K164),237072915,20000,DCLA,126,003,,
7,2021-11-23,Cultural After-School Adventure (CASA) - Fiscal 2022,2022,designate,,,"Yeger Brooklyn Arts Council, Inc.",Public School 205K Clarion (20K205),237072915,20000,DCLA,126,003,,
