organization,budget_line,fy1,fy2,fy3,fy4
NONTRADITIONAL EMPLOYMENT FOR WOMEN,ED DN06V,979000,0,0,0
NORTHSIDE CENTER FOR CHILD DEVELOPMENT,CS DN312,282000,0,0,0
OHEL CHILDREN'S HOME & FAMILY SERVICES,PW DN317,749000,0,0,0
ORIGINAL MUSIC WORKSHOP INC. DBA NATIONAL SAWDUST,PV 0N853,813000,0,0,0
"PEOPLE'S THEATRE PROJECT, INC.",PV 0N05A,1000000,0,0,0
"PLAYWRIGHTS HORIZONS, INC.",PV DN329,500000,0,0,0
POPPENHUSEN INSTITUTE,PV 0N332,500000,0,0,0
PREGONES THEATER,PV 0N333,1541000,0,0,0
"PREMIUM HEALTH, INC.",HL DN03O,798000,0,0,0
PROJECT HOSPITALITY,ED DN06S,182000,0,0,0
QUEENS COMMUNITY HOUSE,PW DN722,3500000,0,0,0
RICHMOND UNIVERSITY MEDICAL CENTER,HL DN346,12828000,0,0,0
RISEBORO COMMUNITY PARTNERSHIP FORMERLY RIDGEWOOD BUSHWICK SENIOR,ED DN05T,295000,0,0,0
"ROOFTOP FILMS, INC.",PV DN767,100000,0,0,0
ROUNDABOUT THEATRE COMPANY,PV 0N354,4600000,0,0,0
ROUNDABOUT THEATRE COMPANY,PV DN354,3250000,0,0,0
RYAN HEALTH AKA WILLIAM F. RYAN COMMUNITY HEALTH CENTER,HL DN164,3420000,0,0,0
SAMUEL FIELD YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSN (YM & YWHA),PW DN371,112000,0,0,0
"SELFHELP COMMUNITY SERVICES, INC.",HR DN376,174000,0,0,0
"SESAME FLYERS INTERNATIONAL, INC.",PV 0N05L,750000,0,0,0
"SESAME FLYERS INTERNATIONAL, INC.",PV DN05L,250000,0,0,0
SEVENTH REGIMENT ARMORY CONSERVANCY,PV 0N381,3000000,0,0,0
SEVENTH REGIMENT ARMORY CONSERVANCY,PV DN381,1100000,0,0,0
SHEMA KOLAINU: HEAR OUR VOICES,PW DN382,1100000,0,0,0
SOUTH STREET SEAPORT MUSEUM,PV 0N394,1000000,0,0,0
ST. GEORGE THEATER,PV DN364,1470000,0,0,0
ST. LUKE'S-ROOSEVELT HOSPITAL CENTER INC. D/B/A MOUNT SINAI ST. LUKE'S,HL DN01F,75000,0,0,0
ST.FRANCIS DE SALES SCHOOL FOR THE DEAF (SFDS),CS DN05H,680000,0,0,0
START TREATMENT & RECOVERY CENTERS,HL DN823,3288000,0,0,0
SYMPHONY SPACE,PV 0N409,1000000,0,0,0
SYMPHONY SPACE,PV DN409,575000,0,0,0
THE ART STUDENTS LEAGUE OF NEW YORK,PV 0N06E,4000000,0,0,0
THE ART STUDENTS LEAGUE OF NEW YORK,PV DN06E,75000,0,0,0
THE BROOKDALE HOSPITAL MEDICAL CENTER,HL DN168,152000,0,0,0
THE FLOATING HOSPITAL,HL DN916,227000,0,0,0
THE HORTICULTURAL SOCIETY OF NEW YORK,PW DN03B,100000,0,0,0
THE NEW SCHOOL,ED DN05Z,1500000,0,0,0
"THEATER FOR THE NEW CITY FOUNDATION, INC.",PV 0N791,326000,0,0,0
"THEATER FOR THE NEW CITY FOUNDATION, INC.",PV DN791,100000,0,0,0
TOURO COLLEGE,PW DN03J,744000,0,0,0
"TOWN HALL FOUNDATION, INC.",PV DN789,491000,0,0,0
"UNION COMMUNITY HEALTH CENTER, INC.",HL DN762,500000,0,0,0
"UNIONDOCS, INC.",PV 0N04W,100000,0,0,0
"UNIONDOCS, INC.",PV DN04W,100000,0,0,0
UNITED JEWISH ORGANIZATIONS OF WILLIAMSBURG,PW DN436,748000,0,0,0
UNIVERSAL HIP HOP MUSEUM,PV 0N01L,800000,0,0,0
VISION URBANA,AG DN06Y,124000,0,0,0
"WELCOME TO CHINATOWN, INC.",ED DN06D,250000,0,0,0
WOMEN'S LEAGUE COMMUNITY RESIDENCES,HL DN908,705000,0,0,0
WYCKOFF HEIGHTS MEDICAL CENTER,HL DN456,3800000,0,0,0
YOUTH DESIGN CENTER,ED DN06N,314000,0,0,0
