year,category,category_canonical,initiative,initiative_canonical,award_type,member,organization,program,ein,amount,agency,purpose
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Eugene,Boro Park Jewish Community Council,,113475993,4000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,Greenfield Boro Park Jewish Community Council,,113475993,15000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Ulrich,"Bridge to Life, Inc., The",,113100048,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Vacca Bronx House, Inc.",,131739935,15000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Cabrera,"Bronx Parent Housing Network, Inc.",,134100758,40000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Espinal Brooklyn Ballers Sports, Youth and Educational Corp.",,651209020,50000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Eugene,Brooklyn Defender Services,,113305406,4000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Levin,Brooklyn Defender Services,,113305406,3500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Mealy,Brooklyn Defender Services,,113305406,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Menchaca,Brooklyn Defender Services,,113305406,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Eugene Brooklyn Housing and Family Services, Inc.",,112412584,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Reynoso,Bushwick Housing Independence Project (BHIP),,201518304,15000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Cumbo,"CAMBA, Inc.",,112480339,4500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Cumbo,"CAMBA, Inc.",,112480339,6000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Eugene,"CAMBA, Inc.",,112480339,4000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Palma,Care For the Homeless,,133666994,25000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Mealy,"Caribbean American Sports and Cultural Youth Movement (CASYM, Inc.)",,112778372,25000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Eugene,"Caribbean Women's Health Association, Inc.",,133323168,10000,,
