category,agencies,initiative,amount
MENTAL HEALTH SERVICES,DOH/MH,"Young Adult Institute and Workshop, Inc.",400000
PARKS AND RECREATION,DPR,Playground Associates,1000000
PUBLIC SAFETY / CRIMINAL JUSTICE SERVICES,CJC,Alternatives to Incarceration (ATIs),4500000
PUBLIC SAFETY / CRIMINAL JUSTICE SERVICES,CJC,Center for Court Innovation,500000
PUBLIC SAFETY / CRIMINAL JUSTICE SERVICES,CJC,Child Advocacy Centers (Safe Horizon),500000
PUBLIC SAFETY / CRIMINAL JUSTICE SERVICES,OEM,Emergency Preparedness (Red Cross),1000000
PUBLIC SAFETY / CRIMINAL JUSTICE SERVICES,FDNY,Fire Company Restoration,16977000
SENIOR SERVICES,DFTA,CityMeals on Wheels,1000000
SENIOR SERVICES,DFTA,Elder Abuse Prevention PEG Restoration,849000
SENIOR SERVICES,DFTA,Food Cost for Senior Centers / Meals On Wheels,4550000
SENIOR SERVICES,DFTA,Healthy Aging,1100000
SENIOR SERVICES,DFTA,Information and Referral Contracts,1500000
SENIOR SERVICES,DFTA,Intergenerational Programs PEG Restoration,850000
SENIOR SERVICES,DFTA,NORC Supportive Service Program,1000000
SENIOR SERVICES,DFTA,Senior Centers PEG Restoration,5000000
SENIOR SERVICES,DFTA,Senior Centers,4500000
SENIOR SERVICES,DFTA,Senior Services –Borough Presidents’ Discretionary Funding PEG Restoration,6100000
SENIOR SERVICES,DFTA,Social Adult Day Care PEG Restoration,2000000
SENIOR SERVICES,DFTA,Space Cost for Senior Centers,1950000
SENIOR SERVICES,DFTA,Transportation - Operating Costs,2550000
SEXUAL ASSAULT SERVICES,CJC,Initiative to Address Sexual Assault,332500
SMALL BUSINESS SERVICES,SBS,Financial Literacy,300000
SMALL BUSINESS SERVICES,SBS,Move Smart / Stay Lean (ITAC),300000
SMALL BUSINESS SERVICES,SBS,MWBE Leadership Associations,800000
SMALL BUSINESS SERVICES,SBS,Non-Traditional Employment for Women,150000
SMALL BUSINESS SERVICES,SBS,Small Business and Job Development,442000
SOCIAL SERVICES,DYCD,EBTs at Food Markets/Council on the Environment,270000
SOCIAL SERVICES,DYCD,Food Pantries,505000
SOCIAL SERVICES,HRA,Food Pantries,1500000
SOCIAL SERVICES,HRA,HIV/AIDS Contracted Cases PEG Restoration,1876000
SOCIAL SERVICES,HRA,Nutrition Program Administration PEG Restoration,491000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Adult Literacy Services,1500000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,After -Three Corporation,3800000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Beacon Programs,3500000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Neighborhood Youth Alliance/Street Outreach,1000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,New York Junior Tennis League,800000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Out-of-School Time (OST) Option II PEG Restoration,4572000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Shelter Beds for At Risk/LGBT Youth,5420000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Sports & Arts in Schools (SASF),1200000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,WHEDCo,255000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,YMCA Virtual Y Program,500000
