Fund,Department,Control Officer,Department ID,Short Title,Link to Website,Department Description,Adopted 2015,Itemized 2015,Adopted 2016,Itemized 2016,Adopted 2017,Itemized 2017,Adopted 2018,Itemized 2018,Adopted 2019,Itemized 2019,Adopted 2020,Itemized 2020,Adopted 2021,Itemized 2021,Adopted 2022,Itemized 2022,Adopted 2023,Itemized 2023,Adopted 2024,Itemized 2024,Adopted 2025,Itemized 2025,Adopted 2026,Itemized 2026,Adopted 2027,Itemized 2027
Boroughwide Needs,AAPI Community Support,DYCD,11,AAPI Community Support,,"“AAPI Community Support” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $4,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Adult Literacy Initiative,DYCD,12,Adult Literacy Initiative,,"“Adult Literacy Initiative” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $4,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Adult Literacy Pilot Project,DYCD,13,Adult Literacy Pilot Project,,"“Adult Literacy Pilot Project” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $2,500,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Child Care Vouchers,ACS,14,Child Care Vouchers,,"“Child Care Vouchers” — a Boroughwide Needs discretionary initiative administered by ACS. FY2017 adopted: $3,000,000.",0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,City's First Readers,DYCD/NYPL/BPL/QBPL,15,City's First Readers,,"“City's First Readers” — a Boroughwide Needs discretionary initiative administered by DYCD/NYPL/BPL/QBPL. FY2020 adopted: $5,194,000.",0,0,1792000,0,2792000,0,4242000,0,4444000,0,5194000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Communities of Color Nonprofit Stabilization Fund,DYCD,16,Communities of Color Nonprofit Stabilization Fund,,"“Communities of Color Nonprofit Stabilization Fund” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $3,700,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Digital Inclusion and Literacy Initiative,DYCD,17,Digital Inclusion and Literacy Initiative,,"“Digital Inclusion and Literacy Initiative” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $4,590,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4590000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Discretionary Child Care,DOE,18,Discretionary Child Care,,"“Discretionary Child Care” — a Boroughwide Needs discretionary initiative administered by DOE. FY2020 adopted: $5,405,190.",0,0,12082540,0,9355069,0,9855190,0,5355190,0,5405190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,"Diversity, Inclusion and Equity in Tech Initiative",Multiple agencies,19,"Diversity, Inclusion and Equity in Tech Initiative",,"“Diversity, Inclusion and Equity in Tech Initiative” — a Boroughwide Needs discretionary initiative administered by Multiple agencies. FY2022 adopted: $700,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,LGBT Community Services,Multiple agencies,20,LGBT Community Services,,"“LGBT Community Services” — a Boroughwide Needs discretionary initiative administered by Multiple agencies. FY2022 adopted: $4,725,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4725000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Multiple Boroughwide Needs Initiative,Unspecified agency,21,Multiple Boroughwide Needs Initiative,,"“Multiple Boroughwide Needs Initiative” — a Boroughwide Needs discretionary initiative administered by Unspecified agency. FY2027 adopted: $2,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,2000000,0,2000000,0,2000000,0,2000000,0,2000000,0
Boroughwide Needs,Priority 5 Vouchers,ACS,22,Priority 5 Vouchers,,"“Priority 5 Vouchers” — a Boroughwide Needs discretionary initiative administered by ACS. FY2016 adopted: $4,400,000.",0,0,4400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Technical Assistance for Child Care Providers (CUNY PDI),CUNY,23,Technical Assistance for Child Care Providers (CUNY PDI),,"“Technical Assistance for Child Care Providers (CUNY PDI)” — a Boroughwide Needs discretionary initiative administered by CUNY. FY2016 adopted: $500,000.",0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Trans Equity Programs,Multiple agencies,24,Trans Equity Programs,,"“Trans Equity Programs” — a Boroughwide Needs discretionary initiative administered by Multiple agencies. FY2022 adopted: $3,275,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275000,0,0,0,0,0,0,0,0,0,0,0
CULTURAL AFFAIRS,Coalition Theaters of Color,DCLA,25,Coalition Theaters of Color,,"“Coalition Theaters of Color” — a CULTURAL AFFAIRS discretionary initiative administered by DCLA. FY2015 adopted: $1,000,000.",1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CULTURAL AFFAIRS,Cultural After-School Adventure (CASA),DCLA,26,Cultural After-School Adventure (CASA),,"“Cultural After-School Adventure (CASA)” — a CULTURAL AFFAIRS discretionary initiative administered by DCLA. FY2015 adopted: $7,100,000.",7100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CULTURAL AFFAIRS,Cultural Immigrant Initiative,DCLA,27,Cultural Immigrant Initiative,,"“Cultural Immigrant Initiative” — a CULTURAL AFFAIRS discretionary initiative administered by DCLA. FY2015 adopted: $1,500,000.",1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,CUNY Advanced Certificate Program,CUNY,28,CUNY Advanced Certificate Program,,"“CUNY Advanced Certificate Program” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $50,000.",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,CUNY Prep,CUNY,29,CUNY Prep,,"“CUNY Prep” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $2,700,000.",2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,Center for Puerto Rican Studies,CUNY,30,Center for Puerto Rican Studies,,"“Center for Puerto Rican Studies” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $970,000.",970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,City Council Merit-Based Scholarships,CUNY,31,City Council Merit-Based Scholarships,,"“City Council Merit-Based Scholarships” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $10,915,000.",10915000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,City Council Merit-Based Scholarships – FIT,DOE,32,City Council Merit-Based Scholarships – FIT,,"“City Council Merit-Based Scholarships – FIT” — a CUNY discretionary initiative administered by DOE. FY2015 adopted: $185,000.",185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,Creative Arts Team,CUNY,33,Creative Arts Team,,"“Creative Arts Team” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $200,000.",200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,Dominican Studies Institute,CUNY,34,Dominican Studies Institute,,"“Dominican Studies Institute” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $970,000.",970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,Murphy Institute Center for Worker Education,CUNY,35,Murphy Institute Center for Worker Education,,"“Murphy Institute Center for Worker Education” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $100,000.",100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,NYC Food Policy Center at Hunter College,CUNY,36,NYC Food Policy Center at Hunter College,,"“NYC Food Policy Center at Hunter College” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $200,000.",200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY,Results Based Accountability for Council Initiatives,CUNY,37,Results Based Accountability for Council Initiatives,,"“Results Based Accountability for Council Initiatives” — a CUNY discretionary initiative administered by CUNY. FY2015 adopted: $500,000.",500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,- RC Staten Island Drug Treatment Court,DA,38,- RC Staten Island Drug Treatment Court,,"“- RC Staten Island Drug Treatment Court” — a Children's Services discretionary initiative administered by DA. FY2016 adopted: $250,000.",0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Adolescent Portable Therapy Program,DOP,39,Adolescent Portable Therapy Program,,"“Adolescent Portable Therapy Program” — a Children's Services discretionary initiative administered by DOP. FY2016 adopted: $250,000.",0,0,250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Adult Literacy Initiative,DYCD,40,Adult Literacy Initiative,,"“Adult Literacy Initiative” — a Children's Services discretionary initiative administered by DYCD. FY2020 adopted: $4,000,000.",0,0,0,0,6000000,0,6000000,0,4000000,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Alternatives to Incarceration (ATI),MOCJ,41,Alternatives to Incarceration (ATI),,"“Alternatives to Incarceration (ATI)” — a Children's Services discretionary initiative administered by MOCJ. FY2016 adopted: $4,432,000.",0,0,4432000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Bail Fund,MOCJ,42,Bail Fund,,"“Bail Fund” — a Children's Services discretionary initiative administered by MOCJ. FY2016 adopted: $1,400,000.",0,0,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Census 2020 Outreach,DYCD,43,Census 2020 Outreach,,"“Census 2020 Outreach” — a Children's Services discretionary initiative administered by DYCD. FY2020 adopted: $14,000,000.",0,0,0,0,0,0,0,0,0,0,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Center for Court Innovation,MOCJ,44,Center for Court Innovation,,"“Center for Court Innovation” — a Children's Services discretionary initiative administered by MOCJ. FY2016 adopted: $500,000.",0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Child Advocacy Centers (Safe Horizon),MOCJ,45,Child Advocacy Centers (Safe Horizon),,"“Child Advocacy Centers (Safe Horizon)” — a Children's Services discretionary initiative administered by MOCJ. FY2016 adopted: $748,000.",0,0,748000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,City's First Readers,DYCD/NYPL/BPL/QBPL,46,City's First Readers,,"“City's First Readers” — a Children's Services discretionary initiative administered by DYCD/NYPL/BPL/QBPL. FY2021 adopted: $3,904,900.",0,0,0,0,0,0,0,0,0,0,0,0,3904900,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Communities of Color Nonprofit Stabilization Fund,DYCD,47,Communities of Color Nonprofit Stabilization Fund,,"“Communities of Color Nonprofit Stabilization Fund” — a Children's Services discretionary initiative administered by DYCD. FY2020 adopted: $3,700,000.",0,0,0,0,2500000,0,3700000,0,3700000,0,3700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Digital Inclusion and Literacy Initiative,DYCD,48,Digital Inclusion and Literacy Initiative,,"“Digital Inclusion and Literacy Initiative” — a Children's Services discretionary initiative administered by DYCD. FY2020 adopted: $3,060,000.",0,0,0,0,2040000,0,3060000,0,3060000,0,3060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Discretionary Child Care,DOE,49,Discretionary Child Care,,"“Discretionary Child Care” — a Children's Services discretionary initiative administered by DOE. FY2021 adopted: $4,900,856.",5023000,5023000,0,0,0,0,0,0,0,0,0,0,4900856,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,"Diversity, Inclusion and Equity in Tech Initiative",Multiple agencies,50,"Diversity, Inclusion and Equity in Tech Initiative",,"“Diversity, Inclusion and Equity in Tech Initiative” — a Children's Services discretionary initiative administered by Multiple agencies. FY2020 adopted: $700,000.",0,0,0,0,0,0,700000,0,700000,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Early Childhood Literacy Initiative,DYCD,51,Early Childhood Literacy Initiative,,"“Early Childhood Literacy Initiative” — a Children's Services discretionary initiative administered by DYCD. FY2015 adopted: $1,500,000.",1500000,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Human Trafficking,MOCJ,52,Human Trafficking,,"“Human Trafficking” — a Children's Services discretionary initiative administered by MOCJ. FY2016 adopted: $750,000.",0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Initiative to Address Sexual Assault,MOCJ,53,Initiative to Address Sexual Assault,,"“Initiative to Address Sexual Assault” — a Children's Services discretionary initiative administered by MOCJ. FY2016 adopted: $600,000.",0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,LGBT Community Services,DYCD,54,LGBT Community Services,,"“LGBT Community Services” — a Children's Services discretionary initiative administered by DYCD. FY2020 adopted: $3,725,000.",0,0,0,0,0,0,0,0,2000000,0,3725000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Priority 5 Vouchers,ACS,55,Priority 5 Vouchers,,"“Priority 5 Vouchers” — a Children's Services discretionary initiative administered by ACS. FY2015 adopted: $10,000,000.",10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Social Justice Postgraduate Fellowship,DCAS,56,Social Justice Postgraduate Fellowship,,"“Social Justice Postgraduate Fellowship” — a Children's Services discretionary initiative administered by DCAS. FY2018 adopted: $900,000.",0,0,0,0,600000,0,900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Technical Assistance for Child Care Providers (CUNY PDI),CUNY,57,Technical Assistance for Child Care Providers (CUNY PDI),,"“Technical Assistance for Child Care Providers (CUNY PDI)” — a Children's Services discretionary initiative administered by CUNY. FY2015 adopted: $1,500,000.",1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children's Services,Trans Equity Programs,Multiple agencies,58,Trans Equity Programs,,"“Trans Equity Programs” — a Children's Services discretionary initiative administered by Multiple agencies. FY2020 adopted: $2,275,000.",0,0,0,0,0,0,0,0,1775000,0,2275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Development,AAPI Community Support,Multiple agencies,59,AAPI Community Support,,"“AAPI Community Support” — a Community Development discretionary initiative administered by Multiple agencies. FY2027 adopted: $4,910,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,5060000,0,5060000,0,5060000,0,4910000,4910000
Community Development,Adult Literacy Forward (Formerly Adult Literacy Pilot Project),DYCD,60,Adult Literacy Forward (Formerly Adult Literacy Pilot Project),,"“Adult Literacy Forward (Formerly Adult Literacy Pilot Project)” — a Community Development discretionary initiative administered by DYCD. FY2026 adopted: $8,245,148.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8245148,8245148,0,0
Community Development,Adult Literacy Initiative,Multiple agencies,61,Adult Literacy Initiative,,"“Adult Literacy Initiative” — a Community Development discretionary initiative administered by Multiple agencies. FY2026 adopted: $6,254,852.",750000,0,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,4000000,667000,4000000,4000000,14000000,0,6254852,0,0,0
Community Development,Adult Literacy Pilot Project,DYCD,62,Adult Literacy Pilot Project,,"“Adult Literacy Pilot Project” — a Community Development discretionary initiative administered by DYCD. FY2025 adopted: $2,500,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2500000,2500000,2500000,2500000,0,0,0,0,0
Community Development,Alternatives to Incarceration (ATI),MOCJ,63,Alternatives to Incarceration (ATI),,"“Alternatives to Incarceration (ATI)” — a Community Development discretionary initiative administered by MOCJ. FY2022 adopted: $14,487,000.",0,0,0,0,5632000,0,6407000,0,8107000,0,13487000,0,0,0,14487000,11451295,0,0,0,0,0,0,0,0,0,0
Community Development,Artificial Intelligence Community Engagement,DYCD,64,Artificial Intelligence Community Engagement,,"“Artificial Intelligence Community Engagement” — a Community Development discretionary initiative administered by DYCD. FY2027 adopted: $1,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000
Community Development,Bail Fund,MOCJ,65,Bail Fund,,"“Bail Fund” — a Community Development discretionary initiative administered by MOCJ. FY2019 adopted: $1,555,000.",0,0,0,0,1400000,0,1400000,0,1555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Development,Center for Court Innovation,MOCJ,66,Center for Court Innovation,,"“Center for Court Innovation” — a Community Development discretionary initiative administered by MOCJ. FY2019 adopted: $1,710,000.",0,0,0,0,500000,0,1710000,0,1710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Development,Communities of Color Non-Profit Stabilization Fund,DYCD,67,Communities of Color Non-Profit Stabilization Fund,,"“Communities of Color Non-Profit Stabilization Fund” — a Community Development discretionary initiative administered by DYCD. FY2015 adopted: $2,500,000.",2500000,2499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Development,Communities of Color Nonprofit Stabilization Fund,DYCD,68,Communities of Color Nonprofit Stabilization Fund,,"“Communities of Color Nonprofit Stabilization Fund” — a Community Development discretionary initiative administered by DYCD. FY2027 adopted: $3,700,000.",0,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000
Community Development,Community Development Initiatives,DYCD,69,Community Development Initiatives,,"“Community Development Initiatives” — a Community Development discretionary initiative administered by DYCD. FY2023 adopted: $7,500,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000,0,0,0,0,0,0,0,0,0
Community Development,Community Interpreter Bank,Multiple agencies,70,Community Interpreter Bank,,"“Community Interpreter Bank” — a Community Development discretionary initiative administered by Multiple agencies. FY2027 adopted: $1,775,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,1400000,1400000,1775000,1775000
Community Development,Digital Inclusion and Literacy Initiative,Multiple agencies,71,Digital Inclusion and Literacy Initiative,,"“Digital Inclusion and Literacy Initiative” — a Community Development discretionary initiative administered by Multiple agencies. FY2027 adopted: $4,590,000.",750000,0,0,0,0,0,0,0,0,0,0,0,1530000,0,0,0,4590000,0,4590000,3990000,4590000,4100000,4590000,4120000,4590000,4195000
Community Development,Discharge Planning,MOCJ,72,Discharge Planning,,"“Discharge Planning” — a Community Development discretionary initiative administered by MOCJ. FY2022 adopted: $250,000.",0,0,0,0,0,0,0,0,0,0,800000,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0
Community Development,Diversion Programs,MOCJ,73,Diversion Programs,,"“Diversion Programs” — a Community Development discretionary initiative administered by MOCJ. FY2022 adopted: $2,525,000.",0,0,0,0,0,0,0,0,0,0,2525000,0,0,0,2525000,0,0,0,0,0,0,0,0,0,0,0
Community Development,"Diversity, Inclusion and Equity in Tech Initiative",DYCD,74,"Diversity, Inclusion and Equity in Tech Initiative",,"“Diversity, Inclusion and Equity in Tech Initiative” — a Community Development discretionary initiative administered by DYCD. FY2027 adopted: $700,000.",0,0,0,0,0,0,0,0,0,0,0,0,595000,0,0,0,700000,0,700000,0,700000,0,700000,700000,700000,700000
Community Development,Initiative to Combat Sexual Assault,MOCJ,75,Initiative to Combat Sexual Assault,,"“Initiative to Combat Sexual Assault” — a Community Development discretionary initiative administered by MOCJ. FY2022 adopted: $4,210,000.",0,0,0,0,1348000,0,1348000,0,2810000,0,3210000,0,0,0,4210000,0,0,0,0,0,0,0,0,0,0,0
Community Development,Innovative Criminal Justice Programs,Multiple agencies,76,Innovative Criminal Justice Programs,,"“Innovative Criminal Justice Programs” — a Community Development discretionary initiative administered by Multiple agencies. FY2022 adopted: $2,637,948.",0,0,0,0,0,0,0,0,0,0,3038000,0,0,0,2637948,0,0,0,0,0,0,0,0,0,0,0
Community Development,LGBT Community Services,Multiple agencies,77,LGBT Community Services,,"“LGBT Community Services” — a Community Development discretionary initiative administered by Multiple agencies. FY2023 adopted: $5,225,000.",0,0,0,0,0,0,0,0,0,0,0,0,3166250,2902750,0,0,5225000,5175000,0,0,0,0,0,0,0,0
Community Development,LGBTQIA+ Community Services,Multiple agencies,78,LGBTQIA+ Community Services,,"“LGBTQIA+ Community Services” — a Community Development discretionary initiative administered by Multiple agencies. FY2027 adopted: $5,200,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4405625,4405625,5200000,5200000,5200000,5175000,5200000,5200000
Community Development,Language Services Worker Co-operatives,DYCD,79,Language Services Worker Co-operatives,,"“Language Services Worker Co-operatives” — a Community Development discretionary initiative administered by DYCD. FY2026 adopted: $2,400,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800000,0,2400000,2400000,0,0
Community Development,Language Services Worker Cooperatives,DYCD,80,Language Services Worker Cooperatives,,"“Language Services Worker Cooperatives” — a Community Development discretionary initiative administered by DYCD. FY2027 adopted: $2,400,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,2400000
Community Development,"MOCJ, DYCD, H+H Supports for Persons Involved in the Sex Trade",Unspecified agency,81,"MOCJ, DYCD, H+H Supports for Persons Involved in the Sex Trade",,"“MOCJ, DYCD, H+H Supports for Persons Involved in the Sex Trade” — a Community Development discretionary initiative administered by Unspecified agency. FY2022 adopted: $4,434,697.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4434697,0,0,0,0,0,0,0,0,0,0,0
Community Development,NYC RISE with Adult Literacy Forward (Formerly Adult Literacy Initiative and Adult Literacy Forward),Multiple agencies,82,NYC RISE with Adult Literacy Forward (Formerly Adult Literacy Initiative and Adult Literacy Forward),,"“NYC RISE with Adult Literacy Forward (Formerly Adult Literacy Initiative and Adult Literacy Forward)” — a Community Development discretionary initiative administered by Multiple agencies. FY2027 adopted: $14,500,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500000,0
