item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,Capital Budget,,All Project Lines – All Projects,1,,,"The appropriations for all projects in the capital budget shall be administered under, and in accordance with, the appropriate provisions of the New York City Charter and the Administrative Code. Each agency shall be required to ensure with regard to each project under its jurisdiction that the City’s Financial Management System is adequately updated with project milestones and explanations for any delays in the schedules of each project."
2,Miscellaneous Budget,098,002,1,"October 31, 2015",,"In relation to the fu nding in unit of appropriation 002 within the Miscellaneous Budget for capital scoping, the Office of Management and Budget shall provide to the Council, no later than October 31, 2015, a report detailing: 1 ) what projects, as identified by capital project ID, underwent design and scoping; 2) the amount of funds expended for each project; 3) how much of the expenditure was reimbursed through an interfund agreement (IFA); 4) projects that were not included in the capital budget after completion of the desig n and scope work; and 5) the budget request and winning bid amount of capital projects included in the adopted capital budget."
3,Department of Youth and Community Development,260,312,1,,,"In relation to the funding in unit of appropriation 312 for the Department’s Summer Youth Employment Program, the Department shall provide, via mail or by electronic means, to all its contract recipients literature advertising the availability of free and reduced cost breakfast and lunch under the “Got Breakfast” Program and the Department of Education’s Summer Breakfast and Lunch Programs, and shall request the contractors to provide to participants the addresses of the closest locations at which these youth may avail themselves of these meals."
4,Department of Health and Mental Hygiene,816,102; 112,2,"April 1, 2015",,"As a condition of the funds in unit of appropriation numbers 102 and 112, no later than April 1, 2015, the Commissioner of the Department of Health and Mental Hygiene (DOHMH) shall provide to the City Council all communicable disease procedures relating to illnesses of potential public health concern that currently exist for schools to which a DOHMH nurse or other school health professional is assigned."
5,Department of Small Business Services,801,010,1,"April 1, 2015",,"[011] - OTPS In relation to the funding in the units of appropriation 010 and 011 for Workforce One programs, the Department of Small Business Services shall provide to the Council, no later than April 1, 2015, a summary detailing the zip codes and census tracts or council districts in which each Workforce One registrant resides."
6,Department of Small Business Services,801,010,1,"April 1, 2015",,"[011]- OTPS In relation to the funding in the units of appropriation 010 and 011 for Workforce One programs, the Department of Small Business Services shall provide to the Council, no later than April 1, 2015, a summary detailing the: 1) number of registrants placed at jobs; 2) Council districts in which registrants placed at jobs reside 3) job category/job classificatio n of job placements; 4) average hourly wage at placement; and 5) Council districts in which the jobs are located. Such information shall be disaggregated by each specific job placement program within Workforce One programs."
7,Department of Health and Mental Hygiene,816,102,1,"April 1, 2014; April 1, 2015; March 1, 2015",,"[112] – OTPS No later than April 1, 2015, as a condition of the funds in units of appropriation 102 and 112, the Commissioner of the Department of Health and Mental Hygiene (DOHMH) shall submit to the Council a report detailing the wait times for services sought in DOHMH’s clinics. The report shall provide the average wait times of services sought, disaggregated by service type, for each DOHMH clinic. Such report shall cover the period of April 1, 2014 through March 1, 2015"
8,Department of Education,040,401,1,"April 1, 2015; April 30, 2015; December 31, 2014; January 1, 2015; January 31, 2015; July 1, 2014; July 31, 2015; June 30, 2015; March 31, 2015; October 1, 2014; October 31, 2014; September 30, 2014","July 1, 2014 to September 30","As a condition to the expenditure of funds appropriated to the unit of appropriation numbers 401, 403, and 481 the Department shall provide quarterly headcount reports to the City Council that lists school-based staff by title, network-based staff by title, and cluster-based staff by title. The quarterly updates shall be submitted as follows: the f irst report shall be submitted on or before October 31, 2014 and shall cover the period beginning July 1, 2014 and ending September 30, 2014. The second update shall be submitted on or before January 31, 2015 and shall cover the period beginning October 1, 2014 and ending December 31, 2014. The third update shall be submitted on or before April 30, 2015 and shall cover the period beginning January 1, 2015 and ending March 31, 2015. The fourth update shall be submitted on or before July 31, 2015 and shall cover the period beginning April 1, 2015 and ending June 30, 2015."
9,Department of Education,040,406,1,"December 1, 2014; June 1, 2015",,"As a condition to the expenditure of funds appropriated to unit of appropriation 406, the Department shall provide a semi-annual list to the City Council detailing the total number of charter schools, listed by name and address, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semi-annual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Education students, disaggregated by grade; 3) the total number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students, disaggregated by grade; 5) the total number of students provided free or reduced price school lunches, disaggregated by grade; and 6) the total sum of year-end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education students further disaggregated by tuition payment category. Such list shall be provided to the Council on December 1, 2014 and June 1, 2015."
10,Department of Education,040,439,1,"April 1, 2015; December 31, 2014",,"As a condition to the expenditure of funds appropriated to units of appropriation 439 and 440, the Department shall provide the City Council a report detailing the total amount of collected and uncollected lunch fees; and the number of school lunches served daily following the same methodology used in the Mayor’s Management Report, disaggregated by free lunch, reduced-priced lunch, and full-priced lunch. For each lunch category, the DOE shall identify the number of lunches served in schools participating in the Universal School Meals program under federal Provision II; the number of lunches served in schools participating in the Community Eligibility Provision (CEP); the number of lunches served in schools participating in the City Council’s Free Lunch in Middle Schools Initiative; and the number of lunches served in schools that do not participate in one of these programs. The report shall include the number of schools participating in each of these lunch programs. The report, which shall include data as of December 31, 2014, shall also include, disaggregated by the number of students attending schools that participate in the Universal School Meals program (Provision II), CEP, the Free Lunch in Middle Schools Initiative, and none of these programs: 1) the number of students eligible for free lunch, disaggregated by the number who are directly certified and not directly certified; and 2) the number and percentage of students who completed and submitted lunch forms and/or an alternative income form. Where data is available through the collection of a form verifying student income levels, the report shall also include: 1) the number of students eligible for reduced-price lunch; and 2) the number of students eligible for full-priced lunch. Such list shall be provided to the Council no later than April 1, 2015."
