resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
10,2017-03-01,Local Initiatives - Fiscal 2017,2017,rescind,,,"Organization Conduit EIN Eugene Workers Defense League, Inc.",,132658431,-6000,DSS/HRA,,,.00) 069 107,**
10,2017-03-01,Local Initiatives - Fiscal 2017,2017,designate,,,"Eugene Workers Defense League, Inc.",,132658431,6000,DYCD,,,.00 260 005,**
10,2017-03-01,Local Initiatives - Fiscal 2017,2017,rescind,,,"Miller Genesis Transitional Housing Ministries, Inc.",,161621304,-5000,DYCD,,,.00) 260 005 *,**
10,2017-03-01,Local Initiatives - Fiscal 2017,2017,designate,,,Miller Queens Borough Public Library,,136400434,5000,QBPL,,,.00 039 001,**
10,2017-03-01,Local Initiatives - Fiscal 2017,2017,rescind,,,"Johnson Friends of Downtown Parks NYC, Inc.",,461974668,-5000,DPR,,,.00) 846 006,
10,2017-03-01,Local Initiatives - Fiscal 2017,2017,designate,,,Johnson Department of Parks and Recreation,,136400434,5000,DPR,,,.00 846 006,
10,2017-03-01,Aging Discretionary - Fiscal 2017,2017,rescind,,,Organization Conduit EIN Richards Young Israel of Wavecrest and Bayswater,,112342565,-20000,DFTA,,,.00) 125 003 *,
10,2017-03-01,Aging Discretionary - Fiscal 2017,2017,designate,,,Richards National Council of Young Israel,Young Israel Programs,030381957,20000,DFTA,,,.00 125 003,
10,2017-03-01,Aging Discretionary - Fiscal 2017,2017,rescind,,,"Staten Island Community Services Friendship Clubs, Inc.",Borelli Great Kills Friendship Club & Mount Loretto Senior Center,132778244,-5000,DFTA,,,.00) 125 003,
10,2017-03-01,Aging Discretionary - Fiscal 2017,2017,designate,,,"Staten Island Community Services Friendship Clubs, Inc.",Borelli Great Kills Friendship Club,132778244,2500,DFTA,,,.00 125 003,
10,2017-03-01,Aging Discretionary - Fiscal 2017,2017,designate,,,"Staten Island Community Services Friendship Clubs, Inc.",Borelli Mount Loretto Senior Center,132778244,2500,DFTA,,,.00 125 003,
10,2017-03-01,A Greener NYC Initiative - Fiscal 2017,2017,rescind,,,"Menchaca Brooklyn Greenway Initiative, Inc.",,203283721,-39254,DYCD,,,.00) 260 005 *,
10,2017-03-01,A Greener NYC Initiative - Fiscal 2017,2017,designate,,,"Menchaca Horticultural Society of New York, Inc.",,130854930,39254,DYCD,,,.00 260 005 *,
10,2017-03-01,NYC Cleanup Initiative - Fiscal 2017,2017,rescind,,,Department of Youth and Community Development,,136400434,-185882,DYCD,,,.00) 260 005,**
