resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,rescind,,,Organization Conduit EIN Ulrich Howard Beach Motor Boat Club,,112336232,-4000,DYCD,,,.00) 260 005 *,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,designate,,,"Ulrich Sports and Arts in Schools Foundation, Inc.",,113112635,4000,DYCD,,,.00 260 312,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,rescind,,,"Grodenchik Queens Villiage Hollis Bellerose Volunteer Ambulance Corps, Inc",,237366237,-5000,FDNY,,,.00) 057 005,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,designate,,,"Grodenchik Queens Village Hollis Bellerose Volunteer Ambulance Corps, Inc.",,237366237,5000,FDNY,,,.00 057 005,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,rescind,,,"Perkins West Harlem Environmental Action, Inc.",,133600068,-5000,DYCD,,,.00) 260 005 *,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,designate,,,"Perkins West Harlem Environmental Action, Inc.",,133800068,5000,DYCD,,,.00 260 005,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,rescind,,,"Levine West Harlem Environmental Action, Inc.",,133600068,-5000,DYCD,,,.00) 260 005 *,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,designate,,,"Levine West Harlem Environmental Action, Inc.",,133800068,5000,DYCD,,,.00 260 005,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,rescind,,,"Levin Hosh Yoga, Inc.",,264701960,-3500,DOE,,,.00) 040 402 *,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,designate,,,"Levin Hosh Yoga, Inc.",,264791960,3500,DOE,,,.00 040 402,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,rescind,,,"Chin Washington Square Park Conservancy, Inc.",,461406128,-5000,DPR,,,.00) 846 006 *,
12,2017-04-05,Local Initiatives - Fiscal 2017,2017,designate,,,Chin Department of Parks and Recreation,,136400434,5000,DPR,,,.00 846 006,
12,2017-04-05,Youth Discretionary - Fiscal 2017,2017,rescind,,,"Organization Conduit EIN Deutsch New York United Jewish Association, Inc.",,262302157,-5000,DYCD,,,.00) 260 312 *,
12,2017-04-05,Youth Discretionary - Fiscal 2017,2017,designate,,,"Deutsch New York United Jewish Association, Inc.",,262647383,5000,DYCD,,,.00 260 312,
12,2017-04-05,Youth Discretionary - Fiscal 2017,2017,rescind,,,"Rose Varsity Club of Staten Island, Inc.",,133999327,-3000,DYCD,,,.00) 260 312 *,
12,2017-04-05,Youth Discretionary - Fiscal 2017,2017,designate,,,"Rose Varsity Club of Staten Island, Inc.",,133993270,3000,DYCD,,,.00 260 312,
12,2017-04-05,Anti-Poverty Initiative - Fiscal 2017,2017,rescind,,,Organization Conduit EIN Levine Centro Altagracia de Fe y Justicia,,161765323,-4000,DYCD,,,.00) 260 005,**
12,2017-04-05,Anti-Poverty Initiative - Fiscal 2017,2017,designate,,,Levine Department of Parks and Recreation,,136400434,4000,DPR,,,.00 846 006,**
12,2017-04-05,Speaker's Initiative to Address Citywide Needs - Fiscal 2017,2017,rescind,,Speaker,"Organization Conduit EIN Queens Villiage Hollis Bellerose Volunteer Ambulance Corps, Inc",,237366237,-5000,FDNY,,,.00) 057 005,
12,2017-04-05,Speaker's Initiative to Address Citywide Needs - Fiscal 2017,2017,designate,,Speaker,"Queens Village Hollis Bellerose Volunteer Ambulance Corps, Inc.",,237366237,5000,FDNY,,,.00 057 005,
12,2017-04-05,Borough-wide Needs Initiative - Fiscal 2017,2017,rescind,,,"Organization Conduit EIN Staten Island Varsity Club of Staten Island, Inc. Delegation",,133999327,-3000,DYCD,,,.00) 260 312 *,
12,2017-04-05,Borough-wide Needs Initiative - Fiscal 2017,2017,designate,,,"Staten Island Varsity Club of Staten Island, Inc. Delegation",,133993270,3000,DYCD,,,.00 260 312,
12,2017-04-05,HIV/AIDS Faith Based Initiative - Fiscal 2017,2017,rescind,,,"Queens Delegation Jamaica Service Program for Older Adults, Inc. (JSPOA)",,510204121,-22400,DOHMH,,,.00) 816 112 *,
12,2017-04-05,HIV/AIDS Faith Based Initiative - Fiscal 2017,2017,designate,,,"Queens Delegation AIDS Center of Queens County, Inc.",,112837894,11200,DOHMH,,,.00 816 112,
12,2017-04-05,HIV/AIDS Faith Based Initiative - Fiscal 2017,2017,designate,,,Queens Delegation Greater Allen AME Cathedral of New York,,112527706,11200,DOHMH,,,.00 816 112 *,
12,2017-04-05,HIV/AIDS Faith Based Initiative - Fiscal 2017,2017,rescind,,,Brooklyn Delegation Grace Baptist Church,,030570707,-13021,DOHMH,,,.00) 816 112 *,
12,2017-04-05,HIV/AIDS Faith Based Initiative - Fiscal 2017,2017,designate,,,Brooklyn Delegation Grace Baptist Church,,030570727,13021,DOHMH,,,.00 816 112 *,
12,2017-04-05,Digital Inclusion and Literacy Initiative - Fiscal 2017,2017,rescind,,,"Williams Digital Girl, Inc.",,478822307,-20000,DYCD,,,.00) 260 005,
12,2017-04-05,Digital Inclusion and Literacy Initiative - Fiscal 2017,2017,designate,,,"Williams Digital Girl, Inc.",,472288307,20000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,Department of Education,,136400434,173196,DOE,,,.00 040 401,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,rescind,,,Department of Education,,136400434,-463300,DOE,,,.00) 040 402,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,Department of Education,,136400434,100000,DOE,,,.00 040 416,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,Department of Education,,136400434,100000,DOE,,,.00 040 454,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,rescind,,,Department of Youth and Community Development,,136400434,-785600,DYCD,,,.00) 260 005,**
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,New York Public Library,Bronx,136400434,70000,NYPL,,,.00 037 004,**
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,Queens Borough Public Library,,136400434,60000,QBPL,,,.00 039 001,**
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,SCO Family of Services,,112777066,100000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"Central Queens YM & YWHA, Inc.",,111633509,50000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"Greater Ridgewood Youth Council, Inc.",,112518141,50000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"Haitian Americans United for Progress, Inc.",,112423857,50000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"Southern Queens Park Association, Inc.",,112432846,50000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,New Immigrant Community Empowerment (NICE),,113560625,50000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"Catholic Charities Community Services, Archdiocese of New York",,135562185,100000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,Asian Americans for Equality,,133187792,50000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"Chinese American Planning Council, Inc.",,136202692,30000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"Sunnyside Community Service, Inc.",,510189327,30000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,Korean American Family Services,,133609811,30000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"East Side House, Inc.",,131623989,50000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"Phipps Neighborhoods, Inc.",,132707665,70000,DYCD,,,.00 260 005,
12,2017-04-05,Adult Literacy Initiative - Fiscal 2017,2017,designate,,,"BronxWorks, Inc.",,133254484,35704,DYCD,,,.00 260 005,
12,2017-04-05,Bail Fund Initiative - Fiscal 2017,2017,rescind,,,"Liberty Fund, Inc.",,383974312,-105000,MOCJ,,,.00) 098 002,**
12,2017-04-05,New York Family Unity Project Initiative - Fiscal 2017,2017,designate,,,"Bronx Defenders, The",,133931074,35000,DSS/HRA,,,.00 069 107,**
12,2017-04-05,New York Family Unity Project Initiative - Fiscal 2017,2017,designate,,,Brooklyn Defender Services,,113305406,35000,DSS/HRA,,,.00 069 107,**
12,2017-04-05,New York Family Unity Project Initiative - Fiscal 2017,2017,designate,,,Legal Aid Society,,135562265,35000,DSS/HRA,,,.00 069 107,**
12,2017-04-05,Crisis Management System - Fiscal 2017,2017,rescind,,,"Police Athletic League, Inc.",I.S. 117 Joseph H. Wade 17K568,135596811,-40000,DOE,,,.00) 040 402,
12,2017-04-05,Crisis Management System - Fiscal 2017,2017,designate,,,"Police Athletic League, Inc.",I.S. 117 Joseph H. Wade 09X117,135596811,40000,DOE,,,.00 040 402,
12,2017-04-05,"Developmental, Psychological and Behavioral Health Services Initiative - Fiscal 2017",2017,rescind,,,"* Jamaica Service Program for Older Adults, Inc. (JSPOA)",,510204121,-204103,DOHMH,,,.00) 816 120,
12,2017-04-05,"Developmental, Psychological and Behavioral Health Services Initiative - Fiscal 2017",2017,designate,,,"Jewish Board of Family and Children's Services, Inc.",,135564937,204103,DOHMH,,,.00 816 120,
12,2017-04-05,LGBT Inclusive Curriculum - Fiscal 2017,2017,rescind,,,* Teachers College Columbia University,,131624202,-32588,DOE,,,.00) 040 454,
12,2017-04-05,LGBT Inclusive Curriculum - Fiscal 2017,2017,designate,,,Department of Education,,136400434,7588,DOE,,,.00 040 454,
12,2017-04-05,LGBT Inclusive Curriculum - Fiscal 2017,2017,designate,,,"Hetrick-Martin Institute, Inc.",,133104537,25000,DOE,,,.00 040 454,
12,2017-04-05,Naturally Occurring Retirement Communities (NORCs) - Fiscal 2017,2017,rescind,,,Jewish Association for Services for the Aged (JASA),Penn South Program for Seniors (Mutual Redevelopment House,132620896,-20000,DFTA,,,.00) 125 003,
12,2017-04-05,Naturally Occurring Retirement Communities (NORCs) - Fiscal 2017,2017,designate,,,"Penn South Social Services, Inc.",Mutual Redevelopment Houses,133413349,20000,DFTA,,,.00 125 003,
