resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,"Organization Conduit EIN Rose Participatory Budgeting Project, Inc.",,453858268,-5000,DYCD,,,.00) 260 005,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Rose Children's Aid Society, The",,135562191,5000,DYCD,,,.00 260 312 *,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Dromm Department of Sanitation,,136400434,15000,DSNY,,,.00 827 109,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Dromm Translatina Network, Inc.",,474807380,5000,DOHMH,,,.00 816 113 *,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,Rosenthal Department of Transportation,,136400434,-1000,DOT,,,.00) 841 004,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Rosenthal New York City Housing Authority,Douglass Rehab,136400434,1000,NYCHA,,,.00 098 002,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,"Richards Fund for the City of New York, Inc.",,132612524,-45000,DYCD,,,.00) 260 312,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Richards 4 Kids in Need,,300539949,5000,DYCD,,,.00 260 312,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Richards Fund for the City of New York, Inc.",,132612524,5000,DYCD,,,.00 260 312,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Richards UYFL Foundation, Inc.",,460605113,5000,DYCD,,,.00 260 312,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Richards VETS, Inc.",,272280570,5000,DYCD,,,.00 260 005 *,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Richards Young Men's Christian Association of Greater New York,,131624228,5000,DYCD,,,.00 260 312 *,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Richards Opportunities for a Better Tomorrow,,112934620,20000,DYCD,,,.00 260 005,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,"Richards Business Outreach Center Network, Inc.",,113306111,-20000,DSBS,,,.00) 801 002,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,Richards Rockaway Development and Revitalization Corporation,,112575794,-15000,DSBS,,,.00) 801 002,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,Richards Wildcat Service Corporation,,132725423,-10000,DSS/HRA,,,.00) 069 105 *,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Richards Queens Borough Public Library,Far Rockaway Library,136400434,10000,QBPL,,,.00 039 001,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Richards Queens Borough Public Library,Laurelton Library,136400434,3000,QBPL,,,.00 039 001,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Richards A Better Jamaica, Inc.",,113804421,5000,DCLA,,,.00 126 003 *,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Richards Black Spectrum Theatre Company, Inc.",,510135262,4500,DCLA,,,.00 126 003,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Richards Ocean Bay Community Developement Corporation,,841622031,6500,DYCD,,,.00 260 005,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Richards Swim Strong Foundation, Inc.",,371526132,14000,DYCD,,,.00 260 312,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Richards Federation of Protestant Welfare Agencies, Inc.",,135562220,2000,DYCD,,,.00 260 005,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,"Williams CaribBeing, Inc.",,455192099,-7000,DCLA,,,.00) 126 003 *,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Williams Sesame Flyers International, Inc.",,112692485,7000,DCLA,,,.00 126 003 *,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,Chin APICHA Community Health Center,,133706365,-6000,DOHMH,,,.00) 816 112,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,"Chin New York Harbor Foundation, Inc.",,272918478,-5000,DOE,,,.00) 040 402 *,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,"Chin New York Asian Women's Center, Inc.",,133286250,-5000,MOCJ,,,.00) 098 002,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,Chin New York City Housing Authority,175 Eldridge Street TA,136400434,1000,NYCHA,,,.00 098 002,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Chin Chinese Musical Arts, Inc.",,112697595,5000,DYCD,,,.00 260 005 *,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Chin HT Dance Company, Inc.",,132968079,5000,DYCD,,,.00 260 312 *,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Chin Working in Support of Education, Inc.",,134024627,5000,DYCD,,,.00 260 312,**
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,Chin New York City Housing Authority New York City Housing Authority- 216 Eldridge Street Tenant Chin 13-6400434 NYCHA 098 002 New York City Housing Authority- Alfred E Smith Houses Tenant Chin 13-6400434 NYCHA 098 002 New York City Housing Authority- Two Bridges Tower- 286 South Chin 13-6400434 NYCHA 098 002 New York City Housing Authority- Seward Park Extention Tenant Chin 13-6400434 NYCHA 098 002 New York City Housing Authority- Rutgers Houses Tenant Chin 13-6400434 NYCHA 098 002 New York City Housing Authority- LaGuardia 282 Cherry Tenant Chin 13-6400434 NYCHA 098 002,,136400434,-13500,NYCHA,,,.00) 098 002,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,Organization Conduit EIN New York City Housing Authority- Rafael Hernandez- 189 Allen Chin 13-6400434 NYCHA 098 002 New York City Housing Authority- LaGuardia Houses Tenant Chin 13-6400434 NYCHA 098 002 Crowley St. Stanislaus Athletic Association,,111981305,-6000,DYCD,,,.00) 260 312 *,
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,designate,,,"Crowley St. Stanislaus Athletic Association Coptic Othdox Patriarchate of Alxndria St MRY VRGN and St Crowley 11-2527896 DYCD 260 312 * Coptic Othdox Patriarchate of Alxndria St MRY VRGN and St Crowley 11-2527896 DYCD 260 312 Maspeth Town Hall, Inc. 237259702",,111981305,6000,DYCD,,,".00 260 312 Maspeth Town Hall, Inc. 237259702 *",*
1,2016-07-14,Local Initiatives - Fiscal 2017,2017,rescind,,,"Allied Veterans Memorial Committee of Greater Ridgewood and Crowley 38-3853340 DYCD 260 005 * Allied Veterans Memorial Committee of Greater Ridgewood and Crowley 38-3853340 DYCD 260 005 Maspeth Town Hall, Inc. 237259702 * Crowley Glendale Civilian Observation Patrol, Inc., The",,112502910,-9500,DYCD,,,.00) 260 005 *,
