resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,rescind,,,"Organization Conduit EIN Cooper Square Community Development Committee and Mendez Businessmen's Association, Inc.",,132666211,-33000,HPD,,,.00) 806 009,
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,designate,,,"Mendez Cooper Square Commuinty Development Committee, Inc.",,132666211,33000,HPD,,,.00 806 009,
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,rescind,,,"Cabrera Big Apple Circus, Ltd.",,132906037,-5000,DCLA,,,.00) 126 003,**
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,designate,,,Cabrera Public School 555X,Mount Eden Children's Academy,136400434,5000,DOE,,,.00 040 402,**
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,rescind,,,"Palma NYC New Beginning Animal Rescue, Inc.",,453250269,-10000,DOHMH,,,.00) 816 114,**
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,designate,,,Palma Kips Bay Boys & Girls Club,,131623850,10000,DYCD,,,.00 260 312 *,**
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,rescind,,,"Dickens Vera Institute of Justice, Inc.",,131941627,-11500,MOCJ,,,.00) 098 002 *,**
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,designate,,,"Dickens Northside Center for Child Development, Inc.",,131656679,6000,DYCD,,,.00 260 312 *,
6,2016-11-16,Local Initiatives - Fiscal 2017,2017,designate,,,"Dickens Brotherhood Sister Sol, Inc., The",,133857387,5500,DYCD,,,.00 260 312 *,**
6,2016-11-16,Youth Discretionary - Fiscal 2017,2017,rescind,,,"Organization Conduit EIN Borelli Volunteers of Americcan, Inc.",,581959781,-10000,DYCD,,,.00) 260 312,
6,2016-11-16,Youth Discretionary - Fiscal 2017,2017,designate,,,"Borelli Volunteers of America, Inc.",,581959781,10000,DYCD,,,.00 260 312,
6,2016-11-16,Anti-Poverty Initiative - Fiscal 2017,2017,rescind,,,"Organization Conduit EIN Cooper Square Community Development Committee and Chin Businessmen's Association, Inc.",,132666211,-5000,HPD,,,.00) 806 009,
6,2016-11-16,Anti-Poverty Initiative - Fiscal 2017,2017,designate,,,"Chin Cooper Square Commuinty Development Committee, Inc.",,132666211,5000,HPD,,,.00 806 009,
6,2016-11-16,Anti-Poverty Initiative - Fiscal 2017,2017,rescind,,,Dickens Bank Street College of Education,,135562167,-6000,DOE,,,.00) 040 402,**
6,2016-11-16,Anti-Poverty Initiative - Fiscal 2017,2017,designate,,,Dickens Bank Street College of Education,,135562167,6000,DYCD,,,.00 260 312,**
6,2016-11-16,Healthy Aging Initiative- Fiscal 2017,2017,rescind,,,"Chin Educational Alliance, Inc.",,135562210,-17745,DFTA,,,.00) 125 003,
6,2016-11-16,Healthy Aging Initiative- Fiscal 2017,2017,designate,,,"Chin Vision Urbana, Inc.",,133848575,17745,DFTA,,,.00 125 003,
6,2016-11-16,Cultural After-School Adventure (CASA) - Fiscal 2017,2017,rescind,,,Department of Cultural Affairs,,136400434,-20000,DCLA,,,.00) 126 003,
6,2016-11-16,Cultural After-School Adventure (CASA) - Fiscal 2017,2017,designate,,,"Greenfield Brooklyn Arts Council, Inc.",Ahi Ezer Yeshiva School,237072915,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural After-School Adventure (CASA) - Fiscal 2017,2017,rescind,,,"Rodriguez Association of Dominican Classical Artists, Inc.",Juan Pablo Duarte,133843597,-20000,DCLA,,,.00) 126 003,
6,2016-11-16,Cultural After-School Adventure (CASA) - Fiscal 2017,2017,designate,,,"Rodriguez Association of Dominican Classical Artists, Inc.",Gregorio Luperon High School,133843597,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural After-School Adventure (CASA) - Fiscal 2017,2017,rescind,,Salamanca,Renaissance EMS,South Bronx Charter School for the International Cultures and the Arts,134122438,-20000,DCLA,,,.00) 126 003,
6,2016-11-16,Cultural After-School Adventure (CASA) - Fiscal 2017,2017,designate,,Salamanca,Renaissance Youth Center,South Bronx Charter School for the International Cultures and the Arts,134122438,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,rescind,,,Department of Cultural Affairs,,136400434,-320000,DCLA,,,.00) 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"Chin Hester Street Collaborative, Inc.",,200774906,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,Chin Asian American Writers' Workshop,,133677911,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"Chin Society of the Educational Arts, Inc. (SEA)",,113210593,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,Chin Museum of Food and Drink,,203735162,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"Chin National Asian American Theatre Company, Inc.",,133486145,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,Kallos Friends of the Upper East Side Historic Districts,,133193351,60000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"Kallos Historic Districts Council, Inc.",,133389566,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"Kallos Chashama, Inc.",,133862422,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"King Shadow Box Theatre, Inc., The",,132725580,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,Cornegy Purelements: An Evolution in Dance,,205332584,10000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,Cornegy Bedford Stuyvesant Restoration Corporation,,116083182,10000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"Matteo Sundog Theatre, Inc.",,450476945,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"Matteo Jacques Marchais Museum of Tibetan Art, Inc.",,237280740,20000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,"Matteo Friends of Alice Austen House, Inc.",,133248928,10000,DCLA,,,.00 126 003,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,Matteo IlluminArt Productions,,421727647,10000,DCLA,,,.00 126 003 *,
6,2016-11-16,Cultural Immigrant Initiative - Fiscal 2017,2017,designate,,,Matteo Garibaldi-Meucci Museum,,061725844,20000,DCLA,,,.00 126 003,
6,2016-11-16,Food Pantries - Fiscal 2017,2017,rescind,,,Department of Youth and Community Development,,136400434,-61290,DYCD,,,.00) 260 005,
