member,organization,program,ein,amount,purpose
Riley,1199 SEIU Employer Child Care Corporation,,134063281,10000,Funds will be used for the WorkForce2000 Program (WF2)
Ayala,"2020 Vision for Schools, Inc.",,453023036,5000,"To provide funding to support programming that promotes fitness, sportsmanship, and teamwork for youth in Council District 8."
Brannan,"2020 Vision for Schools, Inc.",,453023036,7500,Funding to support the Youth Mentoring Program in Council District 43.
Rivera,"2020 Vision for Schools, Inc.",,453023036,5000,Funds will support Thrive Collective's programs and operations in Council District 2.
Treyger,"2020 Vision for Schools, Inc.",Coney Island Mural Project,453023036,8500,Funding for a mural project in partnership with a public school in Coney Island in Council District 47.
Cabrera,"2020 Vision for Schools, Inc.",School Murals - Council District 14,453023036,10000,Funding will support 20/20's school mural program for 2 schools in Council District 14. This will also cover 20/20's mentorship program for youth in Council District 14.
Louis,"67th Precinct Clergy Council, Inc.",Flatbush Leadership Academy,274581070,4000,Funds will be used to support the Flatbush Leadership Academy.
Maisel,"69th Precinct Community Council, Inc.",Explorer Program,474186950,3000,"Funds will assist in providing services and supplies to the Explorer Program, youth baseball and events."
Moya,82nd Street Academics,Public School 280Q - Council District 21,200788352,10000,To sponsor residents of Council District 21 to attend after school program at Public School 280Q.
Dromm,82nd Street Academics,Renaissance Charter School,200788352,40000,To support after-school program at the Renaissance Charter School.
Chin,"A Place for Kids, Inc.",,133624631,5000,Funding to support education program for at-risk children in Chinatown and LES.
Rivera,"A Place for Kids, Inc.",Public School 34M,133624631,5000,Funds will support A Place for Kids after school programs at PS 34M.
Vallone,"AABR, Inc.",New York Child Learning Institute (NYCLI),131968035,5000,Funding will support the New York Child Learning Institute.
Johnson,"Abundant Waters, Inc.",,133706659,10000,Funding to support services of a Learning Specialist who assesses and diagnoses a child's learning difficulties and/or differences.
Ampry-Samuel,Adelaide Sanford Institute,Parent Leadership Institute,270589817,5000,Funding to support Parent Leadership programming.
Cumbo,Adelaide Sanford Institute,Parent Leadership Institute,270589817,5000,"Funding to support operating costs for a tiered, holistic approach to education for students of color."
Cornegy,"Advocates for Children of New York, Inc.",,112247307,5000,To support the Jill Chaifetz Helpline which assists parents in the five boroughs trying to help their children succeed in school.
Levin,"Advocates for Children of New York, Inc.",Education Helpline,112247307,3500,Funding will support the expenses associated with the Education Helpline.
Menchaca,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,Funding will support the expenses associated with the Education Helpline for families of Council District 38.
Rivera,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,Funds will support the operations of the Jill Chaifetz Education Helpline.
Perkins,"African Diaspora Film Festival, Inc.",Educational Enrichment,743058513,7500,Funds will support ADIFF Educational Enrichment programming & activities
Rose,"African Refuge, Inc.",Elementary School Youth Program,010873188,10000,"Funds will support the administrative, staffing and operational costs associated with the organization's elementary and high school educational assistance programs. Page 160 Appendix C: Youth Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Brooks-Powers,Agape Community Services Corporation,Agape Eagles Summer Fun,311785007,5000,Funds to be used for the Agape Eagles Summer Fun program.
Johnson,Ali Forney Center,,300104507,7000,"Funding to support maintaining AFC's 24-hour, year-round Drop-In Center."
Menchaca,Ali Forney Center,,300104507,15000,Funds will be used for programming and other social services to support homeless and immigrant LGBTQ youth in Council District 38.
Perkins,Ali Forney Center,Harlem Drop-In Center - Council District 9,300104507,10000,To support services for LGBTQ homeless youth.
Levine,Ali Forney Center,LGBTQ Youth - Council District 7,300104507,5000,To provide housing and other social services to homeless LGBTQ youth in Council District 7.
Levin,Ali Forney Center,Youth Drop-In Center,300104507,5000,"Funding will support AFC's 10 housing sites and multi-purpose Drop-In Center, where LGBTQ youth can come for meals, clothing, HIV support and services."
Grodenchik,"Alley Pond Environmental Center, Inc.",,112405466,18000,To fund environmental educational programs.
Koo,"Alley Pond Environmental Center, Inc.",,112405466,5000,To support programming costs for environmental education for students and residents of Council District 20.
Grodenchik,"American Martyrs Roman Catholic Church, Inc.",Athletic Programs,111816736,9500,To help support facilities costs for athletic programs.
Maisel,"Amity Little League, Inc.",,112705385,5000,"Funds will support supplies, equipment, and other needs to provide baseball and sports program to the community. CD48 Amudim Community Resources, Inc."
,"Funds will support supplies, equipment, and other needs to provide baseball and sports program to the community. CD48 Amudim Community Resources, Inc.",,470984801,21000,Funding to support crisis intervention & management services for at risk youth.
Yeger,"Amudim Community Resources, Inc.",,470984801,7000,"Funds will be used for crisis intervention and management of issues relating to drugs, mental health, domestic violence, at-risk youth, and sexual abuse."
Ampry-Samuel,Antioch Development Corporation,DREAMS Youthbuild & Young Adult Training Program,113441170,5000,Funds will be used to cover cost associated DREAMS Youthbuild and Young Adult Training Program.
