category,agencies,initiative,amount
ANTI-POVERTY,,Multiple Anti-Poverty Initiative,2800000
BOROUGHWIDE NEEDS,,Multiple Boroughwide Needs Initiative,2000000
COMMUNITY DEVELOPMENT,"DYCD, CUNY",AAPI Community Support,5060000
COMMUNITY DEVELOPMENT,"DYCD, CUNY, NYPL, QBPL",Adult Literacy Initiative,6254852
COMMUNITY DEVELOPMENT,DYCD,Adult Literacy Forward (Formerly Adult Literacy Pilot Project),8245148
COMMUNITY DEVELOPMENT,DYCD,Communities of Color Nonprofit Stabilization Fund,3700000
COMMUNITY DEVELOPMENT,DYCD,Community Interpreter Bank,1400000
COMMUNITY DEVELOPMENT,"BXCB, DCLA, DFTA, DOE, DYCD, QBPL",Digital Inclusion and Literacy Initiative,4590000
COMMUNITY DEVELOPMENT,DYCD,"Diversity, Inclusion and Equity in Tech Initiative",700000
COMMUNITY DEVELOPMENT,DYCD,Language Services Worker Co-operatives,2400000
COMMUNITY DEVELOPMENT,"CUNY, DCLA, DYCD",LGBTQIA+ Community Services,5200000
COMMUNITY DEVELOPMENT,"DHMH, DYCD",Trans Equity Programs,6450000
COMMUNITY SAFETY AND VICTIM SERVICES,,Multiple Community Safety and Victim Services Initiative,5100000
CRIMINAL JUSTICE SERVICES,"DYCD, MOCJ","Alternatives to Incarceration and Reentry Programs (Formerly Alternatives to Incarceration, Discharge Planning, and Diversion Programs)",19962000
CRIMINAL JUSTICE SERVICES,"ACS, DYCD",Initiative to Combat Sexual Assault,4160000
CRIMINAL JUSTICE SERVICES,"DCLA, DYCD, DABK",Innovative Criminal Justice Programs,2637948
CRIMINAL JUSTICE SERVICES,DHMH,Justice Involved Supportive Housing (JISH) (Formerly Discharge Planning),2095639
CRIMINAL JUSTICE SERVICES,DYCD,Support for Victims of Human Trafficking,1075000
CRIMINAL JUSTICE SERVICES,"DYCD, HHC",Supports for Persons Involved in the Sex Trade,3476697
CULTURAL ORGANIZATIONS,"DCLA, DYCD, QBPL",Coalition Theaters of Color,5715000
CULTURAL ORGANIZATIONS,"DCLA, DYCD, CUNY",Cultural After-School Adventure (CASA),17340000
CULTURAL ORGANIZATIONS,"DCLA, DYCD, CUNY",Cultural Immigrant Initiative,7395000
CULTURAL ORGANIZATIONS,DCLA,Ghetto Film School (GFS) Accelerator Program Model,75000
CULTURAL ORGANIZATIONS,DCLA,SU-CASA,3825000
DOMESTIC VIOLENCE,"CUNY, DABK, DABX, DAQN, DASI, DSS/HRA, NYPD",Domestic Violence and Empowerment (DoVE) Initiative,12010000
DOMESTIC VIOLENCE,DSS/HRA,Home Plus,1500000
DOMESTIC VIOLENCE,"ACS, DSS/HRA",Supportive Alternatives to Violent Encounters (SAVE),2450000
EDUCATION,"DYCD, BPL, NYPL, QBPL",City’s First Readers,5449667
EDUCATION,DOE,Community Schools,3750000
EDUCATION,DOE,Education Equity Action Plan,7500000
EDUCATION,DOE/DYCD,Educational Programs for Students (Formerly – College and Career Readiness and Educational Programs for Students,8883133
EDUCATION,DYCD,Jill Chaifetz Helpline,500000
EDUCATION,DOE/DYCD,LGBTQIA+ Inclusive Curriculum,2800000
EDUCATION,DOE/DYCD,Physical Education and Fitness,925000
EDUCATION,DOE,Social and Emotional Supports for Students,2016500
EDUCATION,DOE,Substance Abuse Prevention and Intervention Specialists,2000000
EDUCATION,DOE,Support for Arts Instruction,4000000
EDUCATION,DOE,Support for Educators,4650000
ENVIRONMENTAL INITIATIVES,"CUNY, DCLA, DOE, DPR, DSNY, DYCD, HPD, SBS",A Greener NYC,5100000
