member,organization,program,ein,amount,purpose
Louis,"100 Suits for 100 Men, Inc.",Youth Programing - Council District 45,462971279,5000,Funds to support youth programming in Council District 45.
Riley,1199 SEIU Employer Child Care Corporation,Future of America Learning Center (FALC),134063281,10000,Funds to be used for the Future of America Learning Center (FALC).
Salaam,"4ward Inclusion Consulting, Inc.",Mentoring Program - Council District 9,832487282,7500,Funds to be used for implementing of mentoring program to youth in Council District 9.
Louis,"67th Precinct Clergy Council, Inc.",Flatbush Leadership Academy - Council District 45,274581070,5000,Funds will support Flatbush Leadership Academy in Council District 45.
Mealy,"77th Precinct Community Council, Inc.",Council District 41,113463183,20000,Funds will support community events and education for youth and older adults.
Krishnan,82nd Street Academics,Renaissance Charter Afterschool,200788352,40000,To support after-school program at the Renaissance Charter School.
Brooks-Powers,"A Better Jamaica, Inc.",Council District 31,113804421,5000,Funding to support Jamaica Reads program for students in Council District 31.
Marte,"A Place for Kids, Inc.",Council District 1,133624631,6000,Funding to support education programs for at risk students in schools within Council District 1.
Brooks-Powers,"A Vision To Empower, Inc.",Council District 31,830703792,5000,Funding will support youth mentoring programming in Council District 31.
Bottcher,"Abundant Waters, Inc.",Tutoring Services - Council District 3,133706659,7500,Funds will support one on one tutoring services.
Brewer,"Adamah, Inc.",Climate activism programs,432080719,5000,Funds will support youth climate activism programs in Council District 6.
Menin,"Adamah, Inc.",Council District 5,432080719,5000,Funds would be used to help students with programming such as street clean ups for Council District 5.
Ayala,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,To provide funding to Jill Chaifetz Education helpline to assist parents and guardians with school-related issues.
Brewer,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,Funding will support the Parent Education Helpline.
Hanif,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,"To support operation of Jill Chaifetz Education Helpline which provides free consultation on almost any school-related issue, including, for example, transfers, special education, access to remote instruction, or suspensions."
Rivera,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,Funds will support operations of Jill Chaifetz Education Helpline.
Aviles,"Advocates for Children of New York, Inc.",Jill Chaifetz Helpline,112247307,5000,Funds will be used to support Jill Chaifetz Education Helpline.
Stevens,"AIMHigh Empowerment Institute, Inc.",School Programs - Council District 16,813143733,10000,Funds will be used to support AIMHIGH outreach and programming in Council District 16.
Brannan,"Alfadila Community Services, Inc.",Youth Wellness & Inclusion Programming - Council District 47,851299761,5000,"To support youth wellness and inclusion programming that integrates general and special needs children, including basketball program, in Council District 47."
Bottcher,Ali Forney Center,Drop In Center - Council District 3,300104507,7000,"Funding to support maintaining AFC's 24-hour, year-round Drop-In Center. Page 148 Appendix C: Youth Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Caban,Ali Forney Center,LGBTQ+ Homeless Youth - Council District 22,300104507,8500,Funds will provide services including outreach to homeless youth in Council District 22.
Sanchez,Ali Forney Center,LGBTQ+ Unhoused Youth - Council District 14,300104507,5000,To support Ali Forney Center’s programs and services for homeless LGBTQ+ young people in Council District 14 and support basic needs and mental health via city-wide Drop-In Centers.
De La Rosa,Ali Forney Center,Services for Unhoused LGBTQ+ Youth - Council District 10,300104507,5000,"To support AFC’s response to the critical needs of unhoused migrant youth, as well as street outreach services in District 10 and the critical services they provide at their Drop-In Center, including the Unity Works Program."
Abreu,Ali Forney Center,Unhoused LGBTQ+ Youth - Council District 7,300104507,6000,Funding to support unhoused LGBTQ+ youth in Council District 7.
Aviles,Ali Forney Center,Youth Services - Council District 38,300104507,10000,Funds to provide services for unhoused LGBTQ+ young people in Council District 38.
Lee,"Alley Pond Environmental Center, Inc.",,112405466,18000,Funds will be used to support environmental education programs for District 23 residents.
Ung,"Alley Pond Environmental Center, Inc.",Council District 20,112405466,5000,To support programming costs to improve parks and green spaces for students and residents of Council District 20.
Moya,"Alley Pond Environmental Center, Inc.",Educational Programming,112405466,20000,"The funds will be used to provide on site, in community, and in classroom educational programming for Council District 21 residents."
Ung,"Alley Pond Environmental Center, Inc.",Environmental Education - Council District 20,112405466,5000,To support week-end programming costs for environmental education for students and residents of Council District 20.
Ung,"Alley Pond Environmental Center, Inc.",Public School 214Q Cadwallader Colden (25Q214) & Public School 120Q (25Q120) - Council District 20,112405466,5000,To support programming costs for environmental education for students of PS214 and PS120 in Council District 20.
De La Rosa,Amber Charter School,Support for Graduating Students,134119814,5000,To support transitioning to high school resources programming.
Banks,"American Debate League, Inc.","Comprehensive Speech, Debate & Academic Enrichment Programs - Council District 42",471624385,10000,"Funds will support debate tournaments and competitions, summer debate camp that involves scholarships, supplementary academic and STEM programs for students in Council District 42."
Mealy,"American Debate League, Inc.",Council District 41,471624385,10000,Funds will support youth programming for individuals from schools located in Council District 41.
Louis,"American Debate League, Inc.","School Districts 17, 18 & 22",471624385,5000,"Funds will be used to provide youth speech, debate, and leadership programs and activities throughout the year and summer for school districts 17, 18 and 22."
Rivera,"American Friends of Chicken Shed, Inc.",14th Street Y,300099170,5000,Finds will support programming and services in Council District 2.
Lee,"American Martyrs Roman Catholic Church, Inc.",Athletic Programs,111816736,9000,To help support facilities costs for athletic programs.
Felder,"Amudim Community Resources, Inc.",,470984801,6000,"Funds will be used for crisis intervention and management of issues relating to drugs, mental health, domestic violence, at-risk youth, and sexual abuse."
Vernikov,"Amudim Community Resources, Inc.",,470984801,10000,Funding to support crisis intervention & management services for at risk youth. Page 149 Appendix C: Youth Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
De La Rosa,"Armory Foundation, The",Seniors Aim High Program,133680286,5000,"To support the Seniors AIM High Program in Council District 10 offering seniors guided physical activities at The Armory Track, followed by a bilingual medical talk led by Associates in Internal Medicine doctor."
Louis,"Arthur Project, Inc., The",Youth Mentorship - Council District 45.,812797329,5000,Fund will be used for TAP to provide mentoring services to students at Intermediate School 285K Meyer Levin (18K285) in Council District 45.
Brewer,"Arts in Action VAP, Inc.",Afterschool Fine Arts Classes,562322737,5000,Funds will support Afterschool Fine Arts classes program.
Schulman,"Asian Americans For Equality, Inc.",Community Services - Council District 29,133187792,5000,"To support AAFE's Youth Program where students residing in Council District 29 participate in a rich and robust civic, volunteer, career and college counseling programs."
Zhuang,"Asian Community Center, Inc.",Youth Programming,882701146,10000,To support the Youth Chess Program which offers youth and their families the opportunity to learn and master chess from quality instructors in both English and Chinese.
Schulman,"Asian-American Coalition for Children and Families, Inc.",Asian American Student Advocacy Project (ASAP),133682471,5000,"Funding will support ASAP, providing youth with opportunities to build the leadership and advocacy skills they need to advocate for their communities."
Krishnan,"Asian-American Coalition for Children and Families, Inc.",Asian American Student Advocacy Project (ASAP),133682471,8000,Funds will be used to support the Asian American Student Advocacy Project (ASAP).
Joseph,"Asian-American Coalition for Children and Families, Inc.",Council District 40,133682471,5000,"Funding will be used to support programming with the youth, including youth from Council District 40, program staff salary, program materials and supplies."
Marte,"Asian-American Coalition for Children and Families, Inc.",Youth Leadership Programs,133682471,5000,"Funds will be used to support programs and services associated with CACF's Youth Leadership Programs (ASAP, AYCAN, AAPI-Lead)."
Lee,"Asian-American Coalition for Children and Families, Inc.",Youth Programming - Council District 23,133682471,5000,Funding to support expense related to programming and services for disadvantaged youth in Council District 23.
Narcisse,"Asian-American Coalition for Children and Families, Inc.",Youth Programming - Council District 46,133682471,5000,Funding to provide youth leadership for AAPI youth in Council District 46.
Marte,"Asphalt Green, Inc.",,136533158,5000,To support programs which engages underserved youth in sports and fitness.
Salaam,"Association of Black Social Workers Child Adoption Counseling and Referral Services, Inc.",,132914318,5000,"To support adoptive parents and teens by providing training, support groups, and independent living workshops, ensuring successful placements and preparing teens for positive, independent futures."
Banks,Ballin Out Loud,Stopping the Violence: Saving Our Youth - Council District 42,472433652,6000,"Funds to support programs in STEM, Youth basketball sports and services that have been proven to increase confidence, self-esteem, and competence in Council District 42."
Salamanca,"Banana Kelly Community Improvement Association, Inc.",Youth Education Program - Council District 17,132934000,20000,Funding to support the Youth Educational Program (YEP).
Nurse,Bangladeshi American Community Development and Youth Service Corporation,Youth Programs - Council District 37,452389573,15000,Funds will support youth programming at I.S. 155 Nicholas Herkimer and Christopher Avenue Community School.
Brooks-Powers,"Battalion Pentecostal Assembly, Inc.",Council District 31,364391337,9000,Funds are to support programming and services in Council District 31. Page 150 Appendix C: Youth Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Hanif,"BCT Brooklyn Children's Theatre, Inc.",Musical Theatre Classes,452906089,5000,Funds will support musical theatre classes programming and services.
Adams,"BeingEgypt Cares, Inc.",,921532576,5000,Anti-Bullying Assemblies and Parent Workshops to empower students and parents with practical skills to prevent and respond to bullying.
Williams,"BeingEgypt Cares, Inc.",,921532576,5000,"Funds will be used to have youth take part in day of educational, social, cultural, leadership, and service-oriented programming and fun activities."
Narcisse,Bergen Basin Community Development Corporation d/b/a Millennium Development,Neighborhood Youth Services - Council District 46,113199040,80000,Funding to provide general youth programming including youth sports and events as well as social activities.
Holden,"Besi Association, Inc.",Educational Program - Council District 30,924025778,20000,"Funds to support educational program, Shkolla ""Fol Shqip"" (Speak Albanian), cultural events, and community outreach in Council District 30."
Gennaro,Beth Gavriel Bukharian Congregation,,113336257,5000,"Funding to support the expenses associated with youth programming including arts/crafts, music, literature activities, and sports."
Schulman,Beth Gavriel Bukharian Congregation,After-School & Youth Programming - Council District 29,113336257,40000,"To support operating expenses for after-school and youth programming including homework assistance, extracurricular activities, arts and crafts, music, drama, literature, sports and general recreation."
Salaam,Bethany Baptist Church,,132720535,5000,Funds to provide nutrition education for better health for children.
Hanks,"Beyond Educational Enrichment, Inc.",Bridge Program - District 49,923630891,10000,Funding will support the bridge program in District 49
Osse,"Big Apple Leadership Academy for the Arts, Inc.",Council District 36,842688048,20000,Funding for BALAA's afterschool program.
Powers,"Big Brothers Big Sisters of New York City, Inc.",,135600383,5000,Funding will support mentorship programming for bigs and littles in Council District 4.
Bottcher,"Big Brothers Big Sisters of New York City, Inc.",Council District 3,135600383,5000,To support mentoring and youth development programs for NYC youth.
Narcisse,"Big Brothers Big Sisters of New York City, Inc.",Youth Services - Council District 46,135600383,5000,Funding to expand recruitment and retention of more youth and mentors in Council District 46.
Ariola,"Billion Oyster Project, Inc.","Belle Harbor (27Q114), Chris Galas (27Q047) & Robert H. Goddard (27Q202)",272918478,10000,"Funds will be used for programming at PSMS 114Q, PS 47Q and JHS 202Q Robert H. Goddard (27Q202)."
Menin,"Billion Oyster Project, Inc.",Council District 5,272918478,5000,To provide programming services for students living in Council District 5.
Hudson,"Billion Oyster Project, Inc.",School Network - Council District 35,272918478,5000,To support educational programming on oyster restoration and site visits for Council District 35 schools.
Aviles,"Billion Oyster Project, Inc.",School Project Network,272918478,20000,Funds will be used to support the Billion Oyster Project School Network.
Marte,"BioBus, Inc.",Council District 1,262092282,5000,To provide an interactive science education program throughout Council District 1 by means of a mobile lab outside schools.
Marmorato,"BioBus, Inc.",Council District 13,262092282,5000,Funds will support scientific programming for children in Council District 13.
Ariola,"BioBus, Inc.",Council District 32,262092282,25400,"Funds will be used to bring the BioBus into Council District 32, including Glendale, Rockaway, Broad Channel, and Howard Beach."
Abreu,"BioBus, Inc.",Council District 7,262092282,10000,Funding to support science and education programming in Council District 7.
Ayala,"BioBus, Inc.",Council District 8,262092282,5000,"To support hands-on, inquiry-based science education programs to students throughout Council District 8. Page 151 Appendix C: Youth Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Salaam,"BioBus, Inc.",Council District 9,262092282,12500,"Funds will support hands-on science education in Council District 9 through mobile and community labs, mentorship, and STEM pathways for students."
Gutierrez,"BK ROT, Inc.",Environmental Jobs - Council District 34,473925112,5000,"Funding to support year-round environmental jobs engage young workers in well paid, positive, skill-based environmental job training and leadership development."
Nurse,"BK ROT, Inc.",Youth Programming & Workshops,473925112,25000,"Funds will provide support for BK Rot's ongoing youth jobs and programming, including food scrap hauling, expanding partner gardens, increasing infrastructure for organics processing, and hosting waste educational workshops."
Holden,"Blau Weiss Gottschee, Inc.",Soccer Pre-Academy & Youth Sporting Programs - Council District 30,116074351,8000,Funds to be used for operating expenses for soccer pre-academy and youth sporting programs including the cost of gym and field rentals.
Ariola,Blessed Trinity Roman Catholic Church,Youth Sports Program,262885471,25000,Funds will be used to support Blessed Trinity's Youth Sports program.
Brewer,Bloomingdale School of Music,Training Program,132562192,5000,Funds will support student training program.
Carr,"Blue Card, Inc., The",,131623910,5000,Funds to be used for operations and programming.
Powers,"Blue Card, Inc., The",Holocaust Education & Programming to Combat Anti-Semitism - Council District 4 Youth,131623910,5000,This funding will support Holocaust education and programming to combat Anti- Semitism to youth in Council District 4.
Joseph,Bonnie Boys Club,Baseball Program - Council District 40,116075963,5000,"Funding to support the Baseball program, including the purchase of equipment and general operational expenses."
Nurse,Bonnie Boys Club,Bonnie Youth Baseball,116075963,5000,"Funds will support recruitment, outreach, and general program development for sports services for Council District 37 youth."
Louis,Bonnie Boys Club,Council District 45,116075963,5000,Funding will be used to support a year-long youth baseball program as well as a mentorship program that works to provide counseling and aid student athletes in the college admissions process in Council District 45.
Marmorato,Boy Scouts of America,Greater New York Council - Council District 13,131624015,5000,Funds will support programming and outreach in Council District 13.
Farias,Boy Scouts of America,Greater New York Council - Council District 18,131624015,5000,Funding to support scouting and exploring for Scouts in Council District 18.
Gennaro,Boy Scouts of America,Greater New York Council - Council District 24,131624015,5000,"Funding will be used to carry out character-building Cub Scout, Boy Scout, and Exploring programs, to youth ages 6-20 in the Council District 24."
Ariola,Boy Scouts of America,Greater New York Council - Council District 32,131624015,5000,Funds will be used for scouting programs within Council District 32 and purchasing equipment.
Joseph,Boy Scouts of America,Greater New York Council - Council District 40,131624015,5000,"Funding will be used to carry out character-building education and enrichment programs to youth ages 5-20 in Council District 40, including staff support, local program events, and program resources."
Narcisse,Boy Scouts of America,Greater New York Council - Council District 46,131624015,5000,Fund will be used to support active troops in Council District 46.
Holden,Boy Scouts of America,Greater New York Council - Honoring Veterans - Mount Olivet Cemetery - Council District 30,131624015,5000,To place flags on veterans' graves at Mount Olivet Cemetery in Queens on both Memorial Day and Veterans Day and assist veterans in need. Page 152 Appendix C: Youth Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Ung,Boy Scouts of America,Greater New York Council - NYC Scouting & Exploring - Council District 20,131624015,5000,"Funding to carry out Scouting programs, including youth development and character- building programs for youth in Council District 20."
Hanks,Boy Scouts of America,Greater New York Council - Scouting & Exploring - Council District 49,131624015,5000,Funding will support the Scouting and Exploring programs in Council District 49.
Holden,Boy Scouts of America,Greater New York Council - Youth Programs - Council District 30,131624015,4000,Funds to be used to support Boy and Cub Scout in Council District 30 and to purchase materials and supplies for scout troops.
Adams,"Boys & Girls Club of Metro Queens, Inc.",,111966067,10000,Funds will support after-school and summer programming to youth at the Club.
Schulman,"Boys & Girls Club of Metro Queens, Inc.",After-School & Summer Program,111966067,5000,To provide after-school and summer programming to youth ages 5-18 in under resourced neighborhoods in Council District 29 and Queens.
