resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,Conduit EIN Ulrich Jewish Association for Services for the Aged (JASA),,132620896,-10000,DFTA,,,.00) 125 003,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,Ulrich School Sisters of Notre Dame Educational Center,,651217975,10000,DYCD,,,.00 260 005,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,"Garodnick Turtle Bay Association Inc., The",,136162044,-9500,DYCD,,,.00) 260 005,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,"Garodnick Turtle Bay Association Inc., The",,136162044,9500,DPR,,,.00 846 006,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,"Dickens American Performing Arts Collaborative, Inc.",,133877290,-3500,DSBS,,,.00) 801 002 *,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,"Dickens American Performing Arts Collaborative, Inc.",,133877290,3500,DYCD,,,.00 260 005 *,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,"Matteo Staten Island NFP Association, Inc.",,203560375,-1500,DSBS,,,.00) 801 002,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,"Matteo Staten Island NFP Association, Inc.",,203560375,1500,DYCD,,,.00 260 005,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,"Rose Staten Island NFP Association, Inc.",,203560375,-3500,DSBS,,,.00) 801 002,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,"Rose Staten Island NFP Association, Inc.",,203560375,3500,DYCD,,,.00 260 005,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,"Torres Belmont District Management Association, Inc.",,270834463,-20000,DSBS,,,.00) 801 002 *,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,"Torres Belmont District Management Association, Inc.",,270834463,20000,DCLA,,,.00 126 003 *,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,Maisel Bayview Houses Resident's Association,,030550181,-3500,DYCD,,,.00) 260 312,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,Maisel Bayview Houses Resident's Association,,030550181,3500,NYCHA,,,.00 098 002,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,"Lancman Doe Fund, Inc., The",,133412540,-14665,DHS,,,.00) 071 200,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,Lancman Asian Americans for Equality,,133187792,4665,DSBS,,,.00 801 002,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,Lancman Greater New York Councils Boy Scouts of America,,131624015,5000,DYCD,,,.00 260 312,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,Lancman Samaritan Village Inc,,112635374,5000,DOHMH,,,.00 816 112,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,"East Harlem Council for Community Improvement, Inc.",,132969933,-100000,DYCD,,,.00) 260 005 *,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"East Harlem Council for Community Improvement, Inc.",,132969933,100000,DSBS,,,.00 801 002 *,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"Federation of Italian American Organizations of Brooklyn, Ltd.",,112507910,25000,DYCD,,,.00 260 312,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"Federation of Italian American Organizations of Brooklyn, Ltd.",,112507910,25000,DYCD,,,.00 260 312,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"Union Settlement Association, Inc.",,131632530,30000,DSBS,,,.00 801 002,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,"East River Development Alliance, Inc.",,861096987,-175000,DYCD,,,.00) 260 005,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"East River Development Alliance, Inc.",,861096987,175000,NYCHA,,,.00 098 002,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,Treyger Momentum Teens For Leadership Corp,,263884626,6000,DYCD,,,.00 260 312 *,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,"Treyger Sephardic Heritage Museum, Inc.",,203249437,-3000,DYCD,,,.00) 260 005 *,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,Treyger Community Voices Heard,,133901997,-2000,DYCD,,,.00) 260 005 *,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,"Treyger Asian Community United Society, Inc.",,264164117,-5000,DYCD,,,.00) 260 005,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,"Treyger Asian Community United Society, Inc.",,264164117,-5000,DYCD,,,.00) 260 005,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,"Treyger Asian Community United Society, Inc.",,264164117,-5000,DYCD,,,.00) 260 005,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,Treyger ACTS Community Development Corporation,,010679652,-2000,DYCD,,,.00) 260 005,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,Treyger Jewish Association for Services for the Aged (JASA),Luna Park,132620896,3500,DFTA,,,.00 125 003,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,Treyger ACTS Community Development Corporation,,010679652,4000,DYCD,,,.00 260 005,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"Treyger Asian Community United Society, Inc.",,264164117,7000,DYCD,,,.00 260 005,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"Treyger Asian Community United Society, Inc.",,264164117,3500,DYCD,,,.00 260 005,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,Treyger United Chinese Association of Brooklyn,,371469112,4000,DYCD,,,.00 260 312,
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,"Mealy Bed-Stuy Campaign Against Hunger, Inc.",,200934854,-5000,DFTA,,,.00) 125 003 *,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"Mealy Circuit Productions, Inc.",,132881858,5000,DYCD,,,.00 260 312,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,Speaker,Mealy Public School 21K,,136400434,-3000,DOE,,,.00) 040 402,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,Speaker,"Mealy Circuit Productions, Inc.",,132881858,3000,DYCD,,,.00 260 312,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,"Conduit EIN Deutsch Jewish Community Council of Greater Coney Island, Inc.",,112665181,-10000,DFTA,,,.00) 125 003,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,"Deutsch Jewish Community Council of Greater Coney Island, Inc.",,112665181,10000,DYCD,,,.00 260 005,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,Mealy Public School 21K,,136400434,-6500,DOE,,,.00) 040 402,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,"Mealy Quest Youth Organization, Inc.",,550858436,6500,DYCD,,,.00 260 312 *,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,rescind,,,Mealy Public School 21K,,136400434,-2000,DOE,,,.00) 040 402,**
3,2014-09-23,Local Initiatives - Fiscal 2015,2015,designate,,,Mealy New York City Housing Authority,,136400434,2000,NYCHA,,,.00 098 002,**
