item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,Administration for Children’s Services,068,001; 002; 007; 008,4,"January 15, 2023; July 15, 2023",,"As a condition of the funds in unit of appropriation numbers 001, 002, 007, and 008 in the Administration for Children’s Services’ (""ACS"") budget, ACS shall submit a semi -annual report detailing 1) the average daily population of yout h disaggregated by juvenile offenders, juvenile delinquents, adolescent offenders; 2) the total number of incarcerated youth admitted to the custody of ACS during the reporting period on pending criminal charges who were charged with offenses of the follow ing severity: (a) class A felonies; (b) violent felonies as defined in section 70.02 of the penal law; (c) non-violent felonies as defined in section 70.02 of the penal law; or (d) misdemeanors; 3) of the number of incarcerated youth in the custody of ACS on the last day of each calendar month of the reporting period held in custody, the percentage charged with offenses of the following severity: (a) class A felonies; (b) class B or C felonies; (c) class D or E felonies; (d) misdemeanors; or (e) non- criminal charges; 4) average length of detention for juvenile offenders pre-sentence; 5) average length of detention for juvenile delinquents pre-disposition; 6) average length of detention for adolescent offenders pre -sentence; and 7) total number of youth serving their sentence in specialized secure detention and specialized juvenile detention. Such reports shall be submitted on January 15, 2023 and on July 15, 2023."
2,Administration for Children’s Services,068,006; 008; 312,3,"October 1, 2022",,"As a condition of the funds in unit of appropriation numbers 006 and 008 in the Administration for Children’s Services’ (“ACS”) budget and unit of appropriation number 312 in the Department of Youth and Community Development’s (“DYCD”) budget for transitional residential facilities, or any other housing facility that provides temporary or emergency housing pursuant to a contract with a community-based or other non-City organization, ACS and DYCD shall provide a report to the City Council no later than October 1, 2022, listing the name and location of each transitional residential facility or other similar facility, except that if the disclosure of the location of the facility is prohibited by federal, State or local law, then the location of such facility shall not be disclosed. Such list shall provide the average census year-to-date in Fiscal 2023, or similar, and the capacity at each such facility, disaggregated by Council district."
3,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2022; February 15, 2023; January 1, 2022","January 1, 2022 to on December 31","As a condition of the funds in budget line HA-0001 for the Roof Repair Program at the New York City Housing Authority (“NYCHA”), NYCHA shall submit to the Council, no later than February 15, 2023, a report detailing the categories of physical improvements made with the Roof Repair Program funding. Such report shall include the total budget for roof repair, disaggregated by funding source, and the number of physical improvements that have been completed or for which construction has begun, disaggregated by physical improvement type (i.e. simple repairs, where the roof can be replaced without work on perimeter walls; moderate repairs, where the roof will be replaced and repairs are needed to perimeter parapet walls; or complex repairs, where the roof and perimeter parapet walls both need to be replaced) and the location of each improvement completed or for which construction has begun. Such report shall also include the current construction phase and the anticipated timeline of each subsequent construction phase for each project (i.e. design, construction, water shut down, closeout). Such report shall cover the period beginning January 1, 2022 and ending on December 31, 2022."
4,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2022; February 15, 2023; January 1, 2022","January 1, 2022 to on December 31","As a condition of the funds in budget line HA -0001 for the Mayor’s Action Plan (“MAP”) for Neighborhood Safety at the New York City Housing Authority (“NYCHA”), NYCHA shall submit to the Council, no later than February 15, 2023, a report detailing the categories of physical improvements made with the MAP funding, the number of each type of improvement that has been completed or for which construction has begun, and the location of each improvement completed or for which construction has begun. Such report shall cover the period beginning January 1, 2022 and ending on December 31, 2022."
5,Capital Budget,,Budget Line DP-0001– All Projects; Budget Line DP-0002 – All Projects,2,"April 1, 2023; December 31, 2022; January 1, 2023; July 1, 2022; July 1, 2023; June 30, 2023; March 31, 2023; October 1, 2022; September 30, 2022","July 1, 2022 to September 30","As a condition of funds in budget lines DP -0001 and DP-0002, the Department of Information Technology and Telecommunications (“DOITT”) shall submit to the Council, on a quarterly basis, a report detailing spending for DOITT’s capital projects, including but not limited to, how spending is distributed ac ross hardware, software, physical structures, land, cloud services, and other platforms. These quarterly reports shall be s ubmitted on: (i) October 1, 2022, covering t he period beginning July 1, 2022 and ending September 30, 2022; (ii) January 1, 2023, covering the period beginning October 1, 2022 and ending December 31, 2022; (iii) April 1, 2023, covering the period beginning January 1, 2023 and ending March 31, 2023; and (iv) July 1, 2023, covering the period beginning April 1, 2023 and ending June 30, 2023."
6,City University of New York,042,001,1,"October 30, 2022",,"As a condition of funds in units of appropriation number 001, the City University of New York (""CUNY"") shall submit to the Council, no later than October 30, 2022, a report detailing: 1) the number of gender neutral bathrooms, and; 2) the number of LGBTQNB resource rooms, clubs, and offices available, disaggregated by CUNY campus."
7,City University of New York,042,001,1,"June 1, 2023",,"As a condition of the funds in unit of appropriation number 001, the City University of New York shall submit to the Council, no later than June 1, 2023, a report on bias incidents, disaggregated by type of incident and school, for the 2022-2023 academic year."
8,Department for the Aging,125,003,1,"September 1, 2022",,"As a condition of the funds in unit of appropriation number 003, the Department for the Aging (“DFTA”) shall submit to the Council, no later than September 1, 2022, a report listing the name and location of each senior center and social club under its jurisdiction and whether each site has air conditioning installed, and if so, whether the air conditioning is functioning."
9,Department for the Aging,125,003,1,"December 31, 2022; February 1, 2023; January 1, 2022",,"As a condition of the funds in unit of appropriation number 003, the Department for the Aging (“DFTA”) shall submit to the Council , no later than February 1, 2023, a report on senior center utilization, attendance, and meals served. Such report shall contain the average daily atten dance, average number of meals served daily, and utilization rate of senior centers, disaggregated by Innovative Senior Centers, Neighborhood Senior Centers , and Senior Clubs. Such report shall cover the period between January 1, 2022 and December 31, 2022."
10,Department for the Aging,125,002; 003; 005,3,,,"As a condition of the funds in unit of appropriation numbers 002, 003, and 005, within thirty days of the release of each financial plan, the Department for the Aging (""DFTA"") shall submit to the Council a report containing the current number of people on the waitlists for: case management services, home delivered meals , and home care services. The report shall also disaggregate, by case management agency, the current ratio of caseworkers to clients, and supervisors to caseworkers."
