Fund,Department,Control Officer,Department ID,Short Title,Link to Website,Department Description,Adopted 2015,Itemized 2015,Adopted 2016,Itemized 2016,Adopted 2017,Itemized 2017,Adopted 2018,Itemized 2018,Adopted 2019,Itemized 2019,Adopted 2020,Itemized 2020,Adopted 2021,Itemized 2021,Adopted 2022,Itemized 2022,Adopted 2023,Itemized 2023,Adopted 2024,Itemized 2024,Adopted 2025,Itemized 2025,Adopted 2026,Itemized 2026,Adopted 2027,Itemized 2027
BOROUGHWIDE NEEDS,Multiple Boroughwide Needs Initiative,Unspecified agency,16,Multiple Boroughwide Needs Initiative,,"“Multiple Boroughwide Needs Initiative” — a BOROUGHWIDE NEEDS discretionary initiative administered by Unspecified agency. FY2026 adopted: $2,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,2000000,0,2000000,0,2000000,0,0,0
BOROUGHWIDE NEEDS,Priority 5 Vouchers,ACS,17,Priority 5 Vouchers,,"“Priority 5 Vouchers” — a BOROUGHWIDE NEEDS discretionary initiative administered by ACS. FY2016 adopted: $4,400,000.",0,0,4400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOROUGHWIDE NEEDS,Technical Assistance for Child Care Providers (CUNY PDI),CUNY,18,Technical Assistance for Child Care Providers (CUNY PDI),,"“Technical Assistance for Child Care Providers (CUNY PDI)” — a BOROUGHWIDE NEEDS discretionary initiative administered by CUNY. FY2016 adopted: $500,000.",0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,AAPI Community Support,DYCD,19,AAPI Community Support,,"“AAPI Community Support” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $4,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Adult Literacy Initiative,DYCD,20,Adult Literacy Initiative,,"“Adult Literacy Initiative” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $4,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Adult Literacy Pilot Project,DYCD,21,Adult Literacy Pilot Project,,"“Adult Literacy Pilot Project” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $2,500,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,City’s First Readers,DYCD/NYPL/BPL/QBPL,22,City’s First Readers,,"“City’s First Readers” — a Boroughwide Needs discretionary initiative administered by DYCD/NYPL/BPL/QBPL. FY2020 adopted: $5,194,000.",0,0,0,0,0,0,4242000,0,0,0,5194000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Communities of Color Nonprofit Stabilization Fund,DYCD,23,Communities of Color Nonprofit Stabilization Fund,,"“Communities of Color Nonprofit Stabilization Fund” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $3,700,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Digital Inclusion and Literacy Initiative,DYCD,24,Digital Inclusion and Literacy Initiative,,"“Digital Inclusion and Literacy Initiative” — a Boroughwide Needs discretionary initiative administered by DYCD. FY2022 adopted: $4,590,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4590000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Discretionary Child Care,DOE,25,Discretionary Child Care,,"“Discretionary Child Care” — a Boroughwide Needs discretionary initiative administered by DOE. FY2020 adopted: $5,405,190.",0,0,0,0,0,0,9855190,0,0,0,5405190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
