fiscal_year,category,initiative,award_type,member,organization,program,ein,amount,agency,purpose,confidence,name_source,absorbed_from_file,absorbed_from_line,absorbed_from_ein,disclosure_confirmed
2017,HOUSING,Stabilizing NYC,initiative_provider,,"Crenulated Company LTD, The",,141719016,70000,HPD,"This initiative supports a coalition of 16 not-for-profit groups that seek to combat the loss of affordable housing at the hands of predatory equity companies, and to defend low-income tenants in predatory equity building from harassment and eviction. Stabilizing NYC combines legal and organizing resources into a citywide front against predatory equity, helping tenants hold their predatory equity landlords accountable for lack of repairs, bogus evicition cases, and affirmative harassment.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,180,510188251,yes
2017,FOOD INITIATIVES,Access to Food and Nutritional Education,initiative_provider,,"Crenulated Company LTD, The",,141719016,125000,DYCD,"This allocation supports work towrards expanding access to healthy food and better understanding of health and nutrition in underserved communities. Efforts include proliferating farmers markets, expanding the use of Electronic Benefit Transfers (EBTs) towards healthier, less processed food and engaging communities to make positive changes related to food and nutritional choices.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,88,112737223,yes
2017,FOOD INITIATIVES,Access to Food and Nutritional Education,initiative_provider,,Cypress Hills Local Development Corporation,,112683663,125000,DYCD,"This allocation supports work towrards expanding access to healthy food and better understanding of health and nutrition in underserved communities. Efforts include proliferating farmers markets, expanding the use of Electronic Benefit Transfers (EBTs) towards healthier, less processed food and engaging communities to make positive changes related to food and nutritional choices.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,88,112737223,yes
2017,SENIOR SERVICES,Initiative,initiative_provider,,Democracy at Work Institute (DAWI),,275265123,155000,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,331,113306111,yes
2017,YOUTH SERVICES,COMPASS,initiative_provider,,"Development Outreach, Inc.",,132997764,150000,DYCD,This allocation supports programming for children in grades K-12 under the Comprehensive Afterschool System of New York City (COMPASS NYC).,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,344,131623989,yes
2017,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,,"Diaspora Community Services, Inc.",,113122295,29157,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,yes
2017,MENTAL HEALTH SERVICES,Autism Awareness,initiative_provider,,"Eden II School for Autistic Children, Inc.",,132872916,70031,DOHMH,This allocation supports wraparound services for autistic children in after-school and summer programs and during school closings. The programs may also provide forums and training seminars to teach coping skills to families and caregivers affected by autism or other relevant services.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,224,134131863,yes
2017,EDUCATION,Dropout Prevention and Intervention Initiative,initiative_provider,,Educational Testing Services,,210634479,207000,DOE,"This allocation will support dropout prevention and intervention programs. Contracted providers offer a range of student support, school restructuring, and professional development services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,78,132612524,yes
2017,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,,"Educational Theater of New York, Inc.",,134148861,14600,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,60,133116643,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,Mark-Viverito,"El Barrio's Operation Fightback, Inc.",,133248777,61000,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,140,112475743,yes
2017,EDUCATION,Dropout Prevention and Intervention Initiative,initiative_provider,,"El Puente de Williamsburg, Inc.",,112614265,33000,DOE,"This allocation will support dropout prevention and intervention programs. Contracted providers offer a range of student support, school restructuring, and professional development services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,78,132612524,yes
2017,SENIOR SERVICES,Information and Referral Services,initiative_provider,,Emerald Isle Immigration Center,,112932528,56132,DFTA,This allocation supports community-based organizations that provide information and referral services related to senior services and other resources in the community.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,294,132738818,yes
2017,IMMIGRANT SERVICES,Immigrant Opportunities Initiative,initiative_provider,,Emerald Isle Immigration Center,,112932528,178000,DSS/HRA,"This allocation supports funding to assist immigrant adults gain access to information and resources and to strengthen their participation in the democratic process.  Specifically, this initiative provides funding for legal services for recent immigrants to assist with applications for citizenship or permanent residency, and various other immigrant related legal services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,199,112290832,yes
2017,MENTAL HEALTH SERVICES,Services,initiative_provider,,"Epilepsy Institute, The",,132608325,189103,DOHMH,"This funding supports a range of programs and services that address the needs of individuals with chemical dependencies, developmental disabilities, and/or serious mental illnesses, as well as the needs of their families and caregivers. The funding may support medically supervised outpatient programs (MSOPs), transition management programs, Article 16 clinics, psychological clubs, recreation programs, or other behavioral health services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,249,133306195,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,,"Eviction Intervention Services Homelessness Prevention, Inc.",,133311582,29729,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,163,112498292,yes
2017,YOUTH SERVICES,Sports Training and Rolemodels for Success Initiative (STARS),initiative_provider,,"Figure Skating in Harlem, Inc.",,133945168,50000,DYCD,"This initiative offers afterschool programming promoting physical activity, healthy living and wellness for elementary, middle and high school-aged girls.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,346,043697166,yes
2017,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Fort Greene Council, Inc.",,112300840,587058,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,131860451,yes
2017,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,,Fort Greene Strategic Neighborhood Action Partnership,,113343941,11253,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,yes
2017,MENTAL HEALTH SERVICES,Court-Involved Youth Mental Health Initiative,initiative_provider,,"Fortune Society, Inc., The",,132645436,150000,DOHMH,"This allocation supports programs that utilize risk assessment tools to identify juveniles in the arrest process who require mental health services; engage families of court-involved youth through family counseling, respite services, and other evidence-based practices; and connect community-based providers to other non-governmental organizations familiar with the Courts, the Administration for Children's Services (ACS), Department of Correction (DOC), and other relevant City and State agencies.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,241,135598710,yes
2017,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,Gan Day Care,,112302049,1136000,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,131860451,yes
2017,CRIMINAL JUSTICE SERVICES,Support for Victims of Human Trafficking,initiative_provider,,"Girls Educational and Mentoring Services, Inc.",,134150972,125000,MOCJ,The Support for Victims Human Trafficking Initiative will support community-based organizations that provide services to victims in the City's five human trafficking intervention courts.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,54,133286250,yes
2017,YOUTH SERVICES,Sports Training and Rolemodels for Success Initiative (STARS),initiative_provider,,"Girls Write Now, Inc.",,542115054,100000,DYCD,"This initiative offers afterschool programming promoting physical activity, healthy living and wellness for elementary, middle and high school-aged girls.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,347,113427213,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,,"Good Old Lower East Side, Inc.",,132915659,29729,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,163,112498292,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,Mendez,"Good Old Lower East Side, Inc.",,132915659,51000,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,141,112412584,yes
2017,HOUSING,Stabilizing NYC,initiative_provider,,"Good Old Lower East Side, Inc.",,132915659,70000,HPD,"This initiative supports a coalition of 16 not-for-profit groups that seek to combat the loss of affordable housing at the hands of predatory equity companies, and to defend low-income tenants in predatory equity building from harassment and eviction. Stabilizing NYC combines legal and organizing resources into a citywide front against predatory equity, helping tenants hold their predatory equity landlords accountable for lack of repairs, bogus evicition cases, and affirmative harassment.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,181,133442022,yes
2017,IMMIGRANT SERVICES,Immigrant Health Initiative,initiative_provider,,"Grameen Primacare, Inc.",,463181224,50000,DOHMH,This funding will focus on decreasing health disparities among foreign born New Yorkers by focusing on the following three goals: improving access to health care; addressing cultural and language barriers; and targeting resources and interventions.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,187,136400434,yes
2017,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,,"Greater Brooklyn Health Coalition, Inc.",,113484928,29157,DOHMH,"This allocation promotes women’s health before, during, and after pregnancy and works in areas with the highest infant mortality rates to improve maternal and child health outcomes through a network of community based providers offering a range of interventions: outreach, referrals, workshops, case management, and peer education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,,Greater Ridgewood Restoration Corporation,,112382250,29730,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,164,133516262,yes
2017,SENIOR SERVICES,Initiative,initiative_provider,,"Green Worker, Inc.",,201828936,234000,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,330,861096987,yes
2017,MENTAL HEALTH SERVICES,Services,initiative_provider,,"Greenwich House, Inc.",,135562204,27103,DOHMH,"This funding supports a range of programs and services that address the needs of individuals with chemical dependencies, developmental disabilities, and/or serious mental illnesses, as well as the needs of their families and caregivers. The funding may support medically supervised outpatient programs (MSOPs), transition management programs, Article 16 clinics, psychological clubs, recreation programs, or other behavioral health services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,249,133306195,yes
2017,MENTAL HEALTH SERVICES,Mental Health Services for Vulnerable Populations,initiative_provider,,"Greenwich House, Inc.",,135562204,50000,DOHMH,"This funding supports community-based organizations and advocacy networks that provide a range of mental health programs, services, trainings, and referrals throughout the City, addressing the mental health needs of vulnerable and marginalized populations, such as HIV-positive people, suicidal individuals, and people with developmental disabilities. Additional populations of interest include children and youth, immigrants and people with limited English proficiency, homeless individuals and families, and at-risk seniors.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,277,133149298,yes
2017,IMMIGRANT SERVICES,Immigrant Opportunities Initiative,initiative_provider,,"HIV Law Project, Inc., The",,133730564,38000,DSS/HRA,"This allocation supports funding to assist immigrant adults gain access to information and resources and to strengthen their participation in the democratic process.  Specifically, this initiative provides funding for legal services for recent immigrants to assist with applications for citizenship or permanent residency, and various other immigrant related legal services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,200,132600199,yes
2017,MENTAL HEALTH SERVICES,Services,initiative_provider,,"Hamilton-Madison House, Inc.",,135562412,38103,DOHMH,"This funding supports a range of programs and services that address the needs of individuals with chemical dependencies, developmental disabilities, and/or serious mental illnesses, as well as the needs of their families and caregivers. The funding may support medically supervised outpatient programs (MSOPs), transition management programs, Article 16 clinics, psychological clubs, recreation programs, or other behavioral health services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,249,133306195,yes
2017,SENIOR SERVICES,Social Adult Day Care Enhancement,initiative_provider,,"Hamilton-Madison House, Inc.",,135562412,95000,DFTA,"This initiative will provide operational support to social adult day care programs, which provide non-medical adult day care services to individuals with cognitive or physical limitations.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,306,131628180,yes
2017,FOOD INITIATIVES,Access to Food and Nutritional Education,initiative_provider,,"Harvest Home Farmer’s Market, Inc.",,061800512,95000,DYCD,"This allocation supports work towrards expanding access to healthy food and better understanding of health and nutrition in underserved communities. Efforts include proliferating farmers markets, expanding the use of Electronic Benefit Transfers (EBTs) towards healthier, less processed food and engaging communities to make positive changes related to food and nutritional choices.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,87,237169558,yes
2017,MENTAL HEALTH SERVICES,Autism Awareness,initiative_provider,,Heartshare Human Services of New York,,111633549,78540,DOHMH,This allocation supports wraparound services for autistic children in after-school and summer programs and during school closings. The programs may also provide forums and training seminars to teach coping skills to families and caregivers affected by autism or other relevant services.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,225,135564937,yes
2017,YOUTH SERVICES,YouthBuild Project Initiative,initiative_provider,,"Historic Tappen Park Community Partnership, Inc.",,455576128,328800,DYCD,"YouthBuild is a comprehensive education, training, service and leadership development program that gives young adults who have left high school without a diploma the opportunity to transform their life prospects and become responsible, contributing adults.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,352,132972415,yes
2017,HOMELESS SERVICES,Children and Families in NYC Homeless System,initiative_provider,,"Homeless Services United, Inc.",,133922640,23000,DHS,"This allocation will support innovative, specialized services provided in all five boroughs targeted at children and families in homeless shelters including incorporating trauma-informed care, evidence-based practices, aftercare programs, comprehensive case management, and other strategies to prevent maltreatment in high-risk cases.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,119,133234441,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,,"Housing Conservation Coordinators, Inc.",,510141489,29730,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,165,135562989,yes
2017,IMMIGRANT SERVICES,Immigrant Opportunities Initiative,initiative_provider,,"Housing Conservation Coordinators, Inc.",,510141489,38000,DSS/HRA,"This allocation supports funding to assist immigrant adults gain access to information and resources and to strengthen their participation in the democratic process.  Specifically, this initiative provides funding for legal services for recent immigrants to assist with applications for citizenship or permanent residency, and various other immigrant related legal services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,200,132600199,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,Johnson,"Housing Conservation Coordinators, Inc.",,510141489,61000,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,143,112665181,yes
2017,LEGAL SERVICES,Legal Services for the Working Poor,initiative_provider,,"Housing Conservation Coordinators, Inc.",,510141489,305000,DSS/HRA,Legal Services for the Working Poor Initiative is intended to support civil legal services for the working poor including: assistance in preventing eviction and foreclosure; improvement of living conditions and removal of hazardous housing conditions in their homes; housing code enforcement actions; organization and representation of tenants groups; help in obtaining emergency grants and benefits to avoid homelessness; assistance for family members getting appropriate diability benefits such as Social Security Disability or Supplemental Security Income; immigration assistance; protection from workplace abuses; consumer protections from creditors; representation of domestic violence victims.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,219,132622748,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,,"Housing Court Answers, Inc.",,133317188,29730,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,165,135562989,yes
2017,HOUSING,Anti-Eviction and Housing Court Resources,initiative_provider,,"Housing Court Answers, Inc.",,133317188,650000,HPD,This funding supports anti-eviction education and referral services at the City's housing courts and various anti-eviction legal services groups that provide counseling and/or full legal representation for tenants seeking assistance in Housing Court.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,123,132605599,yes
2017,SENIOR SERVICES,Initiative,initiative_provider,,ICA Group,,042628399,234000,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,330,861096987,yes
2017,CRIMINAL JUSTICE SERVICES,Support for Victims of Human Trafficking,initiative_provider,,Icahn School of Medicine at Mount Sinai,,136171197,75000,MOCJ,The Support for Victims Human Trafficking Initiative will support community-based organizations that provide services to victims in the City's five human trafficking intervention courts.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,54,133286250,yes
2017,CRIMINAL JUSTICE SERVICES,Initiative to Combat Sexual Assault,initiative_provider,,Icahn School of Medicine at Mount Sinai,,136171197,150000,MOCJ,Funding will support five community-based organizations that provide sexual assault related services and programs.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,51,132946970,yes
2017,MENTAL HEALTH SERVICES,Autism Awareness,initiative_provider,,"Imagine Foundation, Inc. d/b/a Imagine Academy",,202336717,70031,DOHMH,This allocation supports wraparound services for autistic children in after-school and summer programs and during school closings. The programs may also provide forums and training seminars to teach coping skills to families and caregivers affected by autism or other relevant services.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,225,135564937,yes
2017,IMMIGRANT SERVICES,Immigrant Opportunities Initiative,initiative_provider,,"Immigrant Justice Corps, Inc.",,464879076,200000,DSS/HRA,"This allocation supports funding to assist immigrant adults gain access to information and resources and to strengthen their participation in the democratic process.  Specifically, this initiative provides funding for legal services for recent immigrants to assist with applications for citizenship or permanent residency, and various other immigrant related legal services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,200,132600199,yes
2017,IMMIGRANT SERVICES,Immigrant Health Initiative,initiative_provider,,"Institute for Family Health, The",,133273402,100000,DOHMH,This funding will focus on decreasing health disparities among foreign born New Yorkers by focusing on the following three goals: improving access to health care; addressing cultural and language barriers; and targeting resources and interventions.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,188,132860703,yes
2017,MENTAL HEALTH SERVICES,Services,initiative_provider,,"Inwood Community Services, Inc.",,133087407,36103,DOHMH,"This funding supports a range of programs and services that address the needs of individuals with chemical dependencies, developmental disabilities, and/or serious mental illnesses, as well as the needs of their families and caregivers. The funding may support medically supervised outpatient programs (MSOPs), transition management programs, Article 16 clinics, psychological clubs, recreation programs, or other behavioral health services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,250,135564937,yes
2017,MENTAL HEALTH SERVICES,Services,initiative_provider,,Jamaica Service Program for Older Adults (JSPOA),,510204121,204103,,,low,absorbed_text,data/fy17/schedule_c/fy17_schedule_c_awards.csv,250,135564937,no
2017,YOUTH SERVICES,COMPASS,initiative_provider,,Jewish Institute Of Queens,,542068797,210000,DYCD,This allocation supports programming for children in grades K-12 under the Comprehensive Afterschool System of New York City (COMPASS NYC).,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,345,112799128,yes
2017,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,,"Joseph P. Addabbo Family Health Center, Inc., The",,061181226,29235,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,743177454,yes
2017,CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,Jumpstart for Children,,043263046,175000,,,low,absorbed_text,data/fy17/schedule_c/fy17_schedule_c_awards.csv,10,131887440,no
2017,CRIMINAL JUSTICE SERVICES,Initiative to Combat Sexual Assault,initiative_provider,,"Kingsbridge Heights Community Center, Inc.",,132813809,150000,MOCJ,Funding will support five community-based organizations that provide sexual assault related services and programs.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,51,132946970,yes
2017,COMMUNITY DEVELOPMENT,,initiative_provider,,"Lander Npower, Inc.",,134145441,20000,DYCD,,low,absorbed_text,data/fy17/schedule_c/fy17_schedule_c_awards.csv,33,550882599,no
2017,MENTAL HEALTH SERVICES,Geriatric Mental Health,initiative_provider,,Lenox Hill Hospital,,131624070,81000,DOHMH,"This funding supports organizations that provide a range of mental health services to older adults in “non-clinical settings,” such as senior centers, drop-in centers, religious institutions, social clubs, homeless prevention programs, and individual homes.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,262,131628180,yes
2017,CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,"Literacy, Inc. (LINC)",,133911331,440000,DYCD,"This initiative supports a coalition of nonprofit organizations that foster literacy development through direct programming, book distribution, parent engagement and in-home training. City's First Readers focuses on children ages 0 to 5, funding an array of programs designed to help participtaing children achieve reading proficiency by third grade.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,10,131887440,yes
2017,MENTAL HEALTH SERVICES,Services,initiative_provider,,Long Island Jewish Medical Center,,112241326,106103,DOHMH,"This funding supports a range of programs and services that address the needs of individuals with chemical dependencies, developmental disabilities, and/or serious mental illnesses, as well as the needs of their families and caregivers. The funding may support medically supervised outpatient programs (MSOPs), transition management programs, Article 16 clinics, psychological clubs, recreation programs, or other behavioral health services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,251,135596746,yes
2017,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,,Lower East Side Family Union,,237412423,27891,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,743177454,yes
2017,COMMUNITY DEVELOPMENT,,initiative_provider,,"MOUSE, Inc.",,133973196,20000,DYCD,"The Digital Inclusion and Literacy Initiative address disparities in access to the Internet and increase digital literacy across the City, through programming available in every Council District.",medium,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,38,132954007,yes
2017,COMMUNITY DEVELOPMENT,,initiative_provider,,"MOUSE, Inc.",,133973196,20000,DYCD,"The Digital Inclusion and Literacy Initiative address disparities in access to the Internet and increase digital literacy across the City, through programming available in every Council District.",medium,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,38,132954007,yes
2017,EDUCATION,Educational Programs for Students,initiative_provider,,"MOUSE, Inc.",,133973196,275000,DOE,"This allocation will support direct educational initiatives for students including, but not limited to literacy, math, science and technology programs.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,81,134004600,yes
2017,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,,Make the Road New York,,113344389,29800,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,63,133607832,yes
2017,EDUCATION,Dropout Prevention and Intervention Initiative,initiative_provider,,Make the Road New York,,113344389,30000,,,medium,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,80,205620848,yes
2017,IMMIGRANT SERVICES,Immigrant Health Initiative,initiative_provider,,Make the Road New York,,113344389,50000,,,medium,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,188,132860703,yes
2017,HEALTH SERVICES,Access Health,initiative_provider,,Make the Road New York,,113344389,52692,DOHMH,"This allocation enables culturally and linguistically competent community-based organizations in all five boroughs to conduct outreach and education efforts regarding healthcare access and coverage, including issues pertaining to Medicare, Medicaid, the Pregnant Women/Prenatal Care Assistance Program (PCAP), the Family Planning Extension Program (FPEP), the AIDS Drug Assistance Program (ADAP) and the Children’s Health Insurance Program (CHIP).",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,98,133573409,yes
