category,agencies,initiative,amount
HOMELESS SERVICES,HPD,Subsidized Housing Information Project (SHIP),300000
HOUSING INITIATIVE,CUNY,CUNY Citizenship NOW! Expansion,1000000
HOUSING INITIATIVE,DOHMH,Immigrant Health Initiative,1500000
HOUSING INITIATIVE,DYCD,Immigrant Opportunities Initiative,3300000
HOUSING INITIATIVE,HRA,New York Immigrant Family Unity Project,4900000
HOUSING INITIATIVE,DYCD,New York Immigration Coalition,200000
HOUSING INITIATIVE,HRA,Unaccompanied Minors and Families,1500000
IMMIGRANT SERVICES,HRA,Anti-Eviction Legal Services and Single Room Occupancy,5000000
IMMIGRANT SERVICES,HRA,Citywide Civil Legal Services,3750000
IMMIGRANT SERVICES,CCHR,Commission on Human Rights,1510000
IMMIGRANT SERVICES,MOCJ,Legal Information for Families (LIFT),485000
IMMIGRANT SERVICES,HRA,Legal Services for the Working Poor,1725000
IMMIGRANT SERVICES,MOCJ,Prisoners’ Rights Project,750000
IMMIGRANT SERVICES,HRA,Unemployment Insurance/SSI Advocacy Project,1000000
LEGAL SERVICES,NY,Public Library (Research) Fiscal 2016 Subsidy,1470000
LEGAL SERVICES,NY,Public Library (Branches) Fiscal 2016 Subsidy,7770000
LEGAL SERVICES,,Brooklyn Public Library Fiscal 2016 Subsidy,5880000
LEGAL SERVICES,,Queens Borough Public Library Fiscal 2016 Subsidy,5880000
LIBRARIES,DOHMH,Autism Awareness,2000000
LIBRARIES,DOHMH,Bailey House,125000
LIBRARIES,DOHMH,Children Under Five,1450000
LIBRARIES,DOHMH,Court-Involved Youth Mental Health Initiative,1900000
LIBRARIES,DOHMH,Geriatric Mental Health,2000000
LIBRARIES,DOHMH,LGBTQ Youth All-Borough Mental Health Initiative,1000000
LIBRARIES,DOHMH,Mental Health Contracts,621000
LIBRARIES,DOHMH,Mental Health Services – Enhancement,500000
LIBRARIES,DOHMH,Mental Hygiene Services – Chemical Dependency (CD),525000
LIBRARIES,DOHMH,Mental Hygiene Services – Developmental Disability (DD),806000
LIBRARIES,DOHMH,Mental Hygiene Services – MH Providers,1164000
LIBRARIES,DOHMH,"Samaritan’s of New York, Inc.",50000
LIBRARIES,DOHMH,Young Adult Institute & Workshop,50000
MENTAL HEALTH SERVICES,DPR,Parks Equity Initiative,1650000
MENTAL HEALTH SERVICES,DPR,Parks Maintenance,8650000
MENTAL HEALTH SERVICES,DPR,Tree Stumps Removal,1054000
PARKS AND RECREATION,DCLA,Anti-Gun Violence – Art a Catalyst for Change,720000
PARKS AND RECREATION,DOHMH,Anti-Gun Violence - Community-Based Programs,1590000
PARKS AND RECREATION,DYCD,Anti-Gun Violence - City Council Employment Program,1500000
PARKS AND RECREATION,CUNY,Anti-Gun Violence - Evaluation,250000
PARKS AND RECREATION,DOP,Anti-Gun Violence - Job Readiness Programs,1552800
PARKS AND RECREATION,MISC,Anti-Gun Violence - Legal Services,1175000
PARKS AND RECREATION,DOHMH,Anti-Gun Violence - Mental Health/Therapeutic Services,520000
PARKS AND RECREATION,DOE,Anti-Gun Violence - School Based Conflict Mediation,1240000
PARKS AND RECREATION,DYCD,Anti-Gun Violence - Youth Programs,293000
PARKS AND RECREATION,NYPD,Juvenile Robbery Intervention Program,1000000
PARKS AND RECREATION,FDNY,Smoke Detector Distribution Program,1000000
PARKS AND RECREATION,DOT,Vision Zero Education,2500000
PUBLIC SAFETY INITIATIVE,DFTA,6th Congregate Weekend Meal,1200000
PUBLIC SAFETY INITIATIVE,DFTA,Access to Crisis and Emergency Services (ACES),600000
PUBLIC SAFETY INITIATIVE,DFTA,Borough Presidents’ Discretionary Funding Restoration,1129774
PUBLIC SAFETY INITIATIVE,DFTA,Case Management Waitlist,3000000
PUBLIC SAFETY INITIATIVE,DFTA,Elder Abuse Enhancement,335000
PUBLIC SAFETY INITIATIVE,DFTA,Handyman Services,580000
PUBLIC SAFETY INITIATIVE,DFTA,Healthy Aging Initiative,1275000
PUBLIC SAFETY INITIATIVE,DFTA,Holocaust Survivors Initiative,1500000
PUBLIC SAFETY INITIATIVE,DFTA,Information and Referral Services,407811
PUBLIC SAFETY INITIATIVE,DFTA,LGBT Senior Services in Every Borough,1500000
PUBLIC SAFETY INITIATIVE,DFTA,Naturally Occurring Retirement Communities (NORC) Supportive Services Enhancement,1950000
PUBLIC SAFETY INITIATIVE,DFTA,Neighborhood Naturally Occurring Retirement Communities(NNORCs),1900000
PUBLIC SAFETY INITIATIVE,DFTA,NYC Support Our Seniors,1500000
PUBLIC SAFETY INITIATIVE,DFTA,Senior Centers for Immigrant Populations,1000000
PUBLIC SAFETY INITIATIVE,DFTA,"Senior Centers, Programs, and Services Enhancement",3578000
PUBLIC SAFETY INITIATIVE,DFTA,Social Adult Day Care Enhancement,950000
PUBLIC SAFETY INITIATIVE,DFTA,Space Costs for Senior Centers Enhancement,1100000
PUBLIC SAFETY INITIATIVE,DFTA,Transportation Operating Costs Enhancement,660000
SENIOR SERVICES,SBS,Chamber on the Go (Small Business Mobile Outreach Unit),588855
SENIOR SERVICES,SBS,Consortium for Worker Education,2200000
SENIOR SERVICES,CUNY,Create New Technology Incubators,1400000
SENIOR SERVICES,SBS,Day Laborer Workforce Initiative,500000
SENIOR SERVICES,SBS,Food Retail and Workforce Training and Placement Program,60000
SENIOR SERVICES,DYCD,Green Jobs Corps Program,120000
SENIOR SERVICES,SBS,hackNY,100000
SENIOR SERVICES,SBS,Jobs to Build On,5636000
SENIOR SERVICES,SBS,Made in NYC,750000
SENIOR SERVICES,SBS,MWBE Leadership Associations,600000
SENIOR SERVICES,SBS,Neighborhood Development Grant Initiative,1275000
SENIOR SERVICES,SBS,New Skills/New Jobs,598000
SENIOR SERVICES,SBS,SCO Family of Services/Center for Family Life Worker Cooperatives,148000
SENIOR SERVICES,SBS,Small Business/Job Development/Financial Literacy,600000
SENIOR SERVICES,SBS/CUNY,Worker Cooperative Business Development Initiative,2100000
SENIOR SERVICES,SBS,Workforce Development-Queens Tech Education,65000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,,Multiple Speaker’s Initiative to Address Citywide Needs,3392000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,DHS,Homeless Prevention Services for Veterans,150000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,SBS,Job Placement for Veterans,150000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,HRA,Legal Services for Veterans,350000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,DOHMH,Mental Health Services for Veterans,190000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,DYCD,Veterans Community Development,100000
VETERANS SERVICES,DYCD,Adult Literacy Initiative,1380000
VETERANS SERVICES,DYCD,Big Brothers Big Sisters of New York City,850000
VETERANS SERVICES,DYCD,Communities of Color Nonprofit Stabilization Fund,2500000
VETERANS SERVICES,DYCD,COMPASS Slot Restoration,9886800
VETERANS SERVICES,DYCD,New York Junior Tennis League,800000
VETERANS SERVICES,DYCD,NYC Digital Inclusion and Literacy Initiative,1020000
VETERANS SERVICES,DYCD,NYC Youth Build,2100000
VETERANS SERVICES,DYCD,NYC Youth Council,349654
VETERANS SERVICES,DYCD,Sports & Arts in Schools Foundation,1000000
VETERANS SERVICES,DYCD,Sports Training and Rolemodels for Success Initiative,1000000
VETERANS SERVICES,DYCD,Student Voter Registration Day,343840
VETERANS SERVICES,DYCD,Summer Youth Employment Program (SYEP),21000000
VETERANS SERVICES,DYCD,TASC After-Three Initiative,3000000
VETERANS SERVICES,DYCD,Women’s Housing and Economic Development Corporation (WHEDco),210000
VETERANS SERVICES,DYCD,Year-Round Youth Employment Program,12000000
VETERANS SERVICES,DYCD,YMCA Y After School Academy,350000
