category,agencies,initiative,amount
INTRODUCTION,,Multiple Anti-Poverty Initiative,2800000
ANTI-POVERTY,,Multiple Boroughwide Needs Initiative,2000000
BOROUGHWIDE NEEDS,ACS,Discretionary Child Care,12082540
BOROUGHWIDE NEEDS,DYCD,City’s First Readers,1792000
BOROUGHWIDE NEEDS,ACS,Priority 5 Vouchers,4400000
BOROUGHWIDE NEEDS,CUNY,Technical Assistance for Child Care Providers (CUNY PDI),500000
CHILDREN’S SERVICES,DOP,Adolescent Portable Therapy Program,250000
CHILDREN’S SERVICES,MOCJ,Alternatives to Incarceration (ATI) Programs,4432000
CHILDREN’S SERVICES,MOCJ,Bail Fund,1400000
CHILDREN’S SERVICES,MOCJ,Center for Court Innovation,500000
CHILDREN’S SERVICES,MOCJ,Child Advocacy Centers (Safe Horizon),748000
CHILDREN’S SERVICES,MOCJ,Human Trafficking,750000
CHILDREN’S SERVICES,MOCJ,Initiative to Address Sexual Assault,600000
CHILDREN’S SERVICES,DA,- RC Staten Island Drug Treatment Court,250000
CRIMINAL JUSTICE SERVICES,DCLA,Coalition Theaters of Color,1965000
CRIMINAL JUSTICE SERVICES,DCLA,Cultural After-School Adventure (CASA),8160000
CRIMINAL JUSTICE SERVICES,DCLA,Cultural Immigrant Initiative,3187500
CRIMINAL JUSTICE SERVICES,DYCD,Ghetto Film School (GFS) Accelerator Program Model,625000
CRIMINAL JUSTICE SERVICES,DCLA,SU-CASA,1020000
CULTURAL ORGANIZATIONS,ACS,"CONNECT, Inc. Community Empowerment Program",600000
CULTURAL ORGANIZATIONS,MOCJ,Domestic Violence and Empowerment (DoVE) Initiative,4680000
CULTURAL ORGANIZATIONS,MOCJ,Immigrant Battered Women's Initiative,1000000
CULTURAL ORGANIZATIONS,HRA,Legal Services for Domestic Violence Victims,350000
DOMESTIC VIOLENCE SERVICES,DOE,Bridge to Tomorrow,1150000
DOMESTIC VIOLENCE SERVICES,DOE,CHAMPS,125000
DOMESTIC VIOLENCE SERVICES,DOE,Chess in the Schools,400000
DOMESTIC VIOLENCE SERVICES,DOE,Child Mind Institute,500000
DOMESTIC VIOLENCE SERVICES,DOE,Community Schools,475000
DOMESTIC VIOLENCE SERVICES,DOE,Dropout Prevention and Intervention Initiative,1595000
DOMESTIC VIOLENCE SERVICES,DOE,Executive Leadership Institute,450000
DOMESTIC VIOLENCE SERVICES,DYCD,Jill Chaifetz Helpline,245000
DOMESTIC VIOLENCE SERVICES,DOE,LGBT Students’ Liaison,200000
DOMESTIC VIOLENCE SERVICES,DOE,MOUSE,275000
DOMESTIC VIOLENCE SERVICES,DOE,MsExtra,1550000
DOMESTIC VIOLENCE SERVICES,DOE,NASA GLOBE Program,130000
DOMESTIC VIOLENCE SERVICES,DOE,Restorative Justice Program,2400000
DOMESTIC VIOLENCE SERVICES,DOE,Small Schools Athletic League,1000000
DOMESTIC VIOLENCE SERVICES,DOE,STEM Teacher’s College,250000
DOMESTIC VIOLENCE SERVICES,DOE,Teacher's Choice,9685000
DOMESTIC VIOLENCE SERVICES,DOE,Urban Advantage,3500000
EDUCATION,DYCD,A Greener NYC,1002000
EDUCATION,DYCD,NYC Cleanup,5300000
ENVIRONMENTAL INITIATIVES,DYCD,Communities for Healthy Food,500000
ENVIRONMENTAL INITIATIVES,HRA,Earned Income Tax Credit,250000
ENVIRONMENTAL INITIATIVES,DYCD,EBTs and Food Markets,335000
ENVIRONMENTAL INITIATIVES,DYCD,Expand Low-Income Farmers’ Markets,95000
ENVIRONMENTAL INITIATIVES,HRA,Food Pantries and Technical Assistance,475000
ENVIRONMENTAL INITIATIVES,DYCD,Food Pantries,1932000
FOOD INITIATIVES,,Clerk City Clerk PS Enhancement,150000
FOOD INITIATIVES,,BP- Brooklyn Brooklyn Borough President PS Enhancement,100000
GOVERNMENT OFFICIALS,DOHMH,Access Health NYC,1000000
GOVERNMENT OFFICIALS,DYCD,Amida Care Initiative,100000
GOVERNMENT OFFICIALS,DOHMH,Asthma Control Program,500000
GOVERNMENT OFFICIALS,DOHMH,Beating Hearts,350000
GOVERNMENT OFFICIALS,DOHMH,Callen Lorde Health Center,500000
GOVERNMENT OFFICIALS,DOHMH,Cancer Initiative,1525000
GOVERNMENT OFFICIALS,DOHMH,End the Epidemic,3900000
GOVERNMENT OFFICIALS,DOHMH,Family Planning,350000
GOVERNMENT OFFICIALS,DOHMH,"Healthy Women, Healthy Future – DOULA Services",300000
GOVERNMENT OFFICIALS,DOHMH,Hepatitis B/C,975000
GOVERNMENT OFFICIALS,DOHMH,HIV Prevention - Behavioral Interventions,2716000
GOVERNMENT OFFICIALS,DOHMH,HIV Prevention & Literacy - Seniors,400000
GOVERNMENT OFFICIALS,DOHMH,HIV/AIDS Communities of Color,1225000
GOVERNMENT OFFICIALS,DOHMH,HIV/AIDS Faith Based Initiative,1500000
GOVERNMENT OFFICIALS,DOHMH,Infant Mortality Reduction,2500000
GOVERNMENT OFFICIALS,DOHMH,Injection Drug Users Health Alliance (IDUHA),1000000
GOVERNMENT OFFICIALS,DOHMH,NYU – Mobile Dental Van,268000
GOVERNMENT OFFICIALS,DOHMH,Obesity Prevention,1300000
HEALTH SERVICES,CUNY,Center for Puerto Rican Studies,970000
HEALTH SERVICES,CUNY,City Council Merit-Based Scholarships,17000000
HEALTH SERVICES,CUNY,City Council Merit-Based Scholarships – Fashion Institute of Technology (FIT),375000
HEALTH SERVICES,CUNY,Creative Arts Team,372000
HEALTH SERVICES,CUNY,CUNY Technical Apprenticeship Program,50000
HEALTH SERVICES,CUNY,Dominican Studies institute,970000
HEALTH SERVICES,CUNY,Murphy Institute Center for Worker Education,100000
HEALTH SERVICES,CUNY,New York City Food Policy Center at Hunter College,200000
HIGHER EDUCATION INITIATIVES,DHS,Children and Families in NYC Homeless System,1000000
HIGHER EDUCATION INITIATIVES,DHS,Citywide Homeless Prevention Fund,820000
HOMELESS SERVICES,HPD,Association for Neighborhood and Housing Development,100000
HOMELESS SERVICES,HPD,Citywide Task Force on Housing Court,650000
HOMELESS SERVICES,HPD,Community Consultant Contracts (CCC),1100000
HOMELESS SERVICES,HPD,Ease Transition in Downsizing in Housing in HPD,250000
HOMELESS SERVICES,HPD,Energy Retrofits for Small Buildings,1000000
HOMELESS SERVICES,HPD,Foreclosure Buyback Initiative,1000000
HOMELESS SERVICES,HPD,Housing Preservation Initiative (HPI),2450000
HOMELESS SERVICES,HPD,HPD Alternative Enforcement Program (AEP),750000
HOMELESS SERVICES,HPD,HPD Home Loan Program,2000000
HOMELESS SERVICES,HPD,Mortgage Foreclosure Prevention Program,1000000
HOMELESS SERVICES,NYCHA,NYCHA Senior Centers,3000000
HOMELESS SERVICES,NYCHA,Participatory Budgeting at NYCHA,375000
HOMELESS SERVICES,HPD,Stabilizing NYC,1250000
