category,initiative,award_type,member,organization,program,ein,amount,agency,purpose
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,A&G Early Child Care Community Network Inc.,,472375867,2150000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Afro American Parents Education Day Care Center, Inc.",,132727406,162000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Afro American Parents Education Day Care Center, Inc.",,132727406,585662,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Beth Jacob Day Care Center, Inc.",,112290419,960000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Bethany Day Nursery, Inc.",,132732818,709605,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,Brooklyn Bureau of Community Services,,111630780,300000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,Catholic Charities Neighborhood Services Inc.,,112047151,94197,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Conselyea St. Block Association, Inc.",,112347180,1448669,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,Fort Greene Council Inc.,,112300840,587058,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,Gan Day Care,,112302049,1136000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Leake and Watts Services, Inc.",,131860451,570377,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Nasry Michelen Day Care Center, Inc.",,203108162,933098,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Pamela C Torres Day Care Center, Inc.",,131740021,622088,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,Staten Island Mental Health Society Inc. Head Start Program,,135623279,390000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,West Side Montessori School,,131992185,275000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,Williamsbridge NAACP Early Childhood Education Center,,132686694,1158786,,
CHILDREN’S SERVICES,Adolescent Portable Therapy Program,initiative_provider,,Center for Alternative Sentencing and Employment Services Inc.,,132668080,250000,,
CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,,Center for Alternative Sentencing Employment Services (CASES),,132668080,728775,,
CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,,"Center for Community Alternatives' Crossroads Program 16-1395992 * $408,978 Center for Employment Opportunities (CEO) 13-3843322 * $440,957 Educational Assistance Corporation (EAC) 23-7175609 * $1,021,340 Fortune Society",,132645436,293850,,
