member,organization,program,ein,amount,purpose
Brannan,"Bay Ridge Center, Inc.",,800559714,7500,Funding will be used to support Senior programming and services.
Menchaca,"Bay Ridge Center, Inc. -Senior Support Services",,800559714,10000,To support operational and programming cost to increase evidence based exercise programming in multiple languages.
Cohen,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",Sister Annunciata Bethell Neighborhood Senior Center,132745303,30000,"Funding will support senior recreational, educational, and social programming; services such as advocacy and counseling, transportation, meals, and health promotion; and general operating expenses for such programming and services."
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development -Abe Stark Senior Center,,113199040,11500,Funding to support expense costs for programming at Abe Stark Senior Center.
Louis,Bergen Basin Community Development Corporation d/b/a Millennium Development -Council District 45,,113199040,19000,Funding to support programming for aging population in Council District 45
Levin,Bergen Basin Community Development Corporation d/b/a Millennium Development -Independence Senior Center,,113199040,5000,"To provide health wellness classes, computer classes, and meals for senior citizens at Independence Senior Center."
Maisel,Bergen Basin Community Development Corporation d/b/a Millennium Development -Neighborhood Senior Services,,113199040,100000,"Funding to provide services and support satellite sites throughout southern Brooklyn including Active Adult programs, health and wellness classes, and other activities to the senior population."
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development -Penn Wortman Senior Center,,113199040,15000,Funding to support expense costs for programming at Penn Wortman Senior Center.
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development -Vandalia Senior Center,,113199040,12000,Funding to support expense costs for programming at Vandalia Senior Center.
Louis,BHRAGS Home Care Corp -Council District 45,,112579798,5000,Funds will be used to support older adults in Council District 45.
Ulrich,Blessed Trinity Roman Catholic Church -Blessed Trinity Golden Age Club,,262885471,5000,"Funds will support the Golden Age Club including senior peer counseling, community updates and information on senior services. Page 2 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Deutsch,"Blue Card, Inc., The",,131623910,2500,Funding to support the operating expenses related to assistance services and activities for indigent/needy Holocaust survivors.
Lander,Boro Park Jewish Community Council,,113475993,15000,Funding to support operating costs of providing social services to the community.
Gjonaj,"Bronx Jewish Community Council, Inc. -Nursing Services",Pelham Parkway NORC,132744533,8000,Funding for one day of nursing services at the NYCHA Pelham Parkway Houses NORC program.
Torres,"BronxWorks, Inc. -East Concourse Senior Center",,133254484,10000,Funds will support operations and programming of the BronxWorks East Concourse Senior Center.
Cabrera,"BronxWorks, Inc. -Heights Neighborhood Senior Center",,133254484,17500,"Funds to enhance center activities including recreational & cultural trips, ESL and Spanish as a Second Language, creative design, creative writing, theater class, art classes and computer classes for seniors in the computer lab centers."
Gibson,"BronxWorks, Inc. -Heights Neighborhood Senior Center",Council District 16,133254484,10000,"Funds will support senior center activities including recreational trips, ESL classes, art and computer classes at BronxWorks Heights Neighborhood Senior Center."
Cabrera,"BronxWorks, Inc. -Morris Innovative Senior Center",,133254484,17500,"Funds to enhance center activities including recreational & cultural trips, ESL and Spanish as a Second Language, creative design, creative writing, theater class, art classes and computer classes for seniors in the computer lab centers."
Gibson,"BronxWorks, Inc. -NORC",River Park Towers - Council District 16,133254484,10000,Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at River Park Towers.
Ayala,"BronxWorks, Inc. -SHEW Program",E. Roberts Moore Senior Center,133254484,10000,To provide funds for the Senior Health Eating and Wellness (SHEW) program at E. Roberts Moore Senior Center.
Louis,Brooklyn Academy of Music -Council District 45,,112201344,8000,Funding to support Senior programming in Council District 45.
Ampry-Samuel,Brooklyn Academy of Music -Senior Cinema,,112201344,5000,Funds to support the monthly Senior Cinema program.
Cumbo,Brooklyn Academy of Music -Senior Cinema,,112201344,4000,Funding to support the Senior Cinema program.
Lander,"Brooklyn Arts Council, Inc.",,237072915,9500,Funding to support arts programming at senior centers located in Council District 39.
Louis,"Brooklyn Arts Council, Inc. -Council District 45",,237072915,11000,Funding to support Senior programming in Council District 45.
Levin,Brooklyn Bureau of Community Services -Senior Center Programming,,111630780,5000,To support senior center programming for adults with developmental disabilities and to help seniors plan proactively for an active and healthy retirement.
Yeger,"Brooklyn Chinese-American Association, Inc. -Bensonhurst Senior Center",,113065859,7500,"Funds will be used for educational and recreational activities, as well as to defray cost of facility rental at the Bensonhurst Senior Center."
Menchaca,"Brooklyn Chinese-American Association, Inc. -Sunset Park Senior Center & Sixth Avenue Senior Center",,113065859,20000,Funding to support recreational and educational activities as well as operational expenses at BCA's Sunset Park Senior Center and Sixth Avenue Senior Center.
Lander,"Brooklyn Chinese-American Association, Inc. -Sunset Park Senior Citizens Center",,113065859,5000,"Funding to support recreational and educational activities, milestone events as well as facility rental and insurance costs at the Sunset Park Senior Citizens Center. Page 3 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Dromm,"Brooklyn Community Pride Center, Inc. -Elder Pride",,262214534,5000,To fund programming aimed at decreasing isolation of LGBTQ+ elders.
Levin,"Brooklyn Community Pride Center, Inc. -Eldercare",,262214534,5000,To provide Eldercare programming and outreach.
Lander,"Brooklyn Community Pride Center, Inc. -ElderPride",,262214534,10000,Funding for Elder focused programming and outreach.
Cumbo,"Brooklyn Community Pride Center, Inc. -ElderPride",,262214534,5000,"Funding to support ElderPride, including programming and recreational services."
Cumbo,Brooklyn Defender Services -Civil Justice Program,Council District 35,113305406,5000,Funding to support operational expenses of the Civil Justice Program for the senior population.
Adams,"Brooks Senior Center, Inc.",,112329979,15000,"Funds will support social day activities, congregate meals, and case assistance."
Miller,"C.W. Mixon Senior Outreach Center, Inc.",,562625535,10000,"Funding will cover the cost of prepared meals, planned activities, organized excursions and other forms of enrichment to members of the senior citizen program."
Richards,Calvary Baptist Church,,112480945,10000,Funds to be used for programmatic support in District 31 for the G.E.A.R. program
Matteo,Carmel Richmond Nursing Home,,132720248,6000,Funds will support the purchase of new guest chairs for nursing home resident rooms.
Ayala,"Carter Burden Center for the Aging, Inc., The -Leonard Covello Senior Center",,237129499,10000,"To provide funding for daily programming related to education, wellness, recreation, and free meals."
Powers,"Carter Burden Center for the Aging, Inc., The -Luncheon Club & Senior Program",,237129499,5000,Funding will support the Carter Burden Luncheon Club and Senior program.
Louis,"Catholic Charities Community Services, Archdiocese of New York -Council District 45",,135562185,10000,Supportive services for aging population.
Grodenchik,"Catholic Charities Neighborhood Services, Inc.",,112047151,26250,Funds will be used to support educational/recreational and health promotion activities and to subsidize increased meals cost and transportation and to provide general support to program operations.
Holden,"Catholic Charities Neighborhood Services, Inc.",,112047151,5000,Funds to be used for educational and recreational programming and transportation services for medical appointments for seniors.
Deutsch,"Catholic Charities Neighborhood Services, Inc. -Bay Senior Center",,112047151,5000,Funding to support operating and educational programming at Bay Senior Center.
Vallone,"Catholic Charities Neighborhood Services, Inc. -Bayside Senior Center",,112047151,5000,"Funding will be used to support educational/recreational & health promotion activities, transportation services and to provide general support to program operation for the Bayside Senior Center."
Constantinides,"Catholic Charities Neighborhood Services, Inc. -Dellamonica Center",,112047151,30000,Funds will be used to defray the cost of operating the Dellamonica Senior Center in Astoria.
Ulrich,"Catholic Charities Neighborhood Services, Inc. -Howard Beach Senior Center",,112047151,6000,"Funds will support the Howard Beach Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and will provide support for general operations."
Levin,"Catholic Charities Neighborhood Services, Inc. -Northside Senior Center",,112047151,5500,To support the CCNS Northside Senior Center. Page 4 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Ulrich,"Catholic Charities Neighborhood Services, Inc. -Ozone Park Senior Center",,112047151,6000,"Funds will support the Ozone Park Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Adams,"Catholic Charities Neighborhood Services, Inc. -Ozone Park Senior Center",,112047151,5000,Funding will support programming and operational costs of Ozone Park Senior Center.
Levin,"Catholic Charities Neighborhood Services, Inc. -Pete McGuinness Senior Center",,112047151,5500,To support the CCNS Pete McGuinness Senior Center.
Ulrich,"Catholic Charities Neighborhood Services, Inc. -Seaside Senior Center",,112047151,6000,"Funds will support the Seaside Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Levin,"Catholic Charities Neighborhood Services, Inc. -St. Charles Jubilee Senior Center",,112047151,5500,To support CCNS St. Charles Jubilee Senior Center.
Maisel,"Catholic Charities Neighborhood Services, Inc. -The Bay Senior Center",,112047151,7500,"Funds will be used to support educational, recreational and health promotion activities and to subsidize increased kosher meal cost, provide supplies and general support to operate the program."
Ulrich,"Catholic Charities Neighborhood Services, Inc. -Woodhaven- Richmond Hill Senior Center",,112047151,28500,"Funds will support the Woodhaven - Richmond Hill Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Matteo,Catholic Charities of Staten Island,,135562286,10000,"Funds will be used for general operating costs, providing meals, exercise, socialization, recreational activities and health services to senior citizens age 60 years and above."
Rose,Catholic Charities of Staten Island -Anderson Neighborhood Senior Center,,135562286,15000,"Funds will be utilized to operate the Senior Centers, including provision of congregate lunch, health management, physical health/exercise activities, arts, technology & nutrition education, and transportation."
Rose,Catholic Charities of Staten Island -West Brighton Neighborhood Senior Center,,135562286,15000,"Funds will be utilized to operate the Senior Centers, including provision of congregate lunch, health management, physical health/exercise activities, arts, technology & nutrition education, and transportation."
Constantinides,"Central Astoria Local Development Coalition, Inc. -Senior Services",,112652331,7000,Funds will be used to provide counseling and case work assistance to local seniors.
Matteo,"Central Family Life Center, Inc., The -Savvy Senior Program",,133626127,9000,Funds will be used for general operating cost of the tech Savvy Senior program.
Deutsch,"Children of World War II from the Former Soviet Union, Inc.",,275377248,5000,"Funding to support programming and activities for seniors including cultural excursions, computer training, and health lectures for seniors."
Chin,"Chinese American Planning Council, Inc. -Council District 1",,136202692,10000,To support CPC Chinatown senior center services.
Koo,"Chinese American Planning Council, Inc. -Nan Shan Senior Center",,136202692,19000,To help support the Congregate Lunch Program operational costs at the Nan Shan Senior Center.
Chin,"Chinese American Planning Council, Inc. -Open Door",,136202692,10000,"To support CPC Open Door senior services including congregate lunches, educational and exercise classes and recreational activities and field trips."
Menchaca,"Chinese American Planning Council, Inc. -Senior Center Services",,136202692,30000,Funding to support caseworker and services dedicated to supporting seniors. Page 5 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Brannan,City University of New York Community Colleges -Aging Mastery Program,,461371336,5000,Aging Mastery Program for seniors in Council District 43.
Ayala,CityMeals on Wheels,,133634381,5000,To provide funding for the delivery of fresh produce to homebound elderly.
Powers,CityMeals on Wheels,,133634381,5000,Funding will support nutritious meals to homebound elderly in Council District 4.
Lander,Coalition of Institutionalized Aged and Disabled,,133124614,5000,"To support advocacy, educational and organizing services to the residents of adult and nursing homes."
Borelli,"Community Agency for Senior Citizens, Inc.",,133263537,5000,Funds will support and transportation for seniors in Council District 51.
Rose,"Community Agency for Senior Citizens, Inc. -Cassidy Coles Neighborhood Senior Center",,133263537,10000,"Fund will support the administrative, staffing, and operational costs associated with providing group activities and computer training for CASC Cassidy Coles Neighborhood Senior Center (DFTA 550)."
Rose,"Community Agency for Senior Citizens, Inc. -New Lane Neighborhood Senior Center",,133263537,10000,"Funds will be utilized to help cover the administrative, operational and staffing costs associated with providing services to the New Lane Neighborhood Senior Center, such as groups/activities, supplies, and computer training."
Rose,"Community Agency for Senior Citizens, Inc. -Transportation Services for Older Adults",,133263537,10000,"Funds will be utilized to help cover the administrative, operational and staffing costs associated with providing transportation services for food shopping, banking, senior centers and recreational trips to/from centers, senior housing and homes."
Miller,"Community Bridge Home, Inc.",,113192295,5000,"Funding will cover costs associated with teaching intermediate bridge, providing dance and exercise classes."
Matteo,Community Service Society of New York,,135562202,5000,Funds will be used to support general operating expenses including staff support.
Powers,Community Service Society of New York,,135562202,5000,Funding will support the retired and senior volunteer program for older adults in Council District 4.
Kallos,Community Service Society of New York,,135562202,2500,"To support the Community Service Society Navigator Network, Community Health Advocates and RSVP programs, publicly noticed through Council District 5 monthly newsletter and website."
Gibson,Concourse Village Special Adults Senior Center -Concourse Village Special Adults Senior Center,Council District 16,131977533,7000,"The funds will support recreational programming, senior trips, and milestone/seasonal events at the Concourse Village Special Adults Senior Center in Council District 16."
Yeger,Congregation Bnai Yosef,,111994182,5000,Funds will be used to provide dinners to seniors who visit the facility on a daily basis.
Moya,Corona Congregational Church -Florence E Smith Senior Center,,111802803,15000,"Funding to be used to support the Florence E Smith Senior Center through meal services, transportation, social work services, health management, and at least one field trip for residents of Council District 21."
Torres,"Council of Belmont Organizations, Inc.",,132755323,30000,Funds will support COBO's senior assistance programming- including filing benefits paperwork.
Deutsch,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,2000,"Funds to provide Holocaust survivors with case management, transportation and friendly visits. Page 6 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Louis,"Council of Jewish Organizations of Flatbush, Inc. -South Brooklyn Financial Services Center",,112864728,5000,"Funding will be used to offer seniors counseling on immigrant issues and credit and debt management, financial literacy including budgeting, financial planning and housing counseling."
Lander,"Council of Peoples Organization, Inc.",,753046891,3500,Funding to support general operating and programming costs.
Louis,"Council of Peoples Organization, Inc. -Council District 45",,753046891,7000,Funds will be used to provide seniors access to food through the organizations food pantry.
Chin,"Council of Senior Centers and Services of NYC, Inc.",,132967277,5000,To support educational programs on senior rights and services.
Ampry-Samuel,"Crown Heights Jewish Community Council, Inc. -Senior Program",,237390996,10000,"Funds will be used for the food pantry and center, providing services to seniors and the community."
Cornegy,"Crown Heights Jewish Community Council, Inc. -Senior Programming",,237390996,5000,"Funding to support operational expenses of the food pantry and center, providing services to seniors and the community including Northern Crown Heights in Council District 36."
Cumbo,"Crown Heights Jewish Community Council, Inc. -Senior Programs",Council District 35,237390996,30000,Funding to support senior services ranging from access to entitlements to health insurance information to housing related services.
Ampry-Samuel,Crown Heights Preservation Committee Corporation,,112322490,10000,Funds will be used to enhance programs for seniors at the center and cover the cost associated with maintaining senior wheel chair accessible bus.
Cumbo,Crown Heights Preservation Committee Corporation -Shalom Senior Center ADA Bus Service,,112322490,20000,Funding to support the Shalom Senior Center with programming activities and wheelchair-accessible bus.
Eugene,Crown Heights Preservation Committee Corporation -Shalom Senior Citizens Center,,112322490,18200,"Funding to support senior programming and activities including ESL classes, computer classes, and trips, and to defray the cost of wheel chair accessible senior bus. CD 37 Cypress Hills Fulton Street Senior Citizens Center, Inc."
,"Funding to support senior programming and activities including ESL classes, computer classes, and trips, and to defray the cost of wheel chair accessible senior bus. CD 37 Cypress Hills Fulton Street Senior Citizens Center, Inc.",,112297647,76875,"Funds will be used for operational costs, recreation and educational programing."
Perkins,"Dances for a Variable Population, Inc. -Movement Speaks Programs",,264572204,20000,Funding to provide Dance Movement programs for seniors in Council District 9.
Johnson,"Dances for a Variable Population, Inc. -Senior Dance & Community Cultural Initiative",,264572204,7000,"To fund citywide Senior Dance and Community Cultural Initiative taking place in four boroughs and eleven Council Districts, including Council District 3."
Perkins,Department for the Aging,,136400434,5000,Community Garden Programs in Council District 9.
Eugene,"Dorchester Senior Citizens Center, Inc.",,112305581,18200,"Funding to support senior programming and services including congregate meals and educational, recreational, cultural, health, and technological activities."
Powers,"DOROT, Inc.",,133264005,5000,Funding will support DOROT's Homelessness Prevention Program which responds to the needs of underserved homeless New York City seniors in Council District 4.
Perkins,"DOROT, Inc. -Homeless Prevention Program",,133264005,7500,Funding to support the Homeless Prevention Program for seniors In Council District 9.
Levine,"DOROT, Inc. -In-Home Programs for Older Adults",,133264005,5000,Funding for the Homelessness Prevention program (HPP).
Rosenthal,"DOROT, Inc. -Senior Outreach",,133264005,10000,Funds support outreach to homebound seniors and homeless prevention programs. Page 7 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Van Bramer,"East River Development Alliance, Inc. -Senior Services",,861096987,16200,"Funding would support a range of services for adults over the age of 55, including employment services, assistance applying for benefits, referrals to wraparound supports, financial education and counseling, and free tax preparation assistance."
Moya,"East River Development Alliance, Inc. -Senior Services",Council District 21,861096987,5000,"Funding to support services for adults age 55 and over with employment services, assistance applying for benefits, wrap-around supports, financial education and counseling, free tax prep, and Census 2020 outreach."
Constantinides,"East River Development Alliance, Inc. -Senior Services for NYCHA Residents",,861096987,20000,"Funds will be used to provide assistance to local seniors at NYCHA Astoria Houses in the form of workforce development workshops, assistance in navigating public benefits, financial counseling, and free tax preparation assistance."
Ayala,"East Side House, Inc. -Mitchel Senior Center",,131623989,5000,To provide funding for enrichment programming and services at Mitchel Senior Center.
Ayala,"East Side House, Inc. -Patterson Senior Center",,131623989,15000,To provide funding for enrichment programming and services at Patterson Senior Center.
Treyger,"Edith and Carl Marks Jewish Community House of Bensonhurst, Inc. -""Good Neighbors"" NNORC",,111633484,8000,Funding will be used to support the Good Neighbors NNORC program and help defray operating and direct service costs.
Treyger,"Edith and Carl Marks Jewish Community House of Bensonhurst, Inc. -Bensonhurst Senior Center",,111633484,5000,"Funding for operating expenses; and cultural, educational, recreational, and wellness activities at the Bensonhurst Senior Center."
Rivera,"Educational Alliance, Inc., The -Sirovich Center",,135562210,15000,Funding to support innovative health and wellness activities taking place at Sirovich Center.
Chin,"Educational Alliance, Inc., The -Weinberg Center for Balanced Living",,135562210,6000,"Funds will support the Weinberg Center for Balanced Living health and wellness programming designed to help neighborhood seniors stay healthy or improve health, and live with increased safety and comfort at home."
Borelli,Eger Health Care and Rehabilitation Center -Better Life More Living,,133524533,12500,Funds will support Better Life More Living programming and services.
Borelli,Eger Health Care and Rehabilitation Center -Holistic Treatment Program,,133524533,5000,Funds will support the holistic treatment programming.
Moya,"Elmcor Youth and Adult Activities, Inc. -Golden Phoenix 1",,112224539,54000,Funding to support Golden Phoenix 1 senior services and activities.
Moya,"Elmcor Youth and Adult Activities, Inc. -Golden Phoenix 2",,112224539,30000,Funding to support Golden Phoenix 2 Senior services.
Van Bramer,Emerald Isle Immigration Center -Extended Services Program,,112932528,7500,Funding to support the Extended Services program.
Rose,"Empowerment Zone, Inc. -Seniors of the Hill",,142009368,10000,"Fund will support the administrative, staffing, and operational costs associated with providing instructional and support services to immigrant seniors."
Johnson,Encore Community Services -Senior Home Delivered Meals,,133104293,9500,"Funding to support the Home Delivered Meals program which delivers nutritious, well- balanced meals to homebound seniors."
Treyger,"Federation of Italian American Organizations of Brooklyn, Ltd.",Senior Events,112507910,20000,Funds will be used to support senior events in Council District 47. Page 8 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Eugene,"Fenimore Senior Center, Inc.",,112772287,18200,"Funds will be used to provide arts, crafts, educational and other activities to local seniors, Funds will also supplement staffing, rent, and administrative expenses."
Johnson,"Find Aid for the Aged, Inc.",,132666921,10000,"To fund programming in all centers for homeless, marginally housed and/or poverty- stricken throughout New York City."
Rosenthal,"Find Aid for the Aged, Inc. -Senior Programs",Hamilton & Hargrave House,132666921,10000,Funds support senior programs in Project FIND senior centers in Council District 6.
Deutsch,"Flatbush Shomrim Safety Patrol, Inc.",,203244567,17000,Funding to support assistance services for various emergencies associated with seniors.
Louis,"Flatbush Shomrim Safety Patrol, Inc. -Council District 45",,203244567,7000,Funds will be used to support FSSP in providing assistance programs for youth and elderly as well as awareness programs regarding anti-terrorism and medical concerns. The funding also supports assistance in case of emergencies such as natural disasters.
Cornegy,"Fort Greene Council, Inc. -Albany Neighborhood Senior Center",,112300840,5000,"Funds will be used to enhance a variety of health & wellness, educational/recreational, and technology activities; including supplies for programming at Albany Neighborhood Senior Center."
Ampry-Samuel,"Fort Greene Council, Inc. -Christopher Blenman Neighborhood Senior Center",,112300840,10000,Funds to support senior programming at Christopher Blenman Neighborhood Senior Center.
Louis,"Fort Greene Council, Inc. -Council District 45",,112300840,20000,"Funds will be used to support educational, recreational, wellness, and technological activities toward adults of 60 years of age and seniors who reside in Brooklyn."
Cornegy,"Fort Greene Council, Inc. -Grace Agard-Harewood Neighborhood Senior Center",,112300840,5000,"Funds will be used to enhance a variety of Health and Wellness, Educational /Recreational and Technology Activities."
Ampry-Samuel,"Fort Greene Council, Inc. -Hugh Gilroy Neighborhood Senior Center",,112300840,10000,Funds to support senior programming at Hugh Gilroy Neighborhood Senior Center.
Cornegy,"Fort Greene Council, Inc. -Jazz Concert Series",,112300840,5000,"Funding to support Jazz966 programming including costs associated with musicians, printing, supplies and equipment."
Cumbo,"Fort Greene Council, Inc. -Jazz966",,112300840,8000,Funding to support Jazz966 musicians and other general operating expenses.
Ampry-Samuel,"Fort Greene Council, Inc. -Marcus Garvey Senior Club",,112300840,5000,Funds to support senior programming at Marcus Garvey Senior Club.
Cornegy,"Fort Greene Council, Inc. -Maria Lawton Neighborhood Senior Center",,112300840,5000,"Funds will be used to enhance a variety of health & wellness, educational/recreational, and technology activities; including supplies for programming at Maria Lawton Neighborhood Senior Center."
Ampry-Samuel,"Fort Greene Council, Inc. -Seth Low Senior Club",,112300840,5000,Funds to support senior programming at Seth Low Senior Club.
Cornegy,"Fort Greene Council, Inc. -Stuyvesant Heights Neighborhood Senior Center",,112300840,5000,"Funds will be used to enhance a variety of health & wellness, educational/recreational, and technology activities, including supplies for programming at Stuyvesant Heights Neighborhood Senior Center."
Barron,"Fort Greene Council, Inc. -Teresa Moore Senior Center",,112300840,24900,Funding to support operating expense costs for senior programming at Teresa Moore Senior Center. Page 9 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Rosenthal,Goddard Riverside Community Center -Senior Programs & Home Delivered Meals,West 65th Street,131893908,14500,Funds support programming at W 65th St Senior Centers and home delivered meals.
Rosenthal,Goddard Riverside Community Center -Senior Programs & Home Delivered Meals,West 88th Street,131893908,24500,Funds support programming at W 88th St Senior Centers and home delivered meals.
Chin,"God's Love We Deliver, Inc.",,133366846,5000,"To support the provision of home-delivered meals and MNT to seriously ill people, children, and senior caregivers citywide. The requested funds help meet increased demand and defray the cost of food, fuel and supplies."
Gibson,"God's Love We Deliver, Inc. -Home-Delivered Meals",Council District 16,133366846,6000,"Funds will be used to support the provision of home-delivered meals to seriously ill people, their children (to age 18) and their senior caregivers in Council District 16."
Ulrich,Golden Age Club of Nativity,,057509019,5000,Funding to support operating expenses of programming and/or services for seniors.
Chin,"Grand Street Settlement, Inc.",,135562230,6000,"To support multi-lingual senior programming, including educational classes, arts classes, exercise classes, and cultural outings."
Rivera,"Grand Street Settlement, Inc. -Grand Coalition of Seniors",,135562230,20000,"Funding for activities and services that meet the psychosocial, health and financial needs of community seniors at the Grand Coalition of Seniors (GSC) Senior Center and BEST NORC."
Gibson,"Grandparents Around the World Productions, Inc. -Monthly Senior Forums",Council District 16,203463651,5000,Funds will support monthly Senior Forums and programming at The Bronx Museum of The Arts and throughout Council District 16.
Chin,"Greenwich House, Inc. -Independence Plaza Senior Center",,135562204,8000,Funding to support the delivery of health and wellness programs at the Independence Plaza Senior Center.
Chin,"Greenwich House, Inc. -Senior Center",Center on the Square,135562204,8000,"Funds will support the purchase of nutritious meals, as well as health and wellness classes and cultural programming at the Greenwich House Senior Center at Center on the Square."
Cumbo,"GRIOT Circle, Inc. -Buddy2Buddy & HIV Awareness",,113364328,8000,Funding to support Buddy2Buddy peer caregiver program and HIV awareness.
Menchaca,"GRIOT Circle, Inc. -Senior Center Programming",,113364328,10000,To support core programing including Buddy 2 Buddy Peer Caregiver Support program; and to provide health and wellness activities.
Louis,"Haitian Centers Council, Inc. -Council District 45",,112648501,5000,"Funds will support a fitness instructor and program director, as well as necessary resources for a free community fitness program for seniors."
Ampry-Samuel,"Haitian Centers Council, Inc. -FITBK Senior Centers",Council District 41,112648501,10000,Funds will be used to support FITBK in senior centers in Council District 41.
