member,organization,program,ein,amount,purpose
Gjonaj,AARP Fort Schuyler Chapter #1242,,237247809,10000,To provide seniors with a space to socialize and get educated about health and safety issues relevant to them.
Johnson,"Actors Fund of America, The -Seniors Advisory Committee",,131635251,5000,Funding to support the operational costs associated with the Actors Fund for Seniors Advisory Committee.
Yeger,"Agudath Israel of America Community Services, Inc.",,133975090,26500,"Funds will be used for printing of newsletters, exercise programs. Funds will support Brookdale Senior Center."
Lancman,"Agudath Israel of America Community Services, Inc.",,133975090,16000,The purpose of this funding is to help subsidize operational and programming costs.
Eugene,"Agudath Israel of America Community Services, Inc. -Brookdale Neighborhood Center",,133975090,18200,"Funding to support operating expenses associated with educational and recreational programming, social services and legal needs."
Rodriguez,"Agudath Israel of America Community Services, Inc. -Moriah Senior Center",,133975090,10000,Funding is to help subsidize operational and programming costs at Moriah Senior Center.
Miller,"Allen Community Senior Citizens Center, Inc.",,112326244,15000,"Funding will support health programming, recreational activities, and offset staffing costs."
Richards,"Allen Community Senior Citizens Center, Inc.",,112326244,10000,Funds to be used for programmatic support at JSPOA Friendship Center.
Miller,"Allen Community Senior Citizens Center, Inc. -Allen's International Towers Senior Center",,112326244,10000,Funds will support general operating and program expenses.
Miller,"Allen Community Senior Citizens Center, Inc. -Allen's Theodora Jackson Neighborhood Senior Center",,112326244,20000,Funds will support general operating and program expenses.
Adams,"Allen Community Senior Citizens Center, Inc. -Rockaway Boulevard Senior Center",,112326244,26000,The funding will support and enhance program activities at the Rockaway Blvd Senior Center including excursions and general operating expenses.
Lancman,"Allen Community Senior Citizens Center, Inc. -Shelton House Senior Center",,112326244,5000,Funding will support operational costs associated with transportation and activities for the senior center at Shelton Houses.
Gjonaj,Allerton Avenue Homeowners and Tenants Association -Senior Citizens Referral Services,,133101238,10000,Funding to support Senior Citizens Referral Services in Council District 13.
Miller,"Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,25000,"Funding will provide equipment, lighting, computer room, audio system, and camera monitoring system upgrades."
Richards,"Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,10000,Funds to be used for programmatic support for the seniors.
Chin,Alzheimers Disease and Related Disorders Association,"New York City, Inc.",133277408,5000,"To fund Medic Alert, a nationwide wanderers program working at the local community level."
Cumbo,Alzheimers Disease and Related Disorders Association,"New York City, Inc. -MedicAlert NYC Wanderer's Safety Program",133277408,5000,Funding to support Medic Alert NYC and Wanderers Safety program.
Yeger,"American-Italian Coalition of Organizations, Inc.",,112488439,7500,"Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes."
Lander,"American-Italian Coalition of Organizations, Inc. -Senior Education & Wellness Programs",,112488439,7500,Funding to support operational expenses of Education and Wellness programs for seniors.
Menchaca,"American-Italian Coalition of Organizations, Inc. -Senior Support Services",,112488439,10000,Funding to support general operating expenses of community programming and services.
Chin,"Asian Americans For Equality, Inc.",,133187792,5000,To support AAFECare Center for seniors to provide holistic care services. Page 1 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Lancman,"Asian Americans For Equality, Inc.",,133187792,5000,Funding to support senior programming including intervention and immigrant services.
Brannan,"Asian Community United Society, Inc.",,264164117,10000,Funding to support Community Health Service for Seniors.
Yeger,"Asian Community United Society, Inc.",,264164117,3500,"Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes."
Dromm,"Asian Community United Society, Inc. -Senior Outreach and Programming for Elmhurst Lunar New Year",,264164117,5000,To fund outreach and programming for seniors at Elmhurst Lunar New Year celebration.
Deutsch,"Association of Holocaust Survivors from the Former Soviet Union, Inc.",,113395358,5000,"Funding to support cultural and educational lectures, movies, food distribution and excursions for Holocaust survivors."
Treyger,"Association of Holocaust Survivors from the Former Soviet Union, Inc.",,113395358,5000,Funding to support cultural and educational lectures and excursions for Holocaust survivors and/or seniors of the community.
Constantinides,"Astoria Performing Arts Center, Inc. -Senior Stars",,651209580,8000,"Funds will be used to support the ""Senior Stars"" Theater program in Astoria."
