member,organization,program,ein,amount,purpose
Moya,"110th Precinct Community Council, Inc. -Council District 21",,432025653,6000,"Funding for equipment, seasonal community events and activities, with an emphasis on the youth, held in Council District 21. Examples include Harmony Day, Haunted House, Thanksgiving Dinner / Food Drive and Winter Toy Drive, Summer Games etc."
King,1199 SEIU Employer Child Care Corporation -Future of America Learning Center,Next Generation Academy,134063281,10000,Funds to be used to support the Future of America Learning Center/1199 Child Care Corporation.
Treyger,"2020 Vision for Schools, Inc.",,453023036,8500,Funding for a mural project in partnership with a public school in Coney Island in Council District 47.
Ayala,"2020 Vision for Schools, Inc.",,453023036,5000,"To provide funding to support programming that promotes fitness, sportsmanship, and teamwork for youth in Council District 8."
Rivera,"2020 Vision for Schools, Inc.",,453023036,5000,Funding will support Thrive Collective's programming in Council District 2.
Cabrera,"2020 Vision for Schools, Inc. -Council District 14",,453023036,10000,Funding will support 20/20's school mural program for 2 schools in Council District 14. This will also cover 20/20's mentorship program for youth in Council District 14.
Brannan,"2020 Vision for Schools, Inc. -School Murals",Council District 43,453023036,7500,Funding to support school murals and art education in Council District 43.
Cumbo,"77th Precinct Community Council, Inc. -Project Impact",,113463183,2500,Funding to support 77th Precinct Youth Council & Community Council programming.
Moya,82nd Street Academics -Public School 280Q & Other Schools,Council District 21,200788352,10000,"Funding will support the after school program at PS 280Q, as well as create new slots in the program for students from Council District 21."
Dromm,82nd Street Academics -Renaissance Charter School,,200788352,40000,To support after-school program at the Renaissance Charter School.
Adams,"A Better Jamaica, Inc. -South Jamaica Reads",Public School 80Q (28Q080),113804421,5000,Funds are to support the Jamaica Reads program at PS 80 The Thurgood Marshall Magnet School of Multimedia and Communication (28Q080).
Chin,"A Place for Kids, Inc.",,133624631,5000,Funding to support education program for at-risk children in Chinatown and LES.
Rivera,"A Place for Kids, Inc. -Public School 34M",,133624631,5000,Funding will support A Place for Kids after school program at Public School 34.
Louis,"A Sister's Hand, Inc. -Council District 45",,461816281,5000,"Funds will allow a Sister's Hand to empower youth to achieve academic success, while promoting a healthy and safe community."
Vallone,"AABR, Inc. -New York Child Learning Institute",,131968035,5000,Funding will support the New York Child Learning Institute.
Johnson,"Abundant Waters, Inc.",,133706659,10000,Funding to support services of a Learning Specialist who assesses and diagnoses a child's learning difficulties and/or differences.
Cumbo,Adelaide Sanford Institute,,270589817,5000,"Funding to support operating costs for a tiered, holistic approach to education for students of color."
Ampry-Samuel,Adelaide Sanford Institute -Parent Leadership Programming,,270589817,5000,Funding to support Parent Leadership programming.
Levin,"Advocates for Children of New York, Inc. -Education Helpline",,112247307,3500,Funding will support the expenses associated with the Education Helpline.
Menchaca,"Advocates for Children of New York, Inc. -Jill Chaifetz Education Helpline",,112247307,5000,Funding will support the expenses associated with the Education Helpline for families of District 38. Page 168 Appendix C: Youth Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Rivera,"Advocates for Children of New York, Inc. -Jill Chaifetz Education Helpline",,112247307,5000,Funding will support the expenses associated with the Education Helpline.
