resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,Organization Conduit EIN Yeshiva University,,131624225,-50000,DOHMH,,,.00) 816 120,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Montefiore Medical Center,,131740114,50000,DOHMH,,,.00 816 120,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Williams Young Israel Programs, Inc.",,030381957,-3500,DFTA,,,.00) 125 003,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Jewish Community Council of Greater Coney Island,Nonprofit Williams Helpdesk,112665181,3500,DFTA,,,.00 125 003,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,Jewish Community Council of Greater Coney Island,Nonprofit Williams Helpdesk,112665181,-3500,DFTA,,,.00) 125 003,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Jewish Community Council of Greater Coney Island,Nonprofit Williams Helpdesk,112665181,3500,DYCD,,,.00 125 003,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,Mark-Viverito New York City Housing Authority,Moore Houses Events,136400434,-1000,NYCHA,,,.00) 098 002,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Mark-Viverito New York City Housing Authority,Morris Houses Events,136400434,1000,NYCHA,,,.00 098 002,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,WNET,,262810489,-50000,DYCD,,,.00) 260 005,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,WNET,,262810489,50000,DOE,,,.00 040 454,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,Cornegy Bailey's Café,,200221451,-5000,DYCD,,,.00) 260 005,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Cornegy Bailey's Café,,200221451,5000,DCLA,,,.00 126 003,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,Rosenthal Department of Education,Public School 84M,136400434,-3500,DOE,,,.00) 040 402,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Rosenthal Department of Education,Public School 452M,136400434,3500,DOE,,,.00 040 402,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,Deutsch Brighton Beach District Management Association,,112843233,-12000,DYCD,,,.00) 260 005,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Deutsch Brighton Beach District Management Association,,112843233,12000,DSBS,,,.00 801 002,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,Dromm Health and Hospitals Corporation,,132655001,-5000,HHC,,,.00) 819 001,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Dromm Queens Community Board #4,,136400434,5000,QNCB,,,.00 434 002,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Eugene Workers Defense League, Inc.",,132658431,-6000,DSS/HRA,,,.00) 069 107,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,"Eugene Workers Defense League, Inc.",,132658431,6000,DYCD,,,.00 260 005,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Eugene Afro-Latin Jazz Alliance of New York, Inc.",,453665976,-15000,DCLA,,,.00) 126 003,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Eugene Department of Cultural Affairs,,136400434,15000,DCLA,,,.00 126 003,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Rosenthal P.S. 75 Parent-Teacher Association, Ltd.",,133497284,-10000,DOE,,,.00) 040 402,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,"Rosenthal P.S. 75 Parent-Teacher Association, Ltd.",,133497284,10000,DYCD,,,.00 260 312,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,Mark-Viverito New York City Housing Authority,Moore Houses Events,136400434,-1000,NYCHA,,,.00) 098 002,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Mark-Viverito New York City Housing Authority,Morris Houses Events,136400434,1000,NYCHA,,,.00 098 002,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Mealy Wayside Out-Reach Development, Inc. (WORD)",,113528680,-50000,DFTA,,,.00) 125 003,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Mealy CUNY School of Law Justice & Auxiliary Services Corporation,,901013912,10000,CUNY,,,.00 042 001,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Mealy PTA New York Congress PS5,,113640507,10000,DYCD,,,.00 260 312 *,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Mealy Open Door Family Life Center,,201056519,10000,DYCD,,,.00 260 005,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Mealy Animal Care and Control of New York City,,133788986,10000,DOHMH,,,.00 816 114,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,"Mealy Young Astronaut Council, Inc.",,462093140,10000,DYCD,,,.00 260 312,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Mealy Victory Music and Dance Company, Inc.",,472167056,-20000,DCLA,,,.00) 126 003,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,Mealy Highland Park Community Development Corporation,,113462888,20000,DYCD,,,.00 260 005,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Mealy Nia Theatrical Production Company, Inc.",,113427470,-10000,DCLA,,,.00) 126 003,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,"Mealy Children's Museum of the Arts, Inc.",,133520970,5000,DCLA,,,.00 126 003,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,"Mealy Behind the Book, Inc.",,320086097,5000,DCLA,,,.00 126 003,
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Mealy Nia Theatrical Production Company, Inc.",,113427470,-10000,DCLA,,,.00) 126 003,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,"Mealy New York Legal Assistance Group, Inc.",,133505428,10000,DSS/HRA,,,.00 069 107,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,rescind,,Speaker,"Boys Town New York, Inc.",,205960877,-45000,DYCD,,,.00) 260 005,**
3,2017-08-24,Local Initiatives - Fiscal 2018,2018,designate,,Speaker,"PortSide NewYork, Inc.",,200176184,45000,DCLA,,,.00 126 003,**
3,2017-08-24,Aging Discretionary - Fiscal 2018,2018,rescind,,,Organization Conduit EIN Williams Jewish Community Council of Greater Coney Island,,112665181,-3500,DFTA,,,.00) 125 003,
3,2017-08-24,Aging Discretionary - Fiscal 2018,2018,designate,,,"Williams Young Israel Programs, Inc.",,030381957,3500,DFTA,,,.00 125 003,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,rescind,,,Organization Conduit EIN Ulrich School Sisters of Notre Dame,,651217975,-10000,DYCD,,,.00) 260 312,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,designate,,,"Ulrich One Stop Richmond Hill Community Center, Inc.",,680602829,10000,DYCD,,,.00 260 312,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,rescind,,,"Crowley Shooting Stars of Queens, Inc.",,200019695,-5000,DYCD,,,.00) 260 312,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,designate,,,"Crowley Shooting Stars of Queens, Inc.",,200019695,5000,DYCD,,,".00 260 312 Maspeth Town Hall, Inc. 23-7259702",
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,rescind,,,"Crowley Salvatore LaRussa Dance Company, Inc.",,320119937,-6000,DYCD,,,.00) 260 312 *,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,designate,,,"Crowley Salvatore LaRussa Dance Company, Inc.",,320119937,6000,DYCD,,,".00 260 312 Maspeth Town Hall, Inc. 23-7259702 *",
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,rescind,,,Crowley Saint Stanislaus Athletic Association,,111981305,-9500,DYCD,,,.00) 260 312,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,designate,,,Crowley Saint Stanislaus Athletic Association,,111981305,9500,DYCD,,,".00 260 312 Maspeth Town Hall, Inc. 23-7259702",
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,rescind,,,"Mealy 2020 Vision for Schools, Inc.",,453023036,-4000,DYCD,,,.00) 260 312,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,designate,,,"Mealy Families United, Inc.",,113388067,4000,DYCD,,,.00 260 312,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,rescind,,,Mealy Brooklyn Bureau of Community Services,,111630780,-5000,DYCD,,,.00) 260 312,
3,2017-08-24,Youth Discretionary - Fiscal 2018,2018,designate,,,"Mealy Golf Elite League of Youth, Inc.",,331057846,5000,DYCD,,,.00 260 312 *,
