item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,Administration for Children’s Services,068,001; 002; 007; 008,4,"January 15, 2024; July 15, 2024",,"As a condition of the funds in unit of appropriation numbers 001, 002, 007, and 008 in the Administration for Children’s Services’ (""ACS"") budget, ACS shall submit a semi -annual report detailing 1) the average daily population of youth disaggregated by juvenile offenders, juvenile delinquents, adolescent offenders; 2) the total number of incarcerated youth admitted to the custody of ACS during the reporting period on pending criminal charges who were charged with offenses of the followi ng severity: (a) class A felonies; (b) violent felonies as defined in section 70.02 of the penal law; (c) non-violent felonies as defined in section 70.02 of the penal law; or (d) misdemeanors; 3) of the number of incarcerated youth in the custody of ACS o n the last day of each calendar month of the reporting period held in custody, the percentage charged with offenses of the following severity: (a) class A felonies; (b) class B or C felonies; (c) class D or E felonies; (d) misdemeanors; or (e) non -criminal charges; 4) average length of detention for juvenile offenders pre-sentence; 5) average length of detention for juvenile delinquents pre-disposition; 6) average length of detention for adolescent offenders pre -sentence; and 7) total number of youth serving their sentence in specialized secure detention and specialized juvenile detention. Such reports shall be submitted on January 15, 2024 and on July 15, 2024 ."
2,Capital Budget,,Budget Line HA-0001 – All Projects,1,"February 15, 2024","January 1, 202 3 to on December 31","As a condition of the funds in budget line HA-0001 for the Roof Repair Program at the New York City Housing Authority (“NYCHA”), NYCHA shall submit to the Council, no later than February 15, 2024 , a report detailing the categories of physical improvements made with the Roof Repair Program funding. Such report shall include the total budget for roof repair, disaggregated by funding source, and the number of physical improvements that have been completed or for which construction has begun, disaggregated by physical i mprovement type (i.e. simple repairs, where the roof can be replaced without work on perimeter walls; moderate repairs, where the roof will be replaced and repairs are needed to perimeter parapet walls; or complex repairs, where the roof and perimeter para pet walls both need to be replaced) and the location of each improvement completed or for which construction has begun. Such report shall also include the current construction phase and the anticipated timeline of each subsequent construction phase for eac h project (i.e. design, construction, water shut down, closeout). Such report shall cover the period beginning January 1, 202 3 and ending on December 31, 202 3."
3,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2023; January 1, 2023","January 1, 2023 to on December 31","As a condition of the fu nds in budget line HA -0001 for the Mayor’s Action Plan (“MAP”) for Neighborhood Safety at the New York City Housing Authority (“NYCHA”), NYCHA shall submit to the Council, no later than February 15, 202 4 , a report detailing the categories of physi cal improvements made with the MAP funding, the number of each type of improvement that has been completed or for which construction has begun, and the location of each improvement completed or for which construction has begun. Such report shall cover the period beginning January 1, 2023 and ending on December 31, 2023 ."
4,Capital Budget,,Budget Line DP-0001– All Projects; Budget Line DP-0002 – All Projects,2,"February 15, 2024",,"As a condition of funds in budget lines DP -0001 and DP -0002, the Department of Information Technology and Telecommunications (“DOITT”) shall submit to the Council, on a n annual basis, a report detailing spending for DOITT’s capital projects, including but not limited to, how spending is distributed across hardware, software, physical structures, land, cloud services, and other platforms. These quarterly reports shall be submitted by February 15, 2024 ."
5,City University of New York,042,001,1,"June 1, 2024",,"As a condition of the funds in unit of appropriation number 001, the City University of New York shall submit to the Council, no later than June 1, 2024 , a report on bias incidents, disaggregated by type of incident and school, for the 2023 -2024 academic year."
6,Department for the Aging,125,003,1,"September 1, 2022",,"As a condition of the fu nds in unit of appropriation number 003, the Department for the Aging (“NYC Aging ”) shall submit to the Council, no later than September 1, 2022, a report listing the name and location of each senior center and social club under its jurisdiction and whether each site has air conditioning installed, and if so, whether the air conditioning is functioning."
7,Department for the Aging,125,003,1,"December 31, 2023; February 1, 2024; January 1, 2023",,"As a condition of the funds in unit of appropriation number 003, the Department for th e Aging (“NYC Aging ”) shall submit to the Council, no later than February 1, 2024 , a report on senior center utilization, attendance, and meals served. Such report shall contain the average daily attendance, average number of meals se rved daily, and utilization rate of senior centers, disaggregated by Innovative Senior Centers, Neighborhood Senior Centers, and Senior Clubs. Such report shall cover the period between January 1, 2023 and December 31, 2023 ."
8,Department for the Aging,125,002; 003; 005,3,"December 31, 2023; January 1, 2024; January 15, 2024; July 1, 2023; July 15, 2024; June 30, 2024","July 1, 2023 to December 31","As a condition of the funds in unit of appropriation numbers 002, 003, and 005, semi-annually, the Department for the Aging (""NYC Aging "") shall submit to the Council a report containing the current number of people on the waitlists for: c ase management services, home delivered meals, and home care services. The report shall also disaggregate, by case management agency, the current ratio of caseworkers to clients, and supervisors to caseworkers. The first report shall be submitted no later than January 15, 2024 and shall cover the period beginning July 1, 2023 and ending December 31, 2023 and the second report shall be submitted no later than July 15, 2024 and shall cover the period beginning January 1, 2024 and ending June 30, 2024."
9,Department of Citywide Administrative Services,856,290,1,"July 1, 2022; June 30, 2023","July 1, 2022 to June 30","As a condition of the funds in unit of appropriation number 290, the Department of Citywide Administrative Services (“DCAS”) shall submit an annual report to the Council regarding School Safety Guard reimbursement required pursuant to Local Law 2 of 2016. Such report shall provide: 1) the headcount of school safety guards, disaggregated by school, 2) the hours and amounts reimbursed, disaggregated by school, 3) the number of scho ols that have applied for the program and the number of schools that were enrolled in the program, 4) a description of the methodology used to set the level of reimbursable hours with an explanation of any changes made to that level in the prior year. The report shall be submitted on or before November 15, 202 3 and shall cover the period beginning July 1, 2022 and ending June 30, 2023 ."
10,Department of Correction,072,002; 003,2,"December 31, 2022; July 1, 2023; July 15, 2024; June 30, 2024","July 1, 2023 to December 31","As a condition of the funds in unit of appropriation numbers 002 and 003, the Department of Correction (“DOC”) shall provide semi -annual headcount reports to the Council detailing the number of uniformed officers that perform duties that do not require uniformed expertise and are traditionally and primarily performed by civilian personnel. Such reports shall be disaggregated by rank, and shall include the salary range, average salary, and title of the civilian positions in which the uniformed officers are working. The semi-annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 202 4 and shall cover the period beginning July 1, 2023 and ending December 31, 2022. The seco nd report shall be submitted on or before July 15, 2024 and shall cover the period beginning January 1, 202 4 and ending June 30, 2024 ."
11,Department of Correction,072,001; 002; 003; 004,4,"October 15, 2023",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004, the Department of Correction (“DOC”) shall submit to the Council, no later than October 15, 2023 , a report detailing the demographics of uniformed personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank, gender, race, and ethnicity."
12,Department of Correction,072,001; 002; 003; 004,4,"December 31, 2023; June 30, 2024; March 15, 2024; September 30, 2023","July 1, 202 3, to September 30","As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004 the Department of Correction shall provide quarterly reports to the Council detailing the follo wing information relating to leave: (1) average number of officers per day who are on medical leave (including new medical leave, continued medical leave, and indefinite medical leave); (2) officers on medically monitored return; (3) aggregate data by category of cases that have been closed through Trials or OATH; and (4) average number of home checks per day. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 202 3, and ending September 30, 2023 , such report shall be submitted by December 15, 202 3; (ii) for the period beginning October 1, 202 3, and ending December 31, 2023 , the report shall be submitted by March 15, 2024 ; (iii) for the period beginning January 1, 202 4 , and ending March 31, 202 4, the report shall be submitted by June 15, 202 4 ; and (iv) for the period beginning April 1, 202 4 , and ending June 30, 2024 , the report shall be submitted by September 15, 202 4."
13,Department of Cultural Affairs,126,003,1,,,"As a condition of the funds in unit of appropriation number 003, the Department of Cultural Affairs (“DCLA”) shall submit to the Council, no later than December 15, 202 4 , a report on the total amount of grants awarded in Fiscal 202 4, the amount of each award, and the demographics of the organization that received the grant including, but not limited to, size of the organization, location of the organization ’s headquarters, location of the services provided , and type of organization (dance, visual art, performing art, etc.)."
14,Department of Education,040,436,1,,,"As a con dition of the funds in unit of appropriation number 436, the Department of Education (“DOE”) shall submit to the Council, no later than September 30, 202 3, an annual report on the New York City School Support Services (“NYCSSS”) budget for Fiscal 2024 , including a headcount breakdown disaggregated by title, full -time staff, and part -time staff. The DOE shall provide a breakdown of the budget by the following categories: regular school day, emergency work, extended use, administration, spen ding and headcount, as well as building -based custodial budgets. In addition, the DOE shall provide a breakdown of the budget by the following categories: contractually-mandated, program-related, need-based, and fringe."
15,Department of Education,040,436,1,,,"As a condition of the funds in unit of appropriation number 436, the Department of Education (“DOE”) shall submit to the Council, no later than June 1, 202 4 , a report by school building detailing the number and type of scie nce laboratories available, disaggregated by type, such as STEAM/STEM, demonstration, full, and other science laboratories."
16,Department of Education,040,401; 402; 403; 404; 415; 416; 453; 454; 481; 482,10,"January 31, 2024",,"As a condition of the funds in unit of appropriation numbers 401, 4 02, 403, 404, 415, 416, 453, 454, 481, and 482, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2024 , a list of every community school, including the school name and DBN, as well as a list of the communit y school core programs with the budgeted amount for such core programs for each school. Such report shall be disaggregated by services provided by the DOE and those provided through a contracted community-based organization."
17,Department of Education,040,436,1,"August 1, 2024; December 31, 2023; January 1, 2024; July 1, 2023; June 30, 2024; March 1, 2024","July 1, 2023 to December 31","As a condition of the funds in unit of appropriation number 436, the Department of Education (""DOE"") shall submit semi -annual reports to the Council regarding charter matching projects, including a list of all charter matching projects and the amount spent on each project, with a breakdown of expense and capital spending. For any charters where the school's expenditures and the DOE's match obligation do not match, DOE shall provide an explanation as to why it does not. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than March 1, 2024 and shall cover the period beginning July 1, 2023 and ending December 31, 2023 . The second report shall be submitted no later than August 1, 2024 and shall cover the period beginning January 1, 2024 and ending June 30, 2024 ."
