category,agencies,initiative,amount
MOCS.,ACS,Structural Deficit -- Child Care Classroom Restoration,12024000
MOCS.,ACS,Structural Deficit -- Child Care Voucher Restoration,13581000
MOCS.,ACS,Additional Child Care Classroom Restoration,10000000
MOCS.,ACS,Day Care Center PEG Restoration,6435000
MOCS.,ACS,Child Protective Staffing PEG Restoration,3600000
MOCS.,ACS,Child Welfare Staffing PEG Restoration,1000000
MOCS.,ACS,Vera Institute of Justice,250000
CIVIL LEGAL SERVICES,CJC,Citywide Civil Legal Services,1500000
CIVIL LEGAL SERVICES,CJC,Unemployment/SSI Program,1000000
CIVIL LEGAL SERVICES,CJC,Legal Services for the Working Poor,1050000
CIVIL LEGAL SERVICES,CJC,Legal Information for Families (LIFT),485000
CRIMINAL JUSTICE SERVICES,CJC,Alternatives to Incarceration (ATIs),3350000
CRIMINAL JUSTICE SERVICES,CJC,Center for Court Innovation,400000
CRIMINAL JUSTICE SERVICES,CJC,Child Advocacy Centers (Safe Horizon),500000
CRIMINAL JUSTICE SERVICES,CJC,Sexual Assault Initiative,150000
CULTURAL ORGANZIATIONS,DCA,Coalition of Theaters of Color,700000
CULTURAL ORGANZIATIONS,DCA,Cultural After-School Adventure (CASA),5100000
CULTURAL ORGANZIATIONS,DCA,PEG Restoration - Programs,9000000
CULTURAL ORGANZIATIONS,DCA,PEG Restoration –Cultural Institution Group,20548790
DOMESTIC VIOLENCE,ACS,"*CONNECT, Inc. Community Empowerment Program",270000
DOMESTIC VIOLENCE,CJC,Domestic Violence and Empowerment (DoVE) Initiative,2500000
DOMESTIC VIOLENCE,CJC,Legal Services for Domestic Violence Victims,350000
DOMESTIC VIOLENCE,CJC,Sanctuary for Families - Immigrant Battered Women's Initiative,475000
EDUCATION,DOE,Bridge to Tomorrow,1250000
EDUCATION,DOE,C.H.A.M.P.S.,125000
EDUCATION,DOE,Council of School Supervisors and Administrators,300000
EDUCATION,CUNY,Creative Arts Team,200000
EDUCATION,DOE,Custodial Operations,3000000
EDUCATION,DOE,Dropout Prevention & Intervention,1000000
EDUCATION,DOE,Full Day Universal Pre-Kindergarten,2250000
EDUCATION,DYCD,Jill Chaifitz Helpline,200000
EDUCATION,DOE,MOUSE,275000
EDUCATION,DOE,Respect for All,150000
EDUCATION,DOE,Urban Advantage-Science Education,2000000
ELECTED OFFICIALS,DAs,District Attorneys,308400
ELECTED OFFICIALS,PAs,Public Administrators,383606
FIRE SERVICES,FDNY,Fire Company Restoration,40903754
HIGHER EDUCATION,CUNY,Black Male Initiative,2250000
HIGHER EDUCATION,CUNY,Center for Puerto Rican Studies,250000
HIGHER EDUCATION,CUNY,CUNY Nursing Program,500000
HIGHER EDUCATION,CUNY,Dominican Studies Institute,250000
HIGHER EDUCATION,CUNY,Murphy Institute Center for Worker Education,100000
