category,agencies,initiative,amount
Senior Services,SBS,Made in NYC,850000
Senior Services,SBS,MWBE Leadership Associations,600000
Senior Services,SBS,Neighborhood Development Grant Initiative,2040000
Senior Services,SBS/CUNY,Worker Cooperative Business Development Initiative,3609000
Small Business Services and Workforce Development,,Multiple Speaker’s Initiative to Address Citywide Needs,12816500
Speaker’s Initiative to Address Citywide Needs,HRA,Homeless Prevention Services for Veterans,300000
Speaker’s Initiative to Address Citywide Needs,SBS,Job Placement for Veterans,200000
Speaker’s Initiative to Address Citywide Needs,HRA,Legal Services for Veterans,600000
Speaker’s Initiative to Address Citywide Needs,DHMH,Mental Health Services for Veterans,500000
Speaker’s Initiative to Address Citywide Needs,DYCD/DCLA/CUNY/DHMH,Veterans Community Development,1270000
Veteran Services,DHMH,Dedicated Contraceptive Fund,781000
Veteran Services,MOCJ,Initiative for Immigrant Survivors of Domestic Violence,530000
Veteran Services,HRA,HRA Teen RAPP Enhancement,250000
Veteran Services,MOCJ,Prevent Sexual Assault (PSA) Initiative for Young Adults,350000
Veteran Services,MOCJ,Step In and Stop It Initiative to Address Bystander Intervention,174000
Veteran Services,DOE,Work-Based Learning Internships,600000
Veteran Services,ACS,Wrap-Around Support for Transitional-Aged Foster Youth,1230000
Veteran Services,DYCD,Young Women's Leadership Development,1605500
Young Women’s Initiative,"DYCD, DCLA",Afterschool Enrichment Initiative,6779231
Young Women’s Initiative,DYCD,Big Brothers Big Sisters of New York City,1200000
Young Women’s Initiative,DYCD,Civic Education in New York City Schools,550000
Young Women’s Initiative,DYCD,COMPASS,2051600
Young Women’s Initiative,DYCD,Sports Training and Rolemodels for Success Initiative,1450000
Young Women’s Initiative,DYCD,YouthBuild Project Initiative,2100000
