member,organization,program,ein,amount,purpose
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,Penn Wortman Senior Center,113199040,15500,Funds will be used to support programming and services at the Penn Wortman Senior
Center,in the 42nd Council District. Louis Bergen Basin Community Development Corporation d/b/a Millennium Development,Philip Howard Houses,113199040,21000,
Program,will support a NORC program at the Philip Howard Houses. It will allow the seniors of the building to come down and have a place to socialize and attend health/wellness classes. Appendix A: Aging Discretionary Page 3 Council Member Legal Name of Organization,Program Name Tax ID Amount Purpose of Funds Barron Bergen Basin Community Development Corporation d/b/a Millennium Development - Spring Creek Senior Partners Senior Center,113199040,7000,Funding for programming at the Spring Creek Senior Partners Senior Center.
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,Vandalia Senior Center,113199040,12000,Funds will be used to support programming and services at the Vandalia Senior Center in the 42nd Council District.
Louis,BHRAGS Home Care Corp,Council District 45,112579798,5000,"Funds will be used to offer year-round seniors services, health initiatives, physical day programming and adult programming for our seniors in Council District 45."
Restler,"BJHI, Inc.",Exploring Brooklyn Jewish Heritage,462245413,5000,To support the gathering and preservation of Jewish oral and video histories focused on neighborhoods in Council District 33.
Ariola,Blessed Trinity Roman Catholic Church,Blessed Trinity Golden Age,262885471,5000,"Funds will support the Golden Age Club including senior peer counseling, community updates and information on senior services."
Abreu,"Blue Card, Inc., The",Holocaust Education & Combating Hate Program - Council District 7,131623910,10000,Funding to support The Blue Card Holocaust Education Program in Council District 7.
Hanif,Boro Park Jewish Community Council,,113475993,15000,Support services for seniors and holocaust survivors in District 39 and the surrounding areas.
Brooks-Powers,"Braata Productions, Inc.",Singing for Seniors - Council District 31,273402327,10000,Funding to support Braata singing programming in senior centers in Council District 31.
Velazquez,"Bronx House, Inc.",,131739935,13000,To support the Bronx House NORC and its senior participants in Council District 13.
Velazquez,"Bronx Jewish Community Council, Inc.",Senior Services - Council District 13,132744533,8000,Funding will provide for case management and supportive services for seniors.
Ayala,"BronxWorks, Inc.",Community Food Tour - Moore Senior Center,133254484,10000,"To support Community Food Tour series and educates Mott Haven residents about farmers markets, grocery stores, and other food resources."
Feliz,"BronxWorks, Inc.",East Concourse Senior Center,133254484,10000,Funds will support the operations and programming at BronxWorks East Concourse Senior Center.
Sanchez,"BronxWorks, Inc.",East Tremont Avenue Walk-in Services - Morris Heights Senior Center,133254484,17500,To support a Housing Navigator and walk in services at the Tremont location.
Sanchez,"BronxWorks, Inc.",Morris Innovative Senior Center,133254484,17500,To support programing and general operations at the Morris Innovation Senior Center.
Stevens,"BronxWorks, Inc.",NORC - River Park Towers - Council District 16,133254484,10000,Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at River Park Towers.
