member,organization,program,ein,amount,purpose
Sanchez,1199 SEIU Employer Child Care Corporation,FALC STEAM Science Fair & Curriculum,134063281,5000,Funds will be used to support Future of America Learning Center's science fair event including supplies and curriculum for students leading up to the event.
Riley,1199 SEIU Employer Child Care Corporation,Future of America Learning Center (FALC),134063281,10000,Funds to be used for the Future of America Learning Center (FALC).
Rivera,"2020 Vision for Schools, Inc.",Thrive Collective,453023036,5000,Funds will support Thrive Collective's programs and operations in Council District 2.
Restler,5 Boros Basketball,Council District 33,272623043,5000,To support 5 Boros Basketball's youth programming in Council District 33.
Louis,"67th Precinct Clergy Council, Inc.",Council District 45,274581070,7500,Funds will support Flatbush Leadership Academy who will provide life changing opportunities for at risk youth to grow as individuals and acquire skills that will allow them to reach their highest potential in Council District 45.
Mealy,"67th Precinct Clergy Council, Inc.",Public Safety Coalition,274581070,10000,"Funds will support services to at risk teens, training, development, and guidance."
Narcisse,69th Precinct Clergy Council,Unity in the Community,463745556,10000,"Funding to provide youth with mentoring, field trips, seminars, and career readiness."
Moya,82nd Street Academics,After School & Homework Help - Council District 21,200788352,10000,To sponsor residents of Council District 21 to attend after school program at Public School 280Q as well as receive homework support.
Krishnan,82nd Street Academics,The Renaissance Charter School,200788352,40000,To support after-school program at the Renaissance Charter School.
Brooks-Powers,"A Better Jamaica, Inc.",Council District 31,113804421,5000,Funding will support family-friendly movies in Council District 31 parks.
Rivera,"A Place for Kids, Inc.",,133624631,5000,Funds will support A Place for Kids afterschool programming.
Marte,"A Place for Kids, Inc.",Council District 1,133624631,7500,Funding to support education programs for at risk students in schools within Council District 1.
Bottcher,"Abundant Waters, Inc.",,133706659,10000,Funding to support services of a Learning Specialist who assesses and diagnoses a child's learning difficulties and/or differences.
Brewer,"Adaptive Design Association, Inc.",,134170232,5000,Funds will be used to provide Hands-on carpentry finishing training for youth.
Abreu,"Advocates for Children of New York, Inc.",Education Helpline - Council District 7,112247307,5000,Funding to support the Jill Chaifetz Education Helpline.
Ayala,"Advocates for Children of New York, Inc.",Jiff Chaifetz Education Helpline,112247307,5000,To provide funding to Jill Chaifetz Education helpline to assist parents and guardians with school-related issues.
Brewer,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,2000,Funding will support the Parent Education Helpline.
Brewer,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,3000,Funding will support the Parent Education Helpline.
Rivera,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,"Funds will support the operations of the Jill Chaifetz Education Helpline. Avilés Advocates for Children of New York, Inc. - Jill Chaifetz Education Helpline - Council District 38"
,"Funds will support the operations of the Jill Chaifetz Education Helpline. Avilés Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline - Council District 38,112247307,5000,Funds will support the Jill Chaifetz Education Helpline to assist parents in all five boroughs who are trying to help their children with schoolwork. Page 154 Appendix C: Youth Discretionary
Stevens,"AIMHigh Empowerment Institute, Inc.",AIMHIGH School Programs - Council District 16,813143733,15000,Funds will be used to support AIMHIGH outreach and programming in Council District 16.
