item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,Administration for Children’s Services,068,006,1,"April 1, 2016; December 31, 2015; January 1, 2016; January 15, 2016; July 1, 2015; July 15, 2016; June 30, 2016; March 15, 2016; March 31, 2016; October 1, 2015; October 15, 2016; September 30, 2015","July 1, 2015 to September 30","As a condition of the funds in units of appropriati on 006, the Commissioner of the Administration for Children’s Services shall submit to the Council quarterly reports detailing the number of youth aging out of foster care. Such reports shall also include, if known, the number of youth aging out of foster care who also enter publically funded shelters in the Department of Homeless Services. The quarterly reports shall be submitted as follows: the first report shall be submitted on or before January 15, 2016 and shall cover the period beginning July 1, 2015 and ending September 30, 2015. The second report shall be submitted on or before March 15, 2016 and shall cover the period beginning October 1, 2015 and ending December 31, 2015. The third report shall be submitted on or before July 15, 2016 and shall c over the period beginning January 1, 2016 and ending March 31, 2016. The fourth report s hall be submitted on or before October 15, 2016 and shall cover the period beginning April 1, 2016 and ending June 30, 2016."
2,Administration for Children’s Services,068,006; 008,2,"October 1, 2015",,"In relation to the funding in units of appropriation 006 and 008 for transitional residential facilities, or any other housing facility that provides temporary or emergency housing pursuant to a contract with a community -based or other non -City organization, the Administration for Children’s Services shall provide a report to the City Council no later than October 1, 2015, listing the name and location of each transitional residential facility or other similar facility , except that if the disclosure of the location of the facility is pr ohibited by federal, state or local law, then the location of such facility shall not be disclosed . Such list shall be disaggregated by Council District. In addition, the Commissioner shall provide reasonable notice of the location of each such facility to the Council Member in whose district such facility will be operated before the facility begins to provide the services as outlined in the contract."
3,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2015",,"In relation to the funding in budget line HA -0001 for the Mayor’s Action Plan (“MAP”) for Neighborhood Safety at the New York City Housing Authority (“NYCHA”), NYCHA shall provide to the City Council no later than December 31, 2015 a report detailing the categories of physical improvements made with the MAP funding, the number of each type of improvement that has been completed or for which construction has begun, and the location of each improvement completed or for which construction has begun."
4,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2015",,"No later than December 31, 2015, in relation to the funding in budget line HA -0001 for the Roof Repair Program at the New York City Housing Authority (“NYCHA”), NYCHA shall provide a report to the City Council detailing the categories of physical improvements made w ith the Roof Repair Program funding. Such report shall include the number of physical improvements that have been completed or for which construction has begun, disaggregated by physical improvement type (i.e. simple repairs, where the roof can be replaced without work on perimeter walls; moderate repairs, where the roof will be replaced and repairs are needed to perimeter parapet walls; or complex repairs, where the roof and perimeter parapet walls both need to be replaced) and the location of each improve ment completed or for which construction has begun. Such report shall also include the current construction phase and the anticipated timeline of each subsequent construction phase for each project (i.e. design, construction, water shut down, closeout)."
5,Capital Budget,,All Project Lines – All Projects,1,,,"Where the Commissioner of the appropriate agency determines to change the project location for projects in the capital budget funded by Council Member discretionary funding, such Commissioner shall notify the affected Council Member prior to imp lementing such determination."
6,Capital Budget,,All Project Lines – All Projects,1,,,"The appropriations for all projects in the capital budget shall be administered under, and in accordance with, the appropriate provisio ns of the New York City Charter and the Administrative Code. Each agency shall be required to ensure with regard to each project under its jurisdiction that the City’s Financial Management System is adequately updated with project milestones and explanations for any delays in the schedules of each project."
7,Miscellaneous Budget,098,002,1,"October 31, 2016",,"In relation to the funding in unit of appropriation 002 within the Miscellaneous Budget for capital scoping, the Office of Management and Budget shall provide to the Council, no later than October 31, 2016, a report detailing: 1 ) what projects, as identified by capital project ID, underwent design and scoping; 2) the amount of funds expended for each pr oject; 3) how much of the expenditure was reimbursed through an interfund agreement (IFA); 4) projects that were not included in the capital budget after completion of the design and scope work; and 5) the budget request and winning bid amount of capital p rojects included in the adopted capital budget."
8,Department of Correction,072,002; 003,2,"April 1, 2016; July 1, 2015; June 30, 2016; October 15, 2015; September 30, 2015","July 1, 2015 to September 30","As a condition to the expenditure of funds appropriated to the unit of appropriation numbers 002 and 003, the Department shall provide quarterly headcount reports to the Council detailing the number of uniform officers that perform duties that do not require uniformed expertise or other duties traditionally and primarily performed by civilian employees. S uch report shall be disaggregated by rank, and shall include the salary range , the average salary, and title of the civilian positions in which the uniformed officers are working. The quarterly updates shall be submitted as follows: the first report sha ll be submitted on or before October 15, 2015 and shall cover the period beginning July 1, 2015 and ending September 30, 2015. The second update shall be submitted on or before January 15, 201 6 and shall cover the period beginning October 1, 201 5 and ending December 31, 201 5. The third update shall be submitted on or before April 15, 201 6 and shall cover the period beginning January 1, 201 6 and ending March 31, 201 6. The fourth update shall be submitted on or before July 15, 201 6 and shall cover the period beginning April 1, 2016 and ending June 30, 2016."
9,Department of Correction,072,001; 003,2,"April 1, 2016; July 1, 2015; June 30, 2016; October 15, 2015; September 30, 2015","July 1, 2015 to September 30","As a condition to the expenditure of funds appropriated to the unit of appropriation numbers 001, 002, 003, and 004, the Department shall provide quarterly reports to the Council detailing the actual numbers of occurrences of jail violence in total and by listing adults, young adults, and adolescent inmates separately. Such reports shall include the number of: 1) violent inmate -on- inmate incidents; 2) serious injury to inmate(s) as a result of violent inmate -on-inmate incidents; 3) inmate assault on staff; 4) serious injury to staff as a result of inmate assault on staff; 5) Department use of force incidents with serious injury; 6) Department use of force incidents with minor injury; and 7) Department use of force incidents with no injury. The quarterly updates shall be submitted as follows: the first report shall be submitted on or before October 15, 2015 and shall cover the period beginning July 1, 2015 and ending September 30, 2015. The second update shall be submitted on or before January 15, 201 6 and shall cover the period beginning October 1, 201 5 and ending December 31, 201 5. The third update shall be submitted on or before April 15, 201 6 and shall cover the period beginning January 1, 201 6 and ending March 31, 201 6. The fourth update shall be submi tted on or before July 15, 201 6 and shall cover the period beginning April 1, 2016 and ending June 30, 2016."
10,Department of Correction,072,001; 003,2,"April 1, 2016; July 1, 2015; July 15, 2016; June 30, 2016; March 31, 2016; October 15, 2015; September 30, 2015","July 1, 2015 to September 30","As a condition to the expenditure of funds appropriated to the unit of appropriation numbers 001, 002, 003, and 004, the Department shall provide quarterly reports to the Council detailing: 1) the number of inmates who have requested a copy of their certified birth certificate within two weeks prior to release from custody; 2) the number of certified birth certificates t hat were provided pursuant to such request; and 3) the number of requests made to the Department of Health and Mental Hygiene in accordance with such request. Such information shall include:1) the number of inmates who were denied a certified copy of their birth certificate; 2) the reason for such denial; and 3) the number of inmates who received a copy of their certified birth certificate prior to release. The data provided shall be applicable to any person born in New York City and sentenced to ninety days or more in a New York City correctional facility who will serve, after sentencing, thirty days or more in a New York City correctional facility. The quarterly reports shall be submitted as follows: the first report shall be submitted on or before October 15, 2015 and shall cover the period beginning July 1, 2015 and ending September 30, 2015. The second report shall be submitted on or before January 15, 201 6 and shall cover the period beginning October 1, 201 5 and ending December 31, 201 5. The third r eport shall be submitted on or before April 15, 201 6 and shall cover the period beginning January 1, 201 6 and ending March 31, 2016. The fourth report shall be submitted on or before July 15, 2016 and shall cover the period beginning April 1, 2016 and ending June 30, 2016."
11,Department of Education,040,406,1,"December 1, 2015; June 1, 2016",,"As a condition to the expenditure of funds appropriated to unit of appropriation 406, the Department shall provide a semi -annual list to the City Council detailing the total number of charter schools, listed by name and address, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semi-annual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Education students, disaggregated by grade; 3) the t otal number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students, disaggregated by grade; 5) the total number of students provided free or reduced price school lunches, disaggrega ted by grade; and 6) the total sum of year -end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education students further disaggregated by tuition payment category. Such list shall be provided to the Council on December 1, 2015 and June 1, 2016."
