resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,,"Committee for Hispanic Children and Families, Inc., The",Public School 59X Torres,112622003,-15000,DYCD,260,005,,***
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,,"Torres Bronx Parent Housing Network, Inc.",Community Outreach Program,134100758,15000,DYCD,260,005,,***
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,,"Coalition for Queens dba as Pursuit Transformation Company, Inc.",Pursuit Vallone Core,611652332,-5000,DYCD,260,005,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,,"Vallone Pursuit Transformation Company, Inc.",Pursuit Core,611652332,5000,DYCD,260,005,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,,"Coalition for Queens dba as Pursuit Transformation Company, Inc.",Koslowitz Technology Education,611652332,-5000,SBS,801,002,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,,"Koslowitz Pursuit Transformation Company, Inc.",Technology Education,611652332,5000,SBS,801,002,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Adams,"Coalition for Queens dba as Pursuit Transformation Company, Inc.",,611652332,-3000,DYCD,260,005,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,Adams,"Pursuit Transformation Company, Inc.",,611652332,3000,DYCD,260,005,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Adams,"Borelli Freshkills Park Alliance, Inc.",,271718664,-2500,DYCD,260,312,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,Adams,"Borelli Fund for the City of New York, Inc.","Freshkills Park Alliance, Inc.",132612524,2500,DYCD,260,312,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,"Friends of Jane's Carousel, Inc.",,272884199,-5000,DYCD,260,005,,**
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,City University of New York Community Colleges,Aging Mastery Program,461371336,5000,DFTA,125,003,,**
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,"Lander New York Peace Institute, Inc.",,451964622,-5000,DYCD,260,005,,**
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,"Lander New York Peace Institute, Inc.",,451964622,5000,MOCJ,098,002,,**
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,Lander Brooklyn Public Library,Storytelling Garden @ Park Slope Branch,136400434,-6000,BPL,038,001,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,Lander Brooklyn Public Library,Storytelling Garden @ Park Slope Branch,111904261,6000,BPL,038,001,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,Lander Brooklyn Public Library,Pacific Street Library,136400434,-5000,BPL,038,001,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,Lander Brooklyn Public Library,Pacific Street Library,111904261,5000,BPL,038,001,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,Levin Brooklyn Public Library,Williamsburg Library,136400434,-5000,BPL,038,001,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,Levin Brooklyn Public Library,Williamsburg Library,111904261,5000,BPL,038,001,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,Ampry-Samuel Universal Child,,270093159,-5000,DYCD,260,312,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,"Ampry-Samuel Universal Child Project Incorporated, The",,270093159,5000,DYCD,260,312,,
4,2019-11-14,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,Gjonaj Department of Youth and Community Development,,136400434,-5000,DYCD,260,005,,***
