resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,rescind,,,"Fiscal Member Organization EINNumber Agency Amount Agy# U/A FiscalConduit/SponsoringOrganization ConduitEIN * MetropolitanNewYorkCoordinatingCouncilonJewishPoverty, Ferreras Inc.** MetropolitanNewYorkCoordinatingCouncilonJewishPoverty,",,132738818,-7500,DYCD,,,.00) 260 005,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,rescind,,,"Ferreras Inc.** MetropolitanNewYorkCoordinatingCouncilonJewishPoverty,",,132738818,-7500,DYCD,,,.00) 260 005,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,designate,,,Ferreras Inc.** 13-2738818 Ferreras DepartmentofSanitation,,136400434,14085,DSNY,,,.00 827 109,**
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,designate,,,"Ferreras NeighborhoodHousingServicesofNorthernQueens** MetropolitanNewYorkCoordinatingCouncilonJewishPoverty,",,133098397,2500,HPD,,,.00 806 009 *,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,rescind,,,Ferreras Inc.,,132738818,-5915,DYCD,,,.00) 260 005,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,designate,,,Ferreras EcuadorianCivicCommitteeOfNewYorkInc.,,113553172,2415,DYCD,,,.00 260 005 *,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,designate,,,"Ferreras LeagueforBetterCommunityLife,Inc.",,116106597,3500,DYCD,,,.00 260 005 *,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,rescind,,,"Ferreras FirstBaptistChurchofCoronaNY,Inc.",,311767167,-5000,DYCD,,,.00) 260 005 *,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,designate,,,"Ferreras FirstBaptistChurchofCoronaNY,Inc.",,112009943,5000,DYCD,,,.00 260 005 *,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,rescind,,,"Vann NeighborhoodHousingServicesofEastFlatbush,Inc.",,133098397,-15000,HPD,,,.00) 806 009 *,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,designate,,,Vann NeighborhoodHousingServicesofBedford-StuyvesantInc.,,133098397,15000,HPD,,,.00 806 009 *,
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,rescind,,,CC ComunilifeInc,,133530299,-50000,DYCD,,,.00) 260 005 *,**
1,2012-07-25,LocalInitiatives-Fiscal2013,2013,designate,,,"CC Comunilife,Inc.",,133530299,50000,DOHMH,,,.00 816 121 *,**
