resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Fiscal Member Organization EINNumber Agency Amount Agy# U/A FiscalConduit/SponsoringOrganization ConduitEIN * StLukes-RooseveltHospitalCenterCenterforComprehensive Brewer Care,,132997301,-3000,OCJC,,,.00) 098 002,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Brewer CrimeVictimsTreatmentCenter,,132997301,3000,OCJC,,,.00 098 002,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Reyna GroverClevelandHighSchool,,116039058,-10000,DOE,,,.00) 040 402 *,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,"Reyna GreaterRidgewoodHistoricalSociety,Inc.",,112409274,10000,DCLA,,,.00 126 003 *,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,"Palma EpiscopalSocialServicesofNewYork,Inc.",,133709095,-10000,DYCD,,,.00) 260 312,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Palma ReadingReformFoundationofNewYork** JewishAssociationforServicesfortheAged(JASA)-Mechler,,133081223,-4000,DYCD,,,.00) 260 312,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Palma HallSeniorCenter,,132620896,14000,DFTA,,,.00 125 003,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Fidler CongregationMerkazShiureiTorah,,412071394,-6000,DYCD,,,.00) 260 005 *,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Fidler CongregationMerkazShiureiTorahD/B/AMayanYisroel,,412071394,6000,DYCD,,,.00 260 005 *,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,"Oddo CommunityAssociationForJewishAt-RiskCemeteriesInc. MetropolitanNewYorkCoordinatingCouncilonJewishPoverty,",,562649778,-3500,DYCD,,,.00) 260 005 *,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Oddo Inc.,,132738818,3500,DYCD,,,.00 260 005,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Palma DepartmentofTransportation,,136400434,-3000,DOT,,,.00) 841 007,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Palma DepartmentofTransportation,,136400434,3000,DOT,,,.00 841 114,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,CC DominicanWomen’sDevelopmentCenter,,133593885,50000,DYCD,,,.00 260 005 *,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Recchia UniversalTempleoftheArts,,133335286,-25000,DYCD,,,.00) 260 312,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Recchia UniversalTempleoftheArts,,133335286,25000,DCLA,,,.00 126 003,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Ulrich FederationofHinduMandirsUSAInc.,,113276618,-5000,DYCD,,,.00) 260 005,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,"Ulrich ForestParkTrust,Inc.",,311558645,5000,DPR,,,.00 846 006,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,"CC BrooklynArtsCouncil,Inc.",,237072915,-45000,DYCD,,,.00) 260 005,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,"CC BrooklynArtsCouncil,Inc.",,237072915,45000,DCLA,,,.00 126 003,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Lander OldStoneHouseofBrooklyn,,113032836,-6000,DPR,,,.00) 846 006,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Lander OldStoneHouseofBrooklyn,,113032836,6000,DYCD,,,.00 260 005,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Eugene AesclepiusMedicalSociety,,113204211,-6000,DOHMH,,,.00) 816 113 *,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Eugene NewYorkLegalAssistanceGroup,,133505428,3000,DYCD,,,.00 260 005,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Eugene ErasmusNeighborhoodFederation,,112490986,3000,HPD,,,.00 806 009,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,"Rodriguez NorthernManhattanCoalitionforEconomicDevelopment,Inc.",,133951595,-4000,DYCD,,,.00) 260 005 *,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,"Rodriguez HispanicFederation,Inc.",,133573852,4000,DYCD,,,.00 260 005,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,CC NewYorkCityAllianceAgainstSexualAssault,,311702032,-40000,DYCD,,,.00) 260 005,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,CC NewYorkCityAllianceAgainstSexualAssault,,311702032,40000,OCJC,,,.00 098 002,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Oddo StatenIslandSaintsFastpitchSoftballClubInc.,,272525251,-1000,DYCD,,,.00) 260 312,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,Oddo EnrichmentThroughtheArts,,113051230,-3500,DYCD,,,.00) 260 312,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,Oddo St.MargaretMary,,132693090,4500,DYCD,,,.00 260 005 *,
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,rescind,,,"Member Organization EINNumber Agency Amount Agy# U/A FiscalConduit/SponsoringOrganization ConduitEIN * Mendez Trinity'sServicesandFoodfortheHomeless,Inc.",,133401340,-12000,DYCD,,,.00) 260 005,**
6,2012-12-10,LocalInitiatives-Fiscal2013,2013,designate,,,"Mendez Trinity'sServicesandFoodfortheHomeless,Inc.",,133401340,12000,HRA,,,.00 069 105,**
