resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,"Fiscal Member Organization EINNumber Agency Amount Agy# U/A FiscalConduit/SponsoringOrganization ConduitEIN * Koslowitz DoeFund,Inc.,The",,133412540,-54500,DYCD,,,.00) 260 005,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,"Koslowitz DoeFund,Inc.,The",,133412540,54500,DHS,,,.00 071 200,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,Rose WagnerCollege,,135604699,-5000,CUNY,,,.00) 042 001,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,Rose WagnerCollege,,135604699,5000,DYCD,,,.00 260 005,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,Rose WagnerCollege,,135604699,-5000,CUNY,,,.00) 042 001,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,Rose WagnerCollege,,135604699,5000,DYCD,,,.00 260 005,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,Halloran UnwantedNYCPetsInc.,,452431724,-3500,DOHMH,,,.00) 816 114,
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,Halloran UnwantedNYCPetsInc.,,452421724,3500,DOHMH,,,.00 816 114,
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,Lander SouthBrooklynLegalServices,,132605605,-5000,DYCD,,,.00) 260 005,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,Lander SouthBrooklynLegalServices,,132605605,5000,OCJC,,,.00 098 002,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,"Lander FourthArtsBlock,Inc.",,043767933,-3000,DCLA,,,.00) 126 003,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,"Lander FourthArtsBlock,Inc.",,043767933,3000,DPR,,,.00 846 006,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,Lander LeapInc.,,113111694,-3500,DYCD,,,.00) 260 005,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,Lander LeapInc.,,113111694,3500,DSBS,,,.00 801 002,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,Lander OldStoneHouseofBrooklyn,,113032836,-6000,DYCD,,,.00) 260 005,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,"Lander OldStoneHouseofBrooklyn** MetropolitanNewYorkCoordinatingCouncilonJewishPoverty,",,113032836,6000,DPR,,,.00 846 006,
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,"Lander Inc.** MetropolitanNewYorkCoordinatingCouncilonJewishPoverty,",,132738818,-2000,DYCD,,,.00) 260 005,
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,Lander Inc.,,132738818,2000,DFTA,,,.00 125 003,**
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,rescind,,,"Crowley GlendaleCivilianObservationPatrol,Inc.,The",,112502910,-5000,DYCD,,,.00) 260 005,
4,2012-10-11,LocalInitiatives-Fiscal2013,2013,designate,,,"Crowley GlendaleCivilianObservationPatrol,Inc.,The",,112502910,5000,DYCD,,,".00 260 005 GreaterRidgewoodYouthCouncil,Inc. 11-2518141",
