fy,tier,absorbing_file,absorbing_line,absorbing_ein,absorbing_amount,absorbing_category,absorbing_initiative,absorbing_award_type,extracted_name,ein,amount,verdict,scope,n_candidates,already_in_corpus,d_organization,d_member,d_program,d_agency,d_purpose,d_source,d_status,d_fy,first_candidate_name
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,293850,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,Center for Community Alternatives' Crossroads Program,161395992,408978,unique,same_fy,1,0,Center for Community Alternatives,,,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",Alternatives to Incarceration (ATI's),Cleared,FY16,Center for Community Alternatives
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,293850,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,Center for Employment Opportunities (CEO),133843322,440957,unique,same_fy,1,0,Center for Employment Opportunities,,,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",Alternatives to Incarceration (ATI's),Cleared,FY16,Center for Employment Opportunities
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,293850,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,Educational Assistance Corporation (EAC),237175609,1021340,unique,same_fy,1,0,"Education and Assistance Corporation (EAC), Inc.",,,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",Alternatives to Incarceration (ATI's),Cleared,FY16,"Education and Assistance Corporation (EAC), Inc."
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,25,132813809,150000,CRIMINAL JUSTICE SERVICES,Initiative to Address Sexual Assault,initiative_provider,Icahn School of Medicine at Mount Sinai,136171197,150000,unique,same_fy,1,0,Icahn School of Medicine at Mount Sinai,,,MOCJ,"This allocation represents a restoration of $300,000 mil and an enhancement of $300,000. Funding will support four community-based organizations that provide sexual assault related services and programs.",Initiative to Address Sexual Assault,Cleared,FY16,Icahn School of Medicine at Mount Sinai
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,29,132946970,125000,DOMESTIC VIOLENCE SERVICES,Legal Services for Domestic Violence Victims,initiative_provider,Her Justice,133688519,100000,unique,same_fy,1,0,"Her Justice, Inc.",,,DSS/HRA,Funding will support services provided by four community-based organizations for sexual assault related services and programs.,Legal Services for Domestic Violence Victims,Cleared,FY16,"Her Justice, Inc."
FY16,D,data/fy16/schedule_c/fy16_schedule_c_awards.csv,43,133035711,175500,HEALTH SERVICES,Cancer Prevention,initiative_provider,"American Cancer Society, Inc., The",131788491,1000000,absent,none,0,0,,,,,,,,,
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,45,134046652,40000,HEALTH SERVICES,Cancer Prevention,initiative_provider,"Charles B. Wang Community Health Center, Inc.",132739694,40500,unique,same_fy,1,0,"Charles B. Wang Community Health Center, Inc.",,,DOHMH,"This allocation supports various screening, education and supportive services for breast, colon, and ovarian cancer.",Cancer Initiative,Cleared,FY16,"Charles B. Wang Community Health Center, Inc."
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,52,510567466,11360,HEALTH SERVICES,"Healthy Women, Healthy Future",initiative_provider,Choices in Childbirth,202015286,20480,unique,same_fy,1,0,Choices in Childbirth,,,DOHMH,"This allocation to supports an array of doula services to expectant mothers and women of childbearing age. This funding supports the following: (1) birth doula care; (2) postpartum doula care; (3) program oversight including doula care coordination, training coordination, technical assistance and capacity building for all five Boroughs; (4)program evaluation; focus groups and surveys of doulas and program participants; and (5) doula training whereby doulas will be trained as birth and/or post-partum doulas.","Healthy Women, Healthy Future",Cleared,FY16,Choices in Childbirth
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,57,132949483,250000,HEALTH SERVICES,Obesity Prevention,initiative_provider,"Heath Corps, Inc.",261269358,750000,unique,same_fy,1,0,"Healthcorps, Inc.",,,DOHMH,This allocation supports a number of obesity prevention programs that provide nutrition and wellness education and promote physical fitness to curb and prevent obesity in young New Yorkers.,Obesity Prevention Initiative,Cleared,FY16,"Healthcorps, Inc."
FY16,D,data/fy16/schedule_c/fy16_schedule_c_awards.csv,74,132564241,29730,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,"Clinton Housing Development Company, Inc.",132851988,29730,absent,none,0,0,,,,,,,,,
FY16,D,data/fy16/schedule_c/fy16_schedule_c_awards.csv,75,133311582,29730,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,"El Barrio Operation Fight Back, Inc.",133248777,29730,absent,none,0,0,,,,,,,,,
FY16,D,data/fy16/schedule_c/fy16_schedule_c_awards.csv,77,112382250,29730,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,Gowanus Canal Community Development Corporation,112498292,29730,absent,none,0,0,,,,,,,,,
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,78,510141489,29730,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,"Harlem Congregations for Community Improvement, Inc.",133516262,29730,unique,same_fy,1,0,"Harlem Congregations for Community Improvement, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Consultants Contracts,Cleared,FY16,"Harlem Congregations for Community Improvement, Inc."
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,80,131628180,29730,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,Hudson Guild,135562989,29730,unique,same_fy,1,0,Hudson Guild,,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Consultants Contracts,Cleared,FY16,Hudson Guild
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,90,112375583,29730,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,"Peoples Firehouse, Inc.",112470566,29730,unique,same_fy,1,0,"Peoples Firehouse, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Consultants Contracts,Cleared,FY16,"Peoples Firehouse, Inc."
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,94,132735378,29731,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,"Strycker's Bay Neighborhood Council, Inc.",131943516,29730,unique,same_fy,1,0,"Strycker's Bay Neighborhood Council, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Consultants Contracts,Cleared,FY16,"Strycker's Bay Neighborhood Council, Inc."
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,176,133593806,50000,SENIOR SERVICES,Elder Abuse Enhancement,initiative_provider,Turning Point for Women and Families,542177390,50000,unique,same_fy,1,0,Turning Point for Women and Families,,,DFTA,"This allocation enhances baselined funding for elder abuse services, specifically funding organizations that specialize in serving immigrant populations.",Elder Abuse Enhancement,Cleared,FY16,Turning Point for Women and Families
FY16,D,data/fy16/schedule_c/fy16_schedule_c_awards.csv,194,132947657,57000,SENIOR SERVICES,Services Enhancement,initiative_provider,Selfhelp Community Services - Northridge NORC,135654450,234000,absent,none,0,0,,,,,,,,,
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,197,136202692,10000,SENIOR SERVICES,"Senior Centers, Programs, and Enhancements",initiative_provider,Bowery Residents’ Committee Senior Center,132736659,261000,unique,same_fy,1,0,Bowery Residents Committee Senior Center,,,DFTA,This allocation enhances and restores baselined funding to DFTA senior center programs and services and provides additional funding to senior centers that are underfunded or over utilized.,"Senior Centers, Programs, and Enhancements",Cleared,FY16,Bowery Residents Committee Senior Center
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,241,136400434,135000,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Day Laborer Workforce Initiative,initiative_provider,Staten Island Community Job Center,472787706,15000,unique,same_fy,1,0,Staten Island Community Job Center,,,DSBS,"The funds will be used for the expansion and development of day laborer centers. These services include dignified physical space for day laborers to meet, referrals to jobs or support services, legal services to address issues such as wage theft, as well as workforce training and development.",Day Laborer Workforce Initiative,Cleared,FY16,Staten Island Community Job Center
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,243,136400434,281800,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Jobs to Build On,initiative_provider,Consortium for Worker Education (CWE),133564313,5354200,unique,same_fy,1,0,Consortium For Worker Education (CWE),,,DSBS,"To recruit and transition low-skilled, long-term unemployed and under-employed individuals, prepare them for entry-level union and non-union jobs, attain credentials enabling them to meet general employer standards, and place participants in real jobs and career prospects at a living wage.",Jobs to Build On,Cleared,FY16,Consortium For Worker Education (CWE)
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,264,113344389,94000,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Worker Cooperative Business Development Initiative,initiative_provider,Green Worker Cooperatives,201828936,234000,unique,same_fy,1,0,"Green Worker, Inc.",,,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",Worker Cooperative Business Development Initiative,Cleared,FY16,"Green Worker, Inc."
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,264,113344389,94000,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Worker Cooperative Business Development Initiative,initiative_provider,ICA Group,042628399,234000,unique,same_fy,1,0,ICA Group,,,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",Worker Cooperative Business Development Initiative,Cleared,FY16,ICA Group
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,264,113344389,94000,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Worker Cooperative Business Development Initiative,initiative_provider,"Working World, The (TWW)",202264584,234000,unique,same_fy,1,0,"Working World, The (TWW)",,,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",Worker Cooperative Business Development Initiative,Cleared,FY16,"Working World, The (TWW)"
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,266,452201993,84000,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Worker Cooperative Business Development Initiative,initiative_provider,Democracy at Work Institute (DAWI),275265123,155000,unique,same_fy,1,0,Democracy at Work Institute (DAWI),,,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",Worker Cooperative Business Development Initiative,Cleared,FY16,Democracy at Work Institute (DAWI)
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,266,452201993,84000,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Worker Cooperative Business Development Initiative,initiative_provider,NYC Network of Worker Cooperatives (NYCNOWC),465245034,148000,unique,same_fy,1,0,NYC Network of Worker Cooperatives (NYCNOWC),,,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",Worker Cooperative Business Development Initiative,Cleared,FY16,NYC Network of Worker Cooperatives (NYCNOWC)
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,2,112290419,960000,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,A&G Early Child Care Community Network Inc.,472375867,2000000,unique,same_fy,1,0,A&G Early Child Care Community Network Inc.,,,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,Discretionary Child Care,Cleared,FY17,A&G Early Child Care Community Network Inc.
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,131860451,273875,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,"Bethany Day Nursery, Inc.",132732818,709605,unique,same_fy,1,0,"Bethany Day Nursery, Inc.",,,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,Discretionary Child Care,Cleared,FY17,"Bethany Day Nursery, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,131860451,273875,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,"Conselyea St. Block Association, Inc.",112347180,1448669,unique,same_fy,1,0,"Conselyea Street Block Association, Inc.",,,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,Discretionary Child Care,Cleared,FY17,"Conselyea Street Block Association, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,131860451,273875,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,Fort Greene Council Inc.,112300840,587058,unique,same_fy,1,0,"Fort Greene Council, Inc.",,,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,Discretionary Child Care,Cleared,FY17,"Fort Greene Council, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,131860451,273875,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,Gan Day Care,112302049,1136000,unique,same_fy,1,0,Gan Day Care,,,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,Discretionary Child Care,Cleared,FY17,Gan Day Care
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,5,131992185,275000,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,Staten Island Mental Health Society Inc. Head Start Program,135623279,325000,unique,same_fy,1,0,"Staten Island Mental Health Society, Inc.",,Head Start Program,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,Discretionary Child Care,Cleared,FY17,"Staten Island Mental Health Society, Inc."
FY17,C,data/fy17/schedule_c/fy17_schedule_c_awards.csv,7,111904261,175000,CHILDREN’S SERVICES,City’s First Readers,initiative_provider,"Broadway Housing Communities, Inc.",133212867,47000,unique_by_name,any_fy,2,0,"Broadway Housing Communities, Inc.",,,DYCD,,,Cleared,FY15,"Broadway Housing Communities, Inc."
FY17,D,data/fy17/schedule_c/fy17_schedule_c_awards.csv,10,131887440,175000,CHILDREN’S SERVICES,City’s First Readers,initiative_provider,Jumpstart for Children,043263046,175000,absent,none,0,0,,,,,,,,,
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,10,131887440,175000,CHILDREN’S SERVICES,City’s First Readers,initiative_provider,Literacy Inc. (LINC),133911331,440000,unique,same_fy,1,0,"Literacy, Inc. (LINC)",,,DYCD,"This initiative supports a coalition of nonprofit organizations that foster literacy development through direct programming, book distribution, parent engagement and in-home training. City's First Readers focuses on children ages 0 to 5, funding an array of programs designed to help participtaing children achieve reading proficiency by third grade.",City's First Readers,Cleared,FY17,"Literacy, Inc. (LINC)"
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,11,112495601,34000,CHILDREN’S SERVICES,City’s First Readers,initiative_provider,New York University,135562308,236000,unique,same_fy,1,0,New York University,,,DYCD,"This initiative supports a coalition of nonprofit organizations that foster literacy development through direct programming, book distribution, parent engagement and in-home training. City's First Readers focuses on children ages 0 to 5, funding an array of programs designed to help participtaing children achieve reading proficiency by third grade.",City's First Readers,Cleared,FY17,New York University
FY17,B,data/fy17/schedule_c/fy17_schedule_c_awards.csv,27,550882599,20000,COMMUNITY DEVELOPMENT,,initiative_provider,"Dromm PowerMyLearning, Inc.",133935309,20000,unique_by_name,same_fy,15,0,"PowerMyLearning, Inc.",,,DYCD,"The Digital Inclusion and Literacy Initiative address disparities in access to the Internet and increase digital literacy across the City, through programming available in every Council District.",Digital Inclusion and Literacy Initiative,Cleared,FY17,"PowerMyLearning, Inc."
FY17,B,data/fy17/schedule_c/fy17_schedule_c_awards.csv,27,550882599,20000,COMMUNITY DEVELOPMENT,,initiative_provider,"Eugene PowerMyLearning, Inc.",133935309,20000,unique_by_name,same_fy,15,0,"PowerMyLearning, Inc.",,,DYCD,"The Digital Inclusion and Literacy Initiative address disparities in access to the Internet and increase digital literacy across the City, through programming available in every Council District.",Digital Inclusion and Literacy Initiative,Cleared,FY17,"PowerMyLearning, Inc."
FY17,B,data/fy17/schedule_c/fy17_schedule_c_awards.csv,27,550882599,20000,COMMUNITY DEVELOPMENT,,initiative_provider,"Ferreras-Copeland PowerMyLearning, Inc.",133935309,20000,unique_by_name,same_fy,15,0,"PowerMyLearning, Inc.",,,DYCD,"The Digital Inclusion and Literacy Initiative address disparities in access to the Internet and increase digital literacy across the City, through programming available in every Council District.",Digital Inclusion and Literacy Initiative,Cleared,FY17,"PowerMyLearning, Inc."
FY17,C,data/fy17/schedule_c/fy17_schedule_c_awards.csv,33,550882599,20000,COMMUNITY DEVELOPMENT,,initiative_provider,"Lander Npower, Inc.",134145441,20000,ambiguous,any_fy,4,0,,,,DYCD,,,Cleared,FY16,"Npower, Inc."
FY17,B,data/fy17/schedule_c/fy17_schedule_c_awards.csv,38,132954007,20000,COMMUNITY DEVELOPMENT,,initiative_provider,"Rose MOUSE, Inc.",133973196,20000,unique_by_name,same_fy,5,0,"MOUSE, Inc.",,,DYCD,"The Digital Inclusion and Literacy Initiative address disparities in access to the Internet and increase digital literacy across the City, through programming available in every Council District.",Digital Inclusion and Literacy Initiative,Cleared,FY17,"MOUSE, Inc."
FY17,B,data/fy17/schedule_c/fy17_schedule_c_awards.csv,38,132954007,20000,COMMUNITY DEVELOPMENT,,initiative_provider,"Rosenthal MOUSE, Inc.",133973196,20000,unique_by_name,same_fy,5,0,"MOUSE, Inc.",,,DYCD,"The Digital Inclusion and Literacy Initiative address disparities in access to the Internet and increase digital literacy across the City, through programming available in every Council District.",Digital Inclusion and Literacy Initiative,Cleared,FY17,"MOUSE, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,51,132946970,748000,CRIMINAL JUSTICE SERVICES,Initiative to Combat Sexual Assault,initiative_provider,"Kingsbridge Heights Community Center, Inc.",132813809,150000,unique,same_fy,1,0,"Kingsbridge Heights Community Center, Inc.",,,MOCJ,Funding will support five community-based organizations that provide sexual assault related services and programs.,Initiative to Combat Sexual Assault,Cleared,FY17,"Kingsbridge Heights Community Center, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,51,132946970,748000,CRIMINAL JUSTICE SERVICES,Initiative to Combat Sexual Assault,initiative_provider,Icahn School of Medicine at Mount Sinai,136171197,150000,unique,same_fy,1,0,Icahn School of Medicine at Mount Sinai,,,MOCJ,Funding will support five community-based organizations that provide sexual assault related services and programs.,Initiative to Combat Sexual Assault,Cleared,FY17,Icahn School of Medicine at Mount Sinai
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,51,132946970,748000,CRIMINAL JUSTICE SERVICES,Initiative to Combat Sexual Assault,initiative_provider,New York City Alliance Against Sexual Assault,311702032,150000,unique,same_fy,1,0,New York City Alliance Against Sexual Assault,,,MOCJ,Funding will support five community-based organizations that provide sexual assault related services and programs.,Initiative to Combat Sexual Assault,Cleared,FY17,New York City Alliance Against Sexual Assault
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,52,132612524,52935,CRIMINAL JUSTICE SERVICES,Support for Victims of Human Trafficking,initiative_provider,"Community Healthcare Network, Inc.",133083068,175000,unique,same_fy,1,0,"Community Healthcare Network, Inc.",,,MOCJ,The Support for Victims Human Trafficking Initiative will support community-based organizations that provide services to victims in the City's five human trafficking intervention courts.,Support for Victims of Human Trafficking,Cleared,FY17,"Community Healthcare Network, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,54,133286250,175000,CRIMINAL JUSTICE SERVICES,Support for Victims of Human Trafficking,initiative_provider,"Girls Educational and Mentoring Services, Inc.",134150972,125000,unique,same_fy,1,0,"Girls Educational and Mentoring Services, Inc.",,,MOCJ,The Support for Victims Human Trafficking Initiative will support community-based organizations that provide services to victims in the City's five human trafficking intervention courts.,Support for Victims of Human Trafficking,Cleared,FY17,"Girls Educational and Mentoring Services, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,54,133286250,175000,CRIMINAL JUSTICE SERVICES,Support for Victims of Human Trafficking,initiative_provider,Icahn School of Medicine at Mount Sinai,136171197,75000,unique,same_fy,1,0,Icahn School of Medicine at Mount Sinai,,,MOCJ,The Support for Victims Human Trafficking Initiative will support community-based organizations that provide services to victims in the City's five human trafficking intervention courts.,Support for Victims of Human Trafficking,Cleared,FY17,Icahn School of Medicine at Mount Sinai
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,55,133515233,29800,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"Afrikan Poetry Theatre, Inc.",112515828,29800,unique,same_fy,1,0,"Afrikan Poetry Theatre, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"Afrikan Poetry Theatre, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,55,133515233,29800,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"Amas Musical Theatre, Inc.",237057226,29800,unique,same_fy,1,0,"Amas Musical Theatre, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"Amas Musical Theatre, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,59,134046782,29800,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"Chinese Theater Works, Inc.",112393789,29800,unique,same_fy,1,0,"Chinese Theater Works, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"Chinese Theater Works, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,60,133116643,29800,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"Creative Ammo, Inc.",134181617,14600,unique,same_fy,1,0,"Creative Ammo, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"Creative Ammo, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,60,133116643,29800,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"Educational Theater of New York, Inc.",134148861,14600,unique,same_fy,1,0,"Educational Theater of New York, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"Educational Theater of New York, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,63,133607832,29800,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,Make the Road New York,113344389,29800,unique,same_fy,1,0,Make the Road New York,,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,Make the Road New York
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,64,132632596,123200,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"Mindbuilders Creative Arts, Inc.",132988157,29800,unique,same_fy,1,0,"Mindbuilders Creative Arts, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"Mindbuilders Creative Arts, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,64,132632596,123200,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"National Asian American Theatre Company, Inc.",133486145,14600,unique,same_fy,1,0,"National Asian American Theatre Company, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"National Asian American Theatre Company, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,65,132683678,113200,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"Negro Ensemble Company, Inc.",136216904,113200,unique,same_fy,1,0,"Negro Ensemble Company, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"Negro Ensemble Company, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,65,132683678,113200,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,"New Federal Theatre, Inc.",132814763,113200,unique,same_fy,1,0,"New Federal Theatre, Inc.",,,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,Coalition Theaters of Color,Cleared,FY17,"New Federal Theatre, Inc."
