resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
5,2011-12-19,Samaritansof New YorkSuicidePreventionHotlinePEGRestoration- Fiscal2012,2012,rescind,,,Organization EINNumber Agency Amount Agy# U/A * SamaritansofNewYorkSuicidePreventionHotlinePEGRestoration,,136400434,-247000,DOHMH,,,.00) 816 120,
5,2011-12-19,Samaritansof New YorkSuicidePreventionHotlinePEGRestoration- Fiscal2012,2012,designate,,,"SamaritansofNewYork,Inc.",,133164464,247000,DOHMH,,,.00 816 120,
5,2011-12-19,SeniorCenterClosures-- PEGRestoration- Fiscal2012,2012,rescind,,,"Organization EINNumber Agency Amount Agy# U/A * AginginAmericaCommunityServices,Inc.-GlebeSeniorCenter",,134099045,-60000,DFTA,,,.00) 125 003,
5,2011-12-19,SeniorCenterClosures-- PEGRestoration- Fiscal2012,2012,designate,,,JewishAssociationforServicesfortheAged(JASA)-GlebeSeniorCenter,,132620896,60000,DFTA,,,.00 125 003,
5,2011-12-19,HIV/AIDSFaithBased Initiative-Fiscal2012,2012,rescind,,,Organization EINNumber Agency Amount Agy# U/A * RiverofLivingWaterFellowshipChurch,,208586474,-6400,DOHMH,,,.00) 816 112 *,
5,2011-12-19,HIV/AIDSFaithBased Initiative-Fiscal2012,2012,designate,,,RiversofLivingFaithMinistries,,452453438,6400,DOHMH,,,.00 816 112 *,
5,2011-12-19,CulturalAfter-SchoolAdventure(CASA)-Fiscal2012,2012,rescind,,,"Fiscal FiscalConduit/SponsoringOrganization ConduitEIN Member Organization EINNumber Agency Amount Agy# U/A * Weprin QueensTheatreinthePark,Inc.-PublicSchool133Q QueensTheatreinthePark,Inc.-IS74Nataniel",,113381629,-20000,DCA,,,.00) 126 022,
5,2011-12-19,CulturalAfter-SchoolAdventure(CASA)-Fiscal2012,2012,designate,,,Weprin HawthorneIntermediateSchool,,113381629,20000,DCA,,,.00 126 022,
5,2011-12-19,CulturalAfter-SchoolAdventure(CASA)-Fiscal2012,2012,rescind,,,"Eugene BrooklynArtsCouncil,Inc.-PublicSchool399",,237072916,-20000,DCA,,,.00) 126 003,
5,2011-12-19,CulturalAfter-SchoolAdventure(CASA)-Fiscal2012,2012,designate,,,"Eugene BrooklynArtsCouncil,Inc.-PublicSchool399 CreativeOutletDanceTheatreofBrooklyn,Inc.-Public",,237072915,20000,DCA,,,.00 126 003,
5,2011-12-19,CulturalAfter-SchoolAdventure(CASA)-Fiscal2012,2012,rescind,,,"Eugene School6 CreativeOutletDanceTheatreofBrooklyn,Inc.-Public",,113307755,-20000,DCA,,,.00) 126 003,
5,2011-12-19,CulturalAfter-SchoolAdventure(CASA)-Fiscal2012,2012,designate,,,Eugene School6,,113307754,20000,DCA,,,.00 126 003,
