resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,,Ariola Howard Beach Lindenwood Civic Association,,465145713,-5000,DYCD,260,005,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,,"Ariola Selfhelp Community Services, Inc.",,131624178,5000,DFTA,125,003,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,"Publicolor, Inc.",COLOR Club,133912768,-10000,DYCD,260,005,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,Department of Youth and Community Development,,136400434,10000,DYCD,260,005,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,Department of Youth and Community Development,,136400434,-10000,DYCD,260,005,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,"Chamber of Commerce Borough of Queens, Inc.",Community Events,110559220,10000,SBS,801,002,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,"Williams Showing Hearts Foundation, Inc., The",,810713547,-4000,DYCD,260,005,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,"Williams Small Property Owners of New York, Inc.",,133244625,-6000,DYCD,260,005,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,Williams First Faith Baptist Church,College Preparation Programming,022916843,10000,DYCD,260,312,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,"Ballroom Basix USA, Inc.",Public School/Intermediate School 268Q (29Q268) & Williams Public School/Middle School 147Q (29Q147),273218865,-5000,DCLA,126,003,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,"Ballroom Basix USA, Inc.",Public School 118Q Lorraine Hansberry (29Q118) & Williams Public School/Intermediate School 116Q William C. Hughley (29Q116),273218865,5000,DCLA,126,003,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,Won Department of Small Business Services,,136400434,-10000,SBS,801,002,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,"Association of Community Employment Programs for the Homeless, Inc.",Won Council District 26,133846431,10000,DYCD,260,005,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,Won Department of Small Business Services,,136400434,-10000,SBS,801,002,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,Won Department of Youth and Community Development,,136400434,10000,DYCD,260,005,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,Marte Players Philanthropy Fund DBA Welcome to Chinatown,,276601178,-22000,SBS,801,002,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,"Marte Welcome to Chinatown, Inc.",,881524156,22000,DYCD,260,005,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,"Schulman CHAZAQ Organization USA, Inc.",Main Street Beautification,462148352,-5000,DYCD,260,005,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,"Schulman CHAZAQ Organization USA, Inc.",Anti-Hate Community Programming,462148352,5000,DYCD,260,005,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,Won Department of Youth and Community Development,,136400434,-10000,DYCD,260,005,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,"Association of Community Employment Programs for the Homeless, Inc.",Won Council District 26,133846431,10000,DYCD,260,005,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,Won Department of Youth and Community Development,,136400434,-3000,DYCD,260,005,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,"Won Rethink Food NYC, Inc.",Council District 26,821632259,3000,DYCD,260,005,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,Won Department of Youth and Community Development,,136400434,-1240,DYCD,260,005,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,Won Department of Education,District 30 Community Education Council,136400434,1240,DOE,040,402,,**
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,rescind,,Speaker,Dinowitz Department of Parks and Recreation,Tree Guards - Council District 11,136400434,-10000,DPR,846,006,,
6,2024-02-08,Local Initiatives - Fiscal 2024,2024,designate,,Speaker,Dinowitz Department of Parks and Recreation,Council District 11,136400434,10000,DPR,846,006,,
