resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Gennaro,"Queensborough Community College Auxiliary Enterprise Association, Inc.",After-School Performance Workshops,112037770,-10000,CUNY,042,001,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Gennaro,City University of New York,"Queensborough Auxiliary Enterprise Association., Inc. - Queensborough Performing Arts Center - After-School Performance Workshops",136400434,10000,CUNY,042,001,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Gennaro,"Queensborough Community College Auxiliary Enterprise Association, Inc.",Concerts - Council District 24,112037770,-7500,CUNY,042,001,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Gennaro,City University of New York,"Queensborough Auxiliary Enterprise Association., Inc. - Queensborough Performing Arts Center - Concerts - Council District 24",136400434,7500,CUNY,042,001,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Gennaro,"Queensborough Community College Auxiliary Enterprise Association, Inc.",Kupferberg Holocaust Center,112037770,-10000,CUNY,042,001,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Gennaro,City University of New York,"Queensborough Auxiliary Enterprise Association., Inc. - Kupferberg Holocaust Center",136400434,10000,CUNY,042,001,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Paladino,"Queensborough Community College Auxiliary Enterprise Association, Inc.",QPAC Senior Program,112037770,-5000,CUNY,042,001,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Paladino,City University of New York,"Queensborough Auxiliary Enterprise Association., Inc. - Queensborough Performing Arts Center - Senior Program",136400434,5000,CUNY,042,001,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Paladino,"Greater Ridgewood Youth Council, Inc., The",Self-Defense Program - Council District 19,112518141,-5000,DYCD,260,005,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Paladino,"Chamber of Commerce Borough of Queens, Inc.",Community Business Resources & Community Fireworks Show,110559220,5000,SBS,801,002,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Won,Department of Youth and Community Development,,136400434,-20760,DYCD,260,005,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Won,Department of Sanitation,Better Bins - Queens Blvd & Skillman Ave - Council District 26,136400434,20760,DSNY,827,109,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Won,CUNY School of Law Justice & Auxiliary Services Corporation,Community Legal Counseling Program,901013912,-11000,CUNY,042,001,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Won,Department of Youth and Community Development,,136400434,11000,DYCD,260,005,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Abreu,"Broadway Housing Communities, Inc.",Educational Program for Students - Council District 7,133212867,-10000,DYCD,260,312,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Abreu,"Cathedral Church of St. John the Divine, The",Council District 7,131623934,10000,DYCD,260,005,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Abreu,Kagan Department of Transportation,Helmet Giveaway - Council District 47,136400434,-5000,DOT,841,011,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Abreu,"Kagan Guardians of the Sick, Inc.",Family Crisis Intervention,116003433,5000,DYCD,260,005,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Abreu,"Federation of Italian American Organizations of Brooklyn, Ltd.",Community Kagan Senior Services Program - Council District 47,112507910,-5000,DFTA,125,003,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,Abreu,"Kagan New York Cancer Center, Inc.",,272464042,5000,DHMH,816,117,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,Abreu,"Arab American Association of New York, Inc.",Workforce Development Kagan Services,113604756,-5000,DYCD,260,005,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,,"Council of Peoples Organization, Inc.",Halal Food Pantry Program - Council Kagan District 47,753046891,5000,DYCD,260,005,,
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,,"Jewish Community Council of Greater Coney Island, Inc.",Ocean Parkway Kagan Older Adult Center,112665181,-5000,DFTA,125,003,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,,"Kagan New York Cancer Center, Inc.",,272464042,5000,DHMH,816,117,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,rescind,,,East New York Restoration Local Development Corporation,Council District 42 Barron,461763706,-25000,DYCD,260,005,,**
5,2023-12-20,Local Initiatives - Fiscal 2024,2024,designate,,,Bergen Basin Community Development Corporation d/b/a Millennium Barron Development,Council District 42,113199040,25000,DFTA,260,005,,**
