item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,Administration for Children’s Services,068,006,1,"April 15, 2017; July 1, 2016; March 31, 2017",,"As a condition of the funds in units of appropriation 006, the Administration for Children’s Services shall submit to the Council, no later than April 15, 2017, a report detailing the number of youth aging out of foster care. Such report shall also include, if known, the number of youth aging out of foster care who also enter publically funded shelters in the De partment of Homeless Services and shall cover the period of July 1, 2016 through March 31, 2017."
2,Capital Budget,,All Project Lines – All Projects,1,,,"Where the Commissioner of the appropriate agency determines to change the project location for projects in the capital budget funded by Council Member discretionary funding, such Commissioner shall notify the affected Council Member prior to implementing such determination. Fiscal 2016 Terms and Conditions Resubmitted for Fiscal 2017"
3,Capital Budget,,All Project Lines – All Projects,1,,,"The appropriations for all projects in the capital budget shall be administered under, and in accordance with, the appropriate provisions of the New York City Charter and the Administrative Code. Each agency shall be required to ensure with regard to each project under its jurisdiction that the City’s Financial Management System is adequately updated with project milestones and explanations for any delays in the schedules of each project."
4,Capital Budget,,Budget Line HA-0001 – All Projects,1,,,"In relation to the funding in budget line HA -0001 for the Mayor’s Action Plan (“MAP”) for Neighborhood Safety at the New York City Housing Authority (“NYCHA”), NYCHA shall provide to the City Council no later than December 31, 201 6 a report detailing the categories of physical improvements made with the MAP funding, the number of each type of improvement that has been completed or for which construction has begun, and the location of each improvement completed or for which construction has begun."
5,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2016; January 1, 2017; January 15, 2017; July 1, 2016; July 15, 2017; June 30, 2017","July 1, 2016 to December 31","In relation to the funding in budget line HA-0001 for building facades, the New York City Housing Authority shall submit to the Council semi -annual reports regarding sidewalk shedding. Such reports shall include the amount of sidewalk shedding removed (in terms of feet and miles) and the amount of sidewalk shedding installed (in terms of feet and miles) that has been installed, disaggregated by development. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2017 and shall cover the period beginning July 1, 2016 and ending December 31, 2016. The second report shall be submitted no later than July 15, 2017 and shall cover th e period beginning January 1, 2017 and ending June 30, 2017."
6,Department of Correction,072,002; 003,2,"December 31, 2016; January 1, 2017; January 15, 2017; July 15, 2017; June 30, 2017","July 1, 201 6 to December 31","As a condition of the funds in unit of appropriation numbers 002 and 003, the Department of Correction shall provide semi-annual headcount reports to the Council detailing the number of uniform officers that perform duties that do not require uniformed expertise or other duties traditionally and primarily performed by civilian employees. Such report shall b e disaggregated by rank, and shall include the salary range, the average salary, and title of the civilian positions in which the uniformed officers are working. The semi-annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 2017 and shall cover the period beginning July 1, 201 6 and ending December 31, 2016. The second report shall be submitted on or before July 15, 2017 and shall cover the period beginning January 1, 2017 and ending June 30, 2017."
7,Department of Correction,072,001; 002; 003; 004,4,"July 1, 2016; July 15, 2017; June 30, 2017",,"As a condition to the expenditure of funds appropriated to the unit of appropriation numbers 001, 002, 003, and 004, the Department shall provide a report to the Council , no later than July 15, 2017, detailing: 1) the number of inmates who have requested a copy of their certified birth certificate within two weeks prior to release from custody; 2) the number of certified birth certificates that were provided pursuant to such request; and 3) the number of requests made to the Department of Health and Mental Hygiene in accordance with such request. Such information shall include: 1) the number of inmates who were denied a certified copy of their birth certificate; 2) the reason for such denial; and 3) the number of inmates who received a copy of their certified birth certificate prior to release. The data provided shall be applicable to any person born in New York City and sentenced to ninety days or more in a New York City correctional facility who will serve, after sentencing, thirty days or more in a New York City correctional facility. Such report shall cover the period of July 1, 2016 through June 30, 2017."
8,Department of Correction,072,001; 002; 003; 004,4,"October 15, 2016",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004, the Department of Correction shall submit a report, no later than October 15, 2016, detailing the demographics of uniformed personnel, including gender and race. Such info rmation shall be disaggregated by rank, gender, and race."
9,Department of Education,040,406,1,"December 1, 2016; June 1, 2017",,"As a condition of the funds in unit of appropriation number 406, the Department of Education shall provide a semi-annual list to the City Council detailing the total number of charter schools, listed by name and address, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semiannual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Education students, disaggregated by grade; 3) the total number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students, disaggregated by grade; 5) the total number of students provided free or reduce d price school lunches, disaggregated by grade; and 6) the total sum of year -end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education students further disaggregated by tuition payment category. Such list shall be provided to the Council on December 1, 2016 and June 1, 2017."
10,Department of Education,040,All,1,"April 11, 2017; December 1, 2016; December 8, 2016; February 16, 2017; January 12, 2017; June 7, 2017; March 16, 2017; May 10, 2017; May 17, 2017; November 4, 2016; October 27, 2016; October 4, 2016",,"As a condition of this appropriation, the Department of Education shall issue the Financial Status Report for the following dates: Financial Status Report Report Content Anticipated Meeting Date Issue Date September 2016 FY17 FSROpening Condition October 4, 2016 October 27, 2016 October 2016 FY16 Year-End Close November 4, 2016 December 1, 2016 December 2016 FY17 FSR update; FY18 November Plan Summary December 8, 2016 January 12, 2017 February 2017 FY17 FSR update, including Fiscal Analysis; FY18 Preliminary Budget Summary February 16, 2017 March 16, 2017 March 2017 FY17 FSR update April 11, 2017 May 10, 2017 May 2017 FY17 FSR update; FY18 Executive Budget Summary May 17, 2017 June 7, 2017"
11,Department of Education,040,401; 403; 481,3,"December 31, 2016; January 1, 2017; January 15, 2017; July 15, 2017; June 30, 2017","July 1, 201 6 to December 31","As a condition of the funds in unit of appropriation numbers 401 and 403, the Department shall provide semi-annual headcount reports to the City Council that lists school -based staff by title, network-based staff by title, and cluster-based staff by title. The semi-annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 2017 and shall cover the period beginning July 1, 201 6 and ending December 31, 2016. The second report shall be submitted on or before July 15, 2017 and shall cover the period beginning January 1, 2017 and ending June 30, 2017."
12,Department of Education,040,439; 440,2,"April 1, 2017",,"As a condition of the funds in unit of appropriation numbers 439 and 440, the Department of Education shall provide the City Council a report detailing the total amount of collected and uncollected lunch fees; and the number of school lunches served daily following the same methodology used in the Mayor’s Management Report, disaggregated by free lunch, reducedpriced lunch, and paid lunch. For each lunch category, the Department shall identify the number of lunches served in schools participating in the Universal School Meals program under fede ral Provision II; the number of lunches served in schools participating in the Community Eligibility Provision (“CEP”); the number of lunches served in schools parti cipating in the City Council’s Free Lunch in Middle Schools Initiative; and the number of lunches served in schools that do not participate in one of these programs. The report shall include the number of schools participating in each of these lunch programs. The report, which shall include data as of December 31, 201 6, shall also include, disa ggregated by the number of students attending schools that participate in the Universal School Meals program (“Provision II”), CEP, the Free Lunch in Middle Schools Initiative, and none of these programs: 1) the number of students eligible for free lunch, disaggregated by the number who are directly certified and not directly certified; and 2) the number and percentage of students who completed and submitted lunch forms and/or an alternative income form. Where data is available through the collection of a f orm verifying student income levels, the report shall also include: 1) the number of students eligible for reduced -price lunch; and 2) the number of students eligible for full-priced lunch. Such list shall be provided to the Council no later than April 1, 2017."
