category,agencies,initiative,amount
ANTI-GUN VIOLENCE INITIATIVE,DOHMH,Anti-Gun Violence - Community Based Programs,2528000
ANTI-GUN VIOLENCE INITIATIVE,CUNY,Anti-Gun Violence - Evaluation,250000
ANTI-GUN VIOLENCE INITIATIVE,DOP,Anti-Gun Violence - Job Readiness,647000
ANTI-GUN VIOLENCE INITIATIVE,MOCJ,Anti-Gun Violence - Legal Services,1175000
ANTI-GUN VIOLENCE INITIATIVE,DOHMH,Anti-Gun Violence - Mental Health/Therapeutic Services,1300000
ANTI-GUN VIOLENCE INITIATIVE,DOE,Anti-Gun Violence - School Based Conflict Mediation,550000
ANTI-GUN VIOLENCE INITIATIVE,DYCD,"Anti-Gun Violence - Violence Prevention, Conflict Mediation and Youth Development",250000
ANTI-POVERTY INITIATIVE,,Multiple Initiative to Address Poverty,2800000
CHILDREN’S SERVICES,ACS,Discretionary Child Care,5023000
CHILDREN’S SERVICES,DYCD,Early Childhood Literacy Initiative,1500000
CHILDREN’S SERVICES,ACS,Priority 5 Vouchers,10000000
CHILDREN’S SERVICES,CUNY,Technical Assistance for Child Care Providers (CUNY PDI),1500000
CRIMINAL JUSTICE SERVICES,DOP,Adolescent Portable Therapy Program,250000
CRIMINAL JUSTICE SERVICES,MOCJ,Alternatives to Incarceration (ATI) Programs,4100000
CRIMINAL JUSTICE SERVICES,MOCJ,Center for Court Innovation,400000
CRIMINAL JUSTICE SERVICES,MOCJ,Child Advocacy Centers (Safe Horizon),500000
CRIMINAL JUSTICE SERVICES,MOCJ,Initiative to Address Sexual Assault,300000
CRIMINAL JUSTICE SERVICES,DA,- RC Staten Island Drug Treatment Court,250000
CULTURAL AFFAIRS,DCLA,Coalition Theaters of Color,1000000
CULTURAL AFFAIRS,DCLA,Cultural After-School Adventure (CASA),7100000
CULTURAL AFFAIRS,DCLA,Cultural Immigrant Initiative,1500000
CUNY,CUNY,Center for Puerto Rican Studies,970000
CUNY,CUNY,City Council Merit-Based Scholarships,10915000
CUNY,DOE,City Council Merit-Based Scholarships – FIT,185000
CUNY,CUNY,Creative Arts Team,200000
CUNY,CUNY,CUNY Advanced Certificate Program,50000
CUNY,CUNY,CUNY Prep,2700000
CUNY,CUNY,Dominican Studies Institute,970000
CUNY,CUNY,Murphy Institute Center for Worker Education,100000
CUNY,CUNY,NYC Food Policy Center at Hunter College,200000
CUNY,CUNY,Results Based Accountability for Council Initiatives,500000
DOMESTIC VIOLENCE,ACS,"CONNECT, Inc. Community Empowerment Program",600000
DOMESTIC VIOLENCE,MOCJ,Domestic Violence and Empowerment (DoVE) Initiative,4000000
DOMESTIC VIOLENCE,MOCJ,Immigrant Battered Women's Initiative,1000000
DOMESTIC VIOLENCE,HRA,Legal Services for Domestic Violence Victims,350000
EDUCATION,DOE,Bridge to Tomorrow,1150000
EDUCATION,DOE,CHAMPS,125000
EDUCATION,DOE,"Chess in the Schools, Inc.",400000
EDUCATION,DOE,Child Mind Institute,250000
EDUCATION,DOE,Community Schools,250000
EDUCATION,DOE,Dropout Prevention and Intervention Initiative,1000000
EDUCATION,DOE,Executive Leadership Institute,450000
EDUCATION,DOE,Free Lunch in Middle Schools,6250000
EDUCATION,DYCD,Jill Chaifetz Helpline,200000
EDUCATION,DOE,MOUSE,275000
EDUCATION,DOE,Middle School Expanded Learning Time,1550000
EDUCATION,DOE,Small Schools Athletic League,825000
EDUCATION,DOE,Teacher's Choice,6085000
EDUCATION,DOE,Urban Advantage,3500000
ENVIRONMENTAL INITIATIVES,DYCD,A Greener NYC,750000
ENVIRONMENTAL INITIATIVES,DYCD,NYC Cleanup Initiative,3500000
FOOD INITIATIVES,DYCD,Amida Care Initiative,100000
FOOD INITIATIVES,HRA,Earned Income Tax Credit Assistance (Food Bank),250000
FOOD INITIATIVES,DYCD,Electronic Benefits Transfers at Food Markets,335000
FOOD INITIATIVES,DYCD,Expand Low-Income Farmers’ Markets,60000
FOOD INITIATIVES,HRA,Food Pantries and Technical Assistance,250000
FOOD INITIATIVES,DYCD,Food Pantries,1320000
GOVERNMENT OFFICIALS,,Clerk City Clerk PS Enhancement,150000
GOVERNMENT OFFICIALS,,BP- Brooklyn Brooklyn Borough President PS Enhancement,100000
GOVERNMENT OFFICIALS,BP,- Manhattan Manhattan Borough President PS Enhancement,100000
HOMELESS SERVICES,DHS,Citywide Homeless Prevention Fund,500000
HOUSING,HPD,Citywide Task Force on Housing Court,550000
HOUSING,HPD,Community Consultants,1000000
HOUSING,HPD,Housing Preservation Initiative,2000000
HOUSING,HPD,Mortgage Foreclosure Prevention Program,750000
HOUSING,HPD,Subsidized Housing Information Project (SHIP),100000
HOUSING,HPD,Association for Neighborhood and Housing Development,100000
HOUSING,HPD,HPD Alternative Enforcement Program,750000
HOUSING,HPD,Stabilizing NYC,1000000
HOUSING,HPD,Ease Transition in Downsizing in Housing,250000
HOUSING,NYCHA,NYCHA Community and Senior Centers,17100000
IMMIGRANT SERVICES,CUNY,CUNY Citizenship NOW! Expansion,1000000
IMMIGRANT SERVICES,HRA,Immigrant Opportunities Initiative (IOI),1000000
IMMIGRANT SERVICES,HRA,New York Immigrant Family Unity Project,4900000
IMMIGRANT SERVICES,DYCD,New York Immigration Coalition,200000
LEGAL SERVICES,HRA,Anti-Eviction Legal Services and Single Room Occupancy,5000000
LEGAL SERVICES,HRA,Citywide Civil Legal Services,3750000
LEGAL SERVICES,MOCJ,Legal Information for Families (LIFT),485000
LEGAL SERVICES,HRA,Legal Services for the Working Poor,1525000
LEGAL SERVICES,HRA,Unemployment Insurance/SSI Advocacy Project,1000000
LIBRARIES,NY,Public Library (Research) Fiscal 2015 Subsidy,350000
LIBRARIES,NY,Public Library (Branches) Fiscal 2015 Subsidy,1850000
LIBRARIES,,Brooklyn Public Library Fiscal 2015 Subsidy,1400000
LIBRARIES,,Queens Borough Public Library Fiscal 2015 Subsidy,1400000
MENTAL HEALTH SERVICES,DOHMH,Autism Awareness,690000
MENTAL HEALTH SERVICES,DOHMH,Children Under Five Initiative,200000
MENTAL HEALTH SERVICES,DOHMH,Court-Involved Youth Mental Health Initiative,1000000
MENTAL HEALTH SERVICES,DOHMH,"Samaritan’s of New York, Inc.",50000
MENTAL HEALTH SERVICES,DOHMH,Young Adult Institute,50000
PARKS AND RECREATION,DPR,Parks Maintenance,3650000
PARKS AND RECREATION,DPR,Parks Enforcement Patrol (PEP) Officers,5000000
PARKS AND RECREATION,DPR,Tree Pruning,1000000
PARKS AND RECREATION,DPR,Parks Equity Initiative,750000
PARKS AND RECREATION,DPR,Tree Stumps Removal,750000
PUBLIC SAFETY,NYPD,Police Civilianization,6200000
PUBLIC SAFETY,NYPD,Juvenile Robbery Intervention Program,1000000
SENIOR SERVICES,DFTA,Access to Crisis and Emergency Services (ACES),600000
SENIOR SERVICES,DFTA,Elder Abuse Enhancement,1000000
SENIOR SERVICES,DFTA,Handyman Services,400000
SENIOR SERVICES,DFTA,LGBT Senior Services in Every Borough,1500000
SENIOR SERVICES,DFTA,Neighborhood Naturally Occurring Retirement Communities(NNORCs),1000000
SENIOR SERVICES,DFTA,Naturally Occurring Retirement Communities (NORC) Supportive Services Enhancement,1500000
SENIOR SERVICES,DFTA,New York Academy of Medicine – Age Friendly NYC,400000
SENIOR SERVICES,DFTA,"Senior Centers, Programs, and Services Enhancement",3005000
SENIOR SERVICES,DFTA,Social Adult Day Care Enhancement,600000
SENIOR SERVICES,DFTA,Space Costs for Senior Centers Enhancement,800000
SENIOR SERVICES,DFTA,Transportation Operating Costs Enhancement,500000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Chamber on the Go (Small Business Mobile Outreach Unit),250000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Consortium for Worker Education,1750000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Create New Technology Incubators,1000000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Food Retail and Workforce Training and Placement Program,60000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,hackNY,100000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,High Tech Connect,260000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Jobs to Build On,5100000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,MWBE Leadership Associations,600000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,New Skills/New Jobs,598000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Industrial Business Solutions Providers (IBSP),830000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,SCO Family of Services/Center for Family Life Worker Cooperatives,148000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Small Business/Job Development / Financial Literacy,600000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Workforce Development - Queens Tech Education,65000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,SBS,Worker Cooperative Business Development Initiative,1200000
TAX COMMISSION,,City Council Tax Reform Commission,424000
VETERANS SERVICES,SBS,Job Placement for Veterans,100000
VETERANS SERVICES,HRA,Legal Services for Veterans,100000
VETERANS SERVICES,DOHMH,Mental Health Services for Veterans,100000
VETERANS SERVICES,DYCD,Veterans Community Development,50000
VETERANS SERVICES,SBS,Services for Women Veterans,50000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Adult Literacy Initiative,750000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Big Brothers Big Sisters of New York City,400000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Communities of Color Non-Profit Stabilization Fund,2500000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Summer Youth Employment Program (SYEP),15200000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,New York Junior Tennis League,800000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,NYC Digital Inclusion and Literacy Initiative,750000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Sports and Arts in Schools Foundation (SASF),1000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Sports Training and Rolemodels for Success (STARS) Initiative,1000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Summer Out of School Time (OST),17500000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,The After-Three Corporation (TASC),3000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,WHEDCo,210000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,YMCA After-School Program,350000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Youth Action Build Initiative,2100000
