category,agencies,initiative,amount
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,After -Three Corporation,3800000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Beacon Opening Fees,3000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Cultural After School Adventure (CASA),2850000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Neighborhood Youth Alliance/Street Outreach,1000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,New York Junior Tennis League,800000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Shelter Beds for At Risk/LGBT Youth,1670000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Sports & Arts in Schools (SASF),1200000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Summer Youth Employment Program (SYEP),6600000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,WHEDCo,255000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,YMCA Virtual Y Program,500000
