category,agencies,initiative,amount
PUBLIC SAFETY,DFTA,Elder Abuse Enhancement,335000
PUBLIC SAFETY,DFTA,Elie Wiesel Holocaust Survivors Initiative,3500000
PUBLIC SAFETY,DFTA,Healthy Aging Initiative,2040000
PUBLIC SAFETY,DFTA,Information and Referral Services,407811
PUBLIC SAFETY,DFTA,LGBT Senior Services in Every Borough,1500000
PUBLIC SAFETY,DFTA,Naturally Occurring Retirement Communities (NORCs),3654995
PUBLIC SAFETY,DFTA,Senior Centers for Immigrant Populations,2000000
PUBLIC SAFETY,DFTA,"Senior Centers, Programs, and Enhancements",2104000
PUBLIC SAFETY,DFTA,Social Adult Day Care Enhancement,1055556
PUBLIC SAFETY,DFTA,Support Our Seniors,4080000
SENIOR SERVICES,SBS,Chamber on the Go and Small Business Assistance,1888855
SENIOR SERVICES,SBS,Construction Site Safety Training,1100000
SENIOR SERVICES,CUNY,Create New Technology Incubators,1400000
SENIOR SERVICES,SBS,Day Laborer Workforce Initiative,1970000
SENIOR SERVICES,DYCD,Green Jobs Corps Program,120000
SENIOR SERVICES,SBS/DYCD,Job Training and Placement Initiative,8106000
SENIOR SERVICES,SBS,Made in NYC,850000
SENIOR SERVICES,SBS,MWBE Leadership Associations,600000
SENIOR SERVICES,SBS,Neighborhood Development Grant Initiative,1836000
SENIOR SERVICES,SBS/CUNY,Worker Cooperative Business Development Initiative,3499000
SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,,Multiple Speaker’s Initiative to Address Citywide Needs,11928000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,HRA,Homeless Prevention Services for Veterans,300000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,SBS,Job Placement for Veterans,200000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,HRA,Legal Services for Veterans,450000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,DOHMH,Mental Health Services for Veterans,420000
SPEAKER’S INITIATIVE TO ADDRESS CITYWIDE NEEDS,DYCD/DCLA/CUNY,Veterans Community Development,970000
VETERAN SERVICES,DOHMH,Dedicated Contraceptive Fund,417500
VETERAN SERVICES,HRA,HRA Teen RAPP,250000
VETERAN SERVICES,MOCJ,Initiative for Immigrant Survivors of Domestic Violence,350000
VETERAN SERVICES,MOCJ,Prevent Sexual Assault (PSA) Initiative for Young Adults,275000
VETERAN SERVICES,MOCJ,Step In and Stop It Initiative to Address Bystander Intervention,154000
VETERAN SERVICES,DOE,Work-Based Learning Internships,600000
VETERAN SERVICES,ACS,Wrap-Around Support for Transitional-Aged Foster Youth,1100000
VETERAN SERVICES,DYCD,Young Women's Leadership Development,1096000
YOUNG WOMEN’S INITIATIVE,DYCD,Afterschool Enrichment Initiative,6303907
YOUNG WOMEN’S INITIATIVE,DYCD,Big Brothers and Big Sisters of New York City,1200000
YOUNG WOMEN’S INITIATIVE,DYCD,Civic Education in New York City Schools,550000
YOUNG WOMEN’S INITIATIVE,DYCD,COMPASS,1813600
YOUNG WOMEN’S INITIATIVE,DYCD,Sports Training and Rolemodels for Success (STARS) Initiative,1200000
YOUNG WOMEN’S INITIATIVE,DYCD,YouthBuild Project Initiative,2100000
