item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,Administration for Children’s Services,068,001; 002; 007; 008; 001; 002; 003; 004,8,"January 15, 2021; July 15, 2021",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004 in the Department of Correction's (""DOC"") budget and unit of appropriation numbers 001, 002, 007, and 008 in the Administration for Children’s Services’ (""ACS"") budget, DOC and ACS shall submit a semi-annual report detailing 1) the average daily population of youth disaggregated by juvenile offenders, juvenile delinquents, adolescent offenders; 2) the total number of incarcerated youth admitted to the custody of DOC and ACS during the reporting period on pending criminal charges who were charged with offenses of the following severity: (a) class A felonies; (b) violent felonies as defined in section 70.02 of the penal law; (c) non- violent felonies as defined in section 70.02 of the penal law; or (d) misdemeanors; 3) of the number of incarcerated youth in the custody of DOC and ACS on the last day of each calendar month of the reporting period held in custody, the percentage charged with offenses of the following severity: (a) class A felonies; (b) class B or C felonies; (c) class D or E felonies; (d) misdemeanors; or (e) non- criminal charges; 4) average length of detention for juvenile offenders pre-sentence; 5) average length of detention for juvenile delinquents pre-disposition; 6) average length of detention for adolescent offenders pre -sentence; and 7) total number of youth serving their sentence in specialized secure detention and specialized juvenile detention. Such reports shall be submitted on January 15, 2021 and on July 15, 2021."
2,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2020; January 1, 2020; January 15, 2021","January 1, 2020 to on December 31","As a condition of the funds in budget line HA -0001 for the Roof Repair Program at the New York City Housing Authority (“NYCHA”), NYCHA shall submit to the Council, no later than January 15, 2021, a report detailing the categories of physical improvements m ade with the Roof Repair Program funding. Such report shall include the total budget for roof repair, disaggregated by funding source, and the number of physical improvements that have been completed or for which construction has begun, disaggregated by ph ysical improvement type (i.e. simple repairs, where the roof can be replaced without work on perimeter walls; moderate repairs, where the roof will be replaced and repairs are needed to perimeter parapet walls; or complex repairs, where the roof and perimeter parapet walls both need to be replaced) and the location of each improvement completed or for which construction has begun. Such report shall also include the current construction phase and the anticipated timeline of each subsequent construction phase for each project (i.e. design, construction, water shut down, closeout). Such report shall cover the period beginning January 1, 2020 and ending on December 31, 2020."
3,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2020; January 1, 2020; January 15, 2021","January 1, 2020 to on December 31","As a condition of the funds in budget line HA-0001 for the Mayor’s Action Plan (“MAP”) for Neighborhood Safety at the New York City Housing Authority (“NYCHA”), NYCHA shall submit to the Council, no later than January 15, 2021, a report detailing the categories of physical improvements made with the MAP funding, the number of each type of improvement that has been completed or for which construction has begun, and the location of each improvement completed or for which construction has begun. Such report shall cover the period beginning January 1, 2020 and ending on December 31, 2020."
4,Department for the Aging,125,003,1,"September 1, 2020",,"As a condition of the funds in unit of appropriation number 003, the Department for the Aging shall submit to the Council, no later than September 1, 2020, a report listing the name and location of each senior center and social club under its jurisdiction and whether each site has air conditioning installed, and if so, whether the air conditioning is functioning."
5,Department for the Aging,125,003,1,"December 31, 2020; February 1, 2021; January 1, 2020",,"As a condition of the funds in unit of appropriation number 003, the Department for the Aging shall submit to the Council, no later than February 1, 2021, a report on senior center utilization, attendance, and meals served. Such report shall contain the average daily attendance, average number of meals served daily, and utilization rate of senior centers, disaggregated by Innovative Senior Centers, Neighborhood Senior Centers and Senior Clubs. Such report shall cover the period between January 1, 2020 and December 31, 2020."
6,Department of City Planning,030,001,1,,,"As a condition of the funds in unit of appropriation number 001, the Department of City Planning shall, within forty -five (45) days of the completion of a neighborhood rezoning, submit a report to the Council on the amount of funds remaining in the Neighborhood Development Fund."
7,Department of Citywide Administrative Services,856,290,1,"July 1, 2019; June 30, 2020; November 15, 2020","July 1, 2019 to June 30","As a condition of the funds in unit of appropriation number 290, the Department of Citywide Administrative Services shall submit an annual report to the Council regarding School Safety Guard reimbursement required pursuant to Local Law 2 of 2016. Such report shall provide: 1) the headcount of s chool safety guards, disaggregated by school, 2) the hours and amounts reimbursed, disaggregated by school, 3) the number of schools that have applied for the program and the number of schools that were enrolled in the program, 4) a description of the methodology used to set the level of reimbursable hours with an explanation of any changes made to that level in the prior year. The report shall be submitted on or before November 15, 2020 and shall cover the period beginning July 1, 2019 and ending June 30, 2020."
8,Department of Correction,072,002; 003,2,"December 31, 2020; January 1, 2021; January 15, 2021; July 1, 2020; July 15, 2021; June 30, 2021","July 1, 2020 to December 31","As a condition of the funds in unit of appropriation numbers 002 and 003, the Department of Correction shall provide semi-annual headcount reports to the Council detailing the number of uniform officers that perform duties that do not require uniformed expertise and are traditionally and primarily performed by civilian personnel. Such reports shall be disaggregated by rank, and shall include the salary range, aver age salary, and title of the civilian positions in which the uniformed officers are working. The semi -annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 2021 and shall cover the period beginning July 1, 2020 and ending December 31, 2020. The second report shall be submitted on or before July 15, 2021 and shall cover the period beginning January 1, 2021 and ending June 30, 2021."
9,Department of Correction,072,001; 002; 003; 004,4,"October 15, 2020",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004, the Department of Correction shall submit to the Council, no later than October 15, 2020, a report detailing the demographics of uniformed personnel, including gender, race and ethnicity. Such information shall be disaggregated by rank, gender, race and ethnicity."
10,Department of Design and Construction,850,001; 002,2,"December 31, 2020; January 1, 2021; January 15, 2021; July 1, 2020; July 15, 2021; June 30, 2021","July 1, 2020 to December 31","As a condition of the funds in unit of appropriation numbers 001 and 002, the Department of Design and Construction shall submit to the Council semi -annual reports on its Public Buildings front-end planning and in- house design units. Such reports shall include for each unit the number of projects begun, in progress, and completed, disaggregated by type of project. The semi -annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2021 and shall cover the period beginning July 1, 2020 and ending December 31, 2020. The second report shall be submitted no later than July 15, 2021 and shall cover the period beginning January 1, 2021 and ending June 30, 2021."
11,Department of Education,040,436,1,"September 30, 2020",,"As a condition of the funds in unit of appropriation number 436, the Department of Education shall submit to the Council, no later than September 30, 2020, an annual report on the New York City School Support Services (NYCSSS) budget for Fiscal 2021, including a snapshot of headcount by title. The Department of Education shall provide a breakdown of the budget by the following categories: regular school day , emergency work, extended use, administration, spending and headcount, as well as building -based custodial budgets. In addition, the Department of Education shall provide a breakdown of the budget by the following categories: contractually-mandated, program-related, need-based, and fringe."
12,Department of Education,040,436; Budget Line E2364 and E2365 – All Projects,2,"December 31, 2020; January 1, 2021; January 15, 2021; July 1, 2020; July 15, 2021; June 30, 2021","July 1, 2020 to December 31","As a condition of the funds in unit of appropriation number 436 and budget lines E2364 and E2365, the Department of Education and the School Construction Authority shall submit to the Council semi-annual reports regarding the installation and replacement of air conditioners. Such report shall provide the following information for each school (identified by name and DBN): 1) if the school has central air conditioning, whether it is functioning or non- functioning; 2) the total number of classrooms, auditoriums, gyms, and other instructional spaces broken down by type, disaggregated by those spaces with functioning air conditioners, non-functioning air conditioners, and no air conditioner; 3) for each such space with a non- functioning air conditioner or without an air conditioner, a schedule and estimated cost for replacement or installati on of air conditioners; 4) the number of instructional spaces that require electrical upgrades in order to make air conditioning installations; 5) the estimated cost of each electrical upgrade project; 6) total actual spending, both expense and capital as well as a list of all completed capital projects in the prior year; and 7) list all installation and replacement projects begun and completed during the reporting period, as well as an explanation of the process or criteria by which those schools and classrooms were prioritized. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2021 and shall cover the period beginning July 1, 2020 and ending December 31, 2020. The second report shall be submitted no later than July 15, 2021 and shall cover the period beginning January 1, 2021 and ending June 30, 2021."
13,Department of Education,040,436,1,"December 31, 2020",,"As a condition of the funds in unit of appropriation number 436, the Department of Education shall submit to the Council, no later than December 31, 2020, a report by school building detailing the number and type of science laboratories available, disaggregated by type, such as demonstration, full, and other science laboratories."
14,Department of Education,040,401; 402; 403; 404; 415; 416; 453; 454; 481; 482,10,"January 31, 2021",,"As a condition of the funds in unit of appropriation numbers 401, 402, 403, 404, 415, 416, 453, 454, 481, and 482, the Department of Education shall submit to the Council, no later than January 31, 2021, a list of every community school, including the school name and DBN, as well as a list of the community school core programs with the budgeted amount for such core programs for each school. Such report shall be disaggregate d by services provided by the Department of Education and those provided through a contracted community -based organization."
15,Department of Education,040,436,1,"August 1, 2021; December 31, 2020; January 1, 2021; July 1, 2020; June 30, 2021; March 1, 2021","July 1, 2020 to December 31","As a condition of the funds in unit of appropriation number 436, the Department of Education shall submit semi-annual reports to the Council regarding charter matching projects, including a list of all charter matching projects and the amount spent on each project, with a breakdown of expense and capital spending. The semi -annual reports shall be submitted as follows: the first report shall be submitted no later than March 1, 2021 and shall cover the period beginning July 1, 2020 and ending December 31, 2020. The second report shall be submitted no later than August 1, 2021 and shall cover the period beginning January 1, 2021 and ending June 30, 2021."
