resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,"FiscalConduit/Sponsoring Fiscal Member Organization EINNumber Agency Amount Agy# U/A * Organization ConduitEIN Lancman IndiaHome,Inc.",,208747291,-10000,DFTA,,,.00) 125 003,***
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,Lancman HillcrestJewishCenter,,111639813,10000,DFTA,,,.00 125 003,***
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,"Lancman KewGardensHillsCommunityFoundation,Inc.",,510506762,-5000,DFTA,,,.00) 125 003,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,Lancman St.NicholasofTolentine,,111714878,-5000,DFTA,,,.00) 125 003,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,"Lancman IndiaHome,Inc.",,208747291,10000,DFTA,,,.00 125 003,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,"Lancman IndiaHome,Inc.",,208747291,-10000,DFTA,,,.00) 125 003,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,Lancman DepartmentofSanitation,,136400434,10000,DSNY,,,.00 827 109,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,Espinal FDNYFoundation,,112632404,-6200,FDNY,,,.00) 057 005,***
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,Espinal FireDepartmentofNewYork,,136400434,6200,FDNY,,,.00 057 005,***
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,"Garodnick HousingConservationCoordinators,Inc.",,510141489,-5000,HPD,,,.00) 806 009,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,"Garodnick HousingConservationCoordinators,Inc.",,510141489,5000,DSS/HRA,,,.00 069 103,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,"Johnson HousingConservationCoordinators,Inc.",,510141489,-15000,HPD,,,.00) 806 009,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,"Johnson HousingConservationCoordinators,Inc.",,510141489,15000,DSS/HRA,,,.00 069 103,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,"Rosenthal HousingConservationCoordinators,Inc.",,510141489,-3500,HPD,,,.00) 806 009,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,"Rosenthal HousingConservationCoordinators,Inc.",,510141489,3500,DSS/HRA,,,.00 069 103,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"HousingConservationCoordinators,Inc.",,510141489,-115000,HPD,,,.00) 806 009,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"HousingConservationCoordinators,Inc.",,510141489,115000,DSS/HRA,,,.00 069 103,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"Reynoso CatholicMigrationServices,Inc.",,112634818,-8000,HPD,,,.00) 806 009,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"Reynoso CatholicMigrationServices,Inc.",,112634818,8000,DYCD,,,.00 260 005,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"Cornegy PrattAreaCommunityCouncil,Inc.",,112451752,-10000,HPD,,,.00) 806 009,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"Cornegy PrattAreaCommunityCouncil,Inc.",,112451752,10000,DSBS,,,.00 801 002,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"Cumbo PrattAreaCommunityCouncil,Inc.",,112451752,-10200,HPD,,,.00) 806 009,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"Cumbo PrattAreaCommunityCouncil,Inc.",,112451752,10200,DSBS,,,.00 801 002,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"Constantinides VarietyBoysandGirlsClubofQueens,Inc.",,116014770,-5000,DCLA,,,.00) 126 003,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"Constantinides VarietyBoysandGirlsClubofQueens,Inc.",,116014770,5000,DYCD,,,.00 260 312,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"Constantinides VarietyBoysandGirlsClubofQueens,Inc.",,116014770,-76835,DCLA,,,.00) 126 003,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"Constantinides VarietyBoysandGirlsClubofQueens,Inc.",,116014770,76835,DYCD,,,.00 260 312,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"Dromm HorticulturalSocietyofNewYork,The",,130854930,-15000,DCLA,,,.00) 126 003,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"Dromm HorticulturalSocietyofNewYork,The",,130854930,15000,DYCD,,,.00 260 005,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"Dromm NorthernWoodsideCoalition,Inc.",,113029912,-3500,DYCD,,,.00) 260 005,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"Dromm NorthernWoodsideCoalition,Inc.",,113029912,3500,DCLA,,,.00 126 003,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,"Kallos CivitasCitizens,Inc.",,133132603,-16750,DYCD,,,.00) 260 005,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,"Kallos NewYorkCenterforChildren,The",,954502444,5000,DYCD,,,.00 260 312,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,Kallos FriendsoftheUpperEastSideHistoricDistricts,,133193351,11750,DYCD,,,.00 260 005,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,Kallos FriendsoftheUpperEastSideHistoricDistricts,,133193351,-10000,DCLA,,,.00) 126 003,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,Kallos FriendsoftheUpperEastSideHistoricDistricts,,133193351,10000,DOE,,,.00 040 402,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,Speaker,VanBramer SunnysideDistrictManagementAssociation,,261278224,-24792,DSBS,,,.00) 801 002,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,Speaker,VanBramer WildcatServiceCorporation,,132725423,24792,DSBS,,,.00 801 002,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,FiscalConduit/Sponsoring Fiscal Member Organization EINNumber Agency Amount Agy# U/A * Organization ConduitEIN Arroyo SouthBronxOverallEconomicDevelopmentCorporation,,132736022,-10000,DYCD,,,.00) 260 005,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,SouthBronxOverallEconomic Arroyo WillisAvenueBoxingGym DevelopmentCorporation,,271079541,10000,DYCD,,,.00 260 005 13-2736022 *,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,Eugene SouthBrooklynCommunityEmergencyResponseTeam(CERT),,870788860,-5000,DYCD,,,.00) 260 005,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,Eugene SouthBrooklynCommunityEmergencyResponseTeam(CERT),,870788860,5000,OEM,,,.00 017 002,**
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,Rosenthal NewYorkCityHousingAuthority-AmsterdamAdditions,,136400434,-2000,NYCHA,,,.00) 098 002,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,Rosenthal NewYorkCityHousingAuthority-WSURASiteA,,136400434,1000,NYCHA,,,.00 098 002,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,designate,,,Rosenthal NewYorkCityHousingAuthority-WSURASiteB,,136400434,1000,NYCHA,,,.00 098 002,
4,2015-09-30,LocalInitiatives-Fiscal2016,2016,rescind,,,"Lander HorticulturalSocietyofNewYork,The",,130854930,-5000,DCLA,,,.00) 126 003,**
