resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,rescind,,,Organization Conduit EIN Treyger St. Athanasius Golden Age Club,,112773596,-5000,DFTA,,,.00) 125 003,
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,,Treyger St. Athanasius Golden Age Club,,111639837,5000,DFTA,,,.00 125 003,
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,rescind,,Salamanca,Sociedad Hondurena Activa de New York Corp,,133978207,-15000,DYCD,,,.00) 260 005 *,**
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,Salamanca,Department of Transportation,,136400434,7000,DOT,,,.00 841 004,**
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,Salamanca,New York Botanical Garden,,131693134,8000,DCLA,,,.00 126 005,**
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,rescind,,Salamanca,South Bronx Overall Economic Willis Avenue Boxing Gym Development Corporation,,271079541,-10000,DYCD,,,.00) 260 005 13-2736022 *,
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,Salamanca,"Children's Aid Society, The",,135562191,10000,DYCD,,,.00 260 312,
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,rescind,,Salamanca,"Ulrich Corporal John Ruoff Post No. 632, American Legion, Inc.",,116104896,-5000,DYCD,,,.00) 260 005,
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,Salamanca,"Citizens Committee for New York City, Ulrich Corporal John Ruoff Post No. 632, American Legion, Inc. Inc.",,116104896,5000,DYCD,,,.00 260 005 51-0171818,
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,rescind,,Salamanca,"Ulrich Swim Strong Foundation, Inc.",,371526132,-5000,DYCD,,,.00) 260 312,
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,Salamanca,Ulrich St. Camillus-Saint Virgilius Roman Catholic Church,,111674392,5000,DYCD,,,.00 260 312,
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,rescind,,Salamanca,Ulrich St. Camillus-Saint Virgilius Roman Catholic Church,,111674392,-5000,DYCD,,,.00) 260 312,**
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,Salamanca,Ulrich Department of Parks and Recreation,,136400434,5000,DPR,,,.00 846 006,**
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,rescind,,Salamanca,"Richards Fathers Alive In The Hood, Inc.",,461091203,-5000,DYCD,,,.00) 260 005 *,**
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,Salamanca,Richards District 29Q Community Education Council,,690210637,5000,DOE,,,.00 040 402,**
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,rescind,,Williams,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,-4000,HPD,,,.00) 806 009,**
12,2016-04-20,Local Initiatives - Fiscal 2016,2016,designate,,Williams,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,4000,DYCD,,,.00 260 005,**
12,2016-04-20,Youth Discretionary - Fiscal 2016,2016,rescind,,,"Organization Conduit EIN Cornegy Marcy Tennis Club, Inc.",,273170420,-5000,DYCD,,,.00) 260 312,
12,2016-04-20,Youth Discretionary - Fiscal 2016,2016,designate,,,"Cornegy Kings County Tennis League, Inc.",,273170420,5000,DYCD,,,.00 260 312,
12,2016-04-20,Youth Discretionary - Fiscal 2016,2016,rescind,,,Ulrich St. Camillus-Saint Virgilius Roman Catholic Church,,111674392,-5000,DYCD,,,.00) 260 312,
12,2016-04-20,Youth Discretionary - Fiscal 2016,2016,designate,,,"Ulrich Swim Strong Foundation, Inc.",,371526132,5000,DYCD,,,.00 260 312,
12,2016-04-20,Youth Discretionary - Fiscal 2016,2016,rescind,,,"Cumbo Sesame Flyers International, Inc.",,112692485,-8000,DYCD,,,.00) 260 312,
12,2016-04-20,Youth Discretionary - Fiscal 2016,2016,designate,,,"Fund for the City of New York, Inc.",Crown Heights Mediations Cumbo Center / Save Our Streets - Crown Heights,132612524,8000,DYCD,,,.00 260 312,
12,2016-04-20,Domestic Violence and Empowerment (DoVE) Initiative - Fiscal 2016,2016,rescind,,Salamanca,Women's Empowerment Self Defense Academy,,270390465,-20000,MOCJ,,,.00) 098 002 *,
12,2016-04-20,Domestic Violence and Empowerment (DoVE) Initiative - Fiscal 2016,2016,designate,,Salamanca,Violence Intervention Program,,133540337,20000,MOCJ,,,.00 098 002,
12,2016-04-20,Parks Equity Initiative - Fiscal 2016,2016,rescind,,,"Grodenchik Friends of Cunningham Park, Inc.",,112652498,-14000,DPR,,,.00) 846 006,
