resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,Organization Conduit EIN Schomburg Center in Black Culture,,131887440,-30000,CUNY,,,.00) 042 001,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,New York Public Library Astor Lenox and Tilden Foundations,,131887440,30000,NYPL-R,,,.00 035 001,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,Gentile Department of Sanitation,,136400434,-5000,DSNY,,,.00) 827 109,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"Gentile One Brooklyn Fund, Inc.",,465189061,5000,DYCD,,,.00 260 005,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,"Espinal Publicolor, Inc.",,133912768,-5000,DYCD,,,.00) 260 312,
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"Espinal One Brooklyn Fund, Inc.",,465189061,5000,DYCD,,,.00 260 005,
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,"NIA Community Services Network, Inc.",,112697931,-125000,DFTA,,,.00) 125 003,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"NIA Community Services Network, Inc.",,112697931,125000,DYCD,,,.00 260 312,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,"Citizen Schools, Inc.",,043259160,-50000,DOE,,,.00) 040 402,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"Citizen Schools, Inc.",,043259160,50000,DYCD,,,.00 260 312,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,Mendez New York City Housing Authority,,136400434,-7500,NYCHA,,,.00) 098 002,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"Mendez University Settlement Society of New York, Inc.",,135562374,7500,DFTA,,,.00 125 003,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,"Big Apple Circus, Ltd.",,132906037,-25000,DYCD,,,.00) 260 312,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"Big Apple Circus, Ltd.",,132906037,25000,HHC,,,.00 819 001,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,Menchaca CUNY Creative Arts Team,,131988190,-14200,CUNY,,,.00) 042 001,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"Menchaca Asian Community United Society, Inc.",,264164117,10000,DYCD,,,.00 260 005,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"Menchaca One Brooklyn Fund, Inc.",,465189061,4200,DYCD,,,.00 260 005,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,rescind,,Speaker,"Ulrich Catholic Charities Neighborhood Services, Inc.",,112047151,-10000,DFTA,,,.00) 125 003,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,Ulrich New York Board of Rabbis,,131809283,5000,DYCD,,,.00 260 005,**
1,2015-07-23,Local Initiatives - Fiscal 2016,2016,designate,,Speaker,"Ulrich Jewish Community Council of the Rockaway Peninsula, Inc.",,112425813,5000,DYCD,,,.00 260 005,**
