category,initiative,award_type,member,organization,program,ein,amount,agency,purpose
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"A&G Early Child Care Community Network Inc. 47-2375867 * $2,000,000 Beth Jacob Day Care Center, Inc.",,112290419,960000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Bethany Day Nursery, Inc. 13-2732818 * $709,605 Conselyea St. Block Association, Inc. 11-2347180 * $1,448,669 Fort Greene Council Inc. 11-2300840 * $587,058 Gan Day Care 11-2302049 * $1,136,000 Leake and Watts Services, Inc.",,131860451,273875,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Nasry Michelen Day Care Center, Inc.",,203108162,481076,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Staten Island Mental Health Society Inc. Head Start Program 13-5623279 * $325,000 West Side Montessori School",,131992185,275000,,
CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,Williamsbridge NAACP Early Childhood Education Center,,132686694,1158786,,
CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,"Broadway Housing Communities, Inc. 13-3212867 * $47,000 Brooklyn Public Library (BPL)",,111904261,175000,,
CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,"Child Center of New York, Inc., The",,111733454,47000,,
CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,"Committee for Hispanic Children and Families, The",,112622003,66000,,
CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,"Jumpstart for Children 04-3263046 * $175,000 Literacy Inc. (LINC) 13-3911331 * $440,000 New York Public Library (NPL)",,131887440,175000,,
CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,"New York University 13-5562308 * $236,000 Parent Child Home Program",,112495601,34000,,
CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,Queens Public Library (QPL),,111904262,175000,,
CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,Reach Out and Read of Greater New York,,134080045,175000,,
CHILDREN’S SERVICES,City’s First Readers,initiative_provider,,"Sunset Park Health Council, Inc.",,202508411,47000,,
COMMUNITY DEVELOPMENT,Communities of Color Nonprofit Stabilization Fund,initiative_provider,,"Asian-American Coalition for Children and Families, Inc.",,133682471,533334,,
COMMUNITY DEVELOPMENT,Communities of Color Nonprofit Stabilization Fund,initiative_provider,,"Hispanic Federation, Inc.",,133573842,983333,,
COMMUNITY DEVELOPMENT,Communities of Color Nonprofit Stabilization Fund,initiative_provider,,New York Urban League,,131671035,983333,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,"Barron BRIC Arts | Media | Bklyn, Inc.",,112547268,20000,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,"Cabrera Older Adults Technology Services (OATS), Inc.",,550882599,20000,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,"Chin Older Adults Technology Services (OATS), Inc.",,550882599,20000,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,"Grodenchik Just-Us, Inc.",,132954007,20000,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,"CD28 Older Adults Technology Services (OATS), Inc.",,550882599,20000,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,"Cohen Older Adults Technology Services (OATS), Inc.",,550882599,20000,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,Constantinides Urban Upbound,,861096987,20000,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,"Cornegy Older Adults Technology Services (OATS), Inc.",,550882599,20000,,
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,initiative_provider,,"Crowley Coalition for Queens, Inc.",,611652332,20000,,"Cumbo Scenarios USA 13-4117469 * $20,000 Dickens Visual Arts Research and Resource Center Relating to the Caribbean 13-3054001"
COMMUNITY DEVELOPMENT,,initiative_provider,,"Dromm PowerMyLearning, Inc. 13-3935309 * $20,000 Eugene PowerMyLearning, Inc. 13-3935309 * $20,000 Ferreras-Copeland PowerMyLearning, Inc. 13-3935309 * $20,000 Garodnick Older Adults Technology Services (OATS), Inc.",,550882599,20000,,"Gentile NIA Community Services Network, Inc. 11-2697931 * $20,000"
COMMUNITY DEVELOPMENT,,initiative_provider,,"Gibson Older Adults Technology Services (OATS), Inc.",,550882599,20000,,
COMMUNITY DEVELOPMENT,,initiative_provider,,"Greenfield Agudath Israel of America Community Services, Inc.",,133975090,20000,,
COMMUNITY DEVELOPMENT,,initiative_provider,,Johnson Hudson Guild,,135562989,20000,,"Kallos MOUSE, Inc. 13-3973196 * $20,000 Koo Selfhelp Community Services, Inc. 13-1624178 * $20,000"
COMMUNITY DEVELOPMENT,,initiative_provider,,"Koslowitz Coalition for Queens, Inc.",,611652332,20000,,
COMMUNITY DEVELOPMENT,,initiative_provider,,"Lancman Older Adults Technology Services (OATS), Inc.",,550882599,20000,,Page 16
COMMUNITY DEVELOPMENT,,initiative_provider,,"Lander Npower, Inc. 13-4145441 * $20,000 Levine Older Adults Technology Services (OATS), Inc.",,550882599,20000,,
COMMUNITY DEVELOPMENT,,initiative_provider,,"Mark-Viverito Per Scholas, Inc.",,043252955,20000,,
COMMUNITY DEVELOPMENT,,initiative_provider,,"Matteo Jewish Community Center of Staten Island, Inc.",,135562256,20000,,
COMMUNITY DEVELOPMENT,,initiative_provider,,Menchaca Opportunities for a Better Tomorrow,,112934620,20000,,"Mendez PowerMyLearning, Inc. 13-3935309 * $20,000 Miller PowerMyLearning, Inc. 13-3935309 * $20,000"
COMMUNITY DEVELOPMENT,,initiative_provider,,Reynoso Opportunities for a Better Tomorrow,,112934620,20000,,"Richards Community Center of the Rockaway Peninsula, Inc. 11-3064561 * $20,000 Rodriguez Catholic Charities Community Services, Archdiocese of New York 13-5562185"
COMMUNITY DEVELOPMENT,,initiative_provider,,"Rose MOUSE, Inc. 13-3973196 * $20,000 Rosenthal MOUSE, Inc. 13-3973196 * $20,000 Salamanca Just-Us, Inc.",,132954007,20000,,"Torres PowerMyLearning, Inc. 13-3935309 * $20,000"
COMMUNITY DEVELOPMENT,,initiative_provider,,"Treyger Coney Island Generation Gap, The",,208562533,20000,,"Ulrich Catholic Charities Neighborhood Services, Inc. 11-2047151 * $20,000"
COMMUNITY DEVELOPMENT,,initiative_provider,,"Vacca Older Adults Technology Services (OATS), Inc.",,550882599,20000,,"Vallone Selfhelp Community Services, Inc. 13-1624178 * $20,000"
COMMUNITY DEVELOPMENT,,initiative_provider,,"Van Bramer Coalition for Queens, Inc.",,611652332,20000,,
COMMUNITY DEVELOPMENT,,initiative_provider,,"Williams East Flatbush Village, Inc.",,800612019,20000,,
