resolution,page,row,column,raw_text,confidence,flag,crop
1,10,3,organization,Bethany Lutheran Church,0.676,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p010-row03-organization.png
1,10,3,ua,003,0.731,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p010-row03-ua.png
1,10,3,conduit_org,Metropolitan New York Synod Evangelical Lutheran Church,0.707,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p010-row03-conduit_org.png
1,11,0,amount,"($3,000.00)",0.639,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row00-amount.png
1,11,1,member,Foster,0.637,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row01-member.png
1,11,1,organization,"TechLINC Project, Inc The",0.779,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row01-organization.png
1,11,2,ein,13-2612524,0.605,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row02-ein.png
1,11,2,amount,"($8,000.00)",0.694,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row02-amount.png
1,11,3,organization,"Fund for the City of New York, Inc.",0.744,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row03-organization.png
1,11,6,organization,Alliance for Community Services,0.522,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row06-organization.png
1,11,6,amount,"($51,714.00)",0.564,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row06-amount.png
1,11,7,organization,Public School 307X,0.647,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row07-organization.png
1,11,7,ein,13-6400434,0.516,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row07-ein.png
1,11,7,amount,"$10,000.00",0.644,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row07-amount.png
1,11,7,star,.,0.516,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row07-star.png
1,11,9,organization,Public School 33X,0.594,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row09-organization.png
1,11,10,amount,"$10,000.00",0.58,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row10-amount.png
1,11,10,ua,312,0.679,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row10-ua.png
1,11,11,amount,"($3,500.00)",0.637,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row11-amount.png
1,11,12,amount,"$3,500.00",0.682,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row12-amount.png
1,11,12,ua,312,0.632,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row12-ua.png
1,11,15,organization,Boys and Girls Club of Harlem,0.701,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row15-organization.png
1,11,16,organization,Designed Environment for Experiential Learning,0.679,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row16-organization.png
1,11,18,member,Jackson,0.791,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row18-member.png
1,11,19,organization,"Publicolor, Inc.",0.776,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row19-organization.png
1,11,22,organization,Graham-Windham Beacon Center,0.454,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row22-organization.png
