resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
8,2009-05-20,,2009,designate,,Gerson,"Carnegie Council Fund, Inc.",,134185528,,DYCD,260,312,,ocr:amt
8,2009-05-20,,2009,designate,,Gerson,"Carnegie Council for Ethics in International Affairs, Inc.",,131573954,3500,DYCD,260,005,,
8,2009-05-20,,2009,rescind,,"CC, BLAC, Dickens",NAACP New York City ACT-SO,,131998814,-15000,DYCD,260,312,,
8,2009-05-20,,2009,designate,,"Cc, BLAC, Dickens",NAACP New York City ACT-SO,,202538102,15000,DYCD,260,312,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Dickens,"Studio Museum in Harlem, The",,132500805,-5000,DCA,126,021,,
8,2009-05-20,,2009,designate,,Dickens,"Studio Museum in Harlem, The",,132590805,5000,DCA,126,021,,
8,2009-05-20,,2009,rescind,,Arroyo,"Hunts Point Multi-Service Center, Inc.",,132612592,-60000,DFTA,125,003,,
8,2009-05-20,,2009,rescind,,"CC, Arroyo","Hunts Point Multi- Service Center, Inc.",,132612592,-20000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Arroyo,"Hunts Point Mult-Service Center, inc.",,132612532,60000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,"CC, Arroyo","Hunts Point Multi- Service Center, Inc.",,132612532,20000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Ignizio,"Alliance of Guardian Angels, The",,112592739,-20000,DYCD,260,005,,ocr:lowconf
8,2009-05-20,,2009,designate,,Ignizio,"United Activities Unlimited, Inc.",,132921483,20000,DYCD,260,312,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Neison,Chaim Meir Camp Fund,,117169040,-10000,DYCD,260,312,,
8,2009-05-20,,2009,rescind,,Mitchell,St Stanislaus Kostka Church,,135564133,-70000,DYCD,260,312,,ocr:lowconf
8,2009-05-20,,2009,designate,,Mitchell,St Stanislaus Kostka Church,,135564133,70000,DYCD,260,312,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Jackson,"Parodneck Foundation for Self-Help Housing and Community Development, Inc.. The",,112229635,-4000,DYCD,260,005,,ocr:lowconf
8,2009-05-20,,2009,designate,,Jackson,"Community Assisted Tenant Controlled Housing, Inc.",,133706059,4000,DYCD,260,005,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Fidler,"Jewish Community Council of Canarsie, inc.",,112608645,-27500,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Fidier,"Jewish Community Council of Canarsie, Inc.",,112608645,27500,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Arroyo,"Hunts Point Multi-Service Center, Inc.","Borinquen Court, Maria Isabel",132612592,-7573,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Arroyo,"Hunts Point Multi-Service Center, Inc.","Borinquen Court, Maria Isabel",132612532,7573,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Palma,Temple Emmanuel at Parkchester,Sisterhood,131853772,-5000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Palma,Temple Emmanuel at Parkchester Sisterhood,,131853772,5000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Mitchell,"Community Agency for Senior Citizens, Inc.",,133263537,-4000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Mitchell,"Community Agency for Senior Citizens, Inc.",New Lane Senior Center,133263537,4000,DFTA,125,003,,
8,2009-05-20,,2009,rescind,,Neison,Bikur Cholim Nefesh Chaya Tiferes Yosef of Flatbush,,112760065,-6000,DFTA,125,003,,
8,2009-05-20,,2009,designate,,Nelson,"Bikur Cholim of Flatbush Nefesh Chaya Tiferes Yosef Yad L'Cholim, Inc.",,112760065,6000,DFTA,125,003,,
8,2009-05-20,,2009,rescind,,Eugene,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,-6000,DFTA,125,003,,
8,2009-05-20,,2009,rescind,,Stewart,"Council of Jewish Organizations of Flatbush, inc.",,112864728,-10000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Yassky,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,-10000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Eugene,"Counci of Jewish Organizations of Flatbush, Inc.",,112864728,6000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Stewart,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,10000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Yassky,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,10000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Monserrate,"Jackson Heights-Elmhurst Kehillah, Inc.",,112643410,-25250,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Ferraras,"Jackson Heights-E Elmhurst Kehillah, Inc.",,112643410,25250,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Nelson,"Jewish Community Council of Kings Bay, Inc.",,112714997,-6500,I DFTA,125,003,,ocr:agency;ocr:lowconf
8,2009-05-20,,2009,designate,,Nelson,"Jewish Community Council of Kings Bay, Inc.",,112714997,6500,DFTA,125,003,,
8,2009-05-20,,2009,rescind,,Jackson,Washington Heights-Inwood Preservation and Restoration Corporation,,132944830,-8000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,rescind,,Martinez,Washington Heights-Inwood Preservation and Restoration Corporation,,132944830,-5000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Jackson,Washington Heights-Inwood Preservation and Restoration Corporation,,132944830,8000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,,2009,designate,,Martinez,Washington Heights-Inwood Preservation and Restoration Corporation,,132944830,5000,DFTA,125,003,,ocr:lowconf
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,rescind,,Ignizio,"Zimmer Club Youth Conservation Program of Staten Island, Inc.",,352262561,-5000,DYCD,260,312,,ocr:lowconf
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,rescind,,Oddo,"Zimmer Club Youth Conservation Program of Staten Island, Inc.",,352262561,-3500,DYCD,260,312,,ocr:lowconf
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,designate,,Ignizio,"Zimmer Club Youth Conservation Program of Staten Island, Inc.",,352262651,5000,DYCD,260,312,,ocr:lowconf
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,designate,,Oddo,"Zimmer Club Youth Conservation Program of Staten Island, inc.",,352262651,3500,DYCD,260,312,,ocr:lowconf
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,rescind,,Brewer,NAACP New York City ACT-SO,,131998814,-3500,DYCD,260,312,,
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,rescind,,Eugene,NAACP New York City ACT-SO,,131998814,-20000,DYCD,260,312,,ocr:lowconf
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,rescind,,Mealy,NAACP New York City ACT-SO,,131998814,-5000,DYCD,260,312,,
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,designate,,Brewer,NAACP New York City ACT-SO,,202538102,3500,- DYCD,260,312,,ocr:agency;ocr:lowconf
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,designate,,Eugene,NAACP New York City ACT-SO,,202538102,20000,DYCD,260,312,,
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,designate,,Mealy,NAACP New York City ACT-SO,,202538102,5000,DYCD,260,312,,
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,rescind,,McMahon,Tabernacle Community Leaming and Resource Center,,237214095,-3714,DYCD,260,312,,
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,designate,,Mitchell,"Children's Aid Society, The",,135562191,3714,DYCD,260,312,,
8,2009-05-20,"Youth Discretionary Status (Council, MOC, etc) Member Organization EINI Number Agencv Amount Aav# Fiscal Conduit/Sponsoring Organization Fiscal Conduit EIN UIA",2009,rescind,,Mealy,"Flatbush Youth Association, Inc.",,113287922,-2000,DYCD,260,312,,ocr:lowconf
